center_morphology_variance,channel,dynamic_span,ground_truth_available,magnetic_texture_high_k_energy,outer_shell_variance,outermost_two_shell_variance_mean,polar_morphology_variance,radial_profile_variance,source,standard_deviation,step,total_variation,view
1.523470146506212e-05,Bcc3,0.010797557421028614,True,0.11310424199063807,7.282155128007242e-08,7.262383641498868e-08,1.1663049565254924e-05,7.047399360500203e-08,stage_k_canonical_localno,0.002746722947046058,1,0.00029716770564793574,spherical-coordinate adapted views
0.0008400348527564464,rho,0.40329520049412176,True,184.29535731482554,0.006566871179655894,0.006381804854424914,0.00017671770123620193,0.000910224880949625,stage_k_canonical_localno,0.1076727548015903,1,0.006972993876936617,spherical-coordinate adapted views
1.360250000954771e-05,press,0.01222872636873635,True,0.32842191715882163,1.0091467380792276e-08,1.0006216523442995e-08,4.733274507054482e-06,2.4421084300137467e-06,stage_k_canonical_localno,0.0020854661059708543,1,0.00022213202623649255,spherical-coordinate adapted views
0.06517313698722023,vel1,1.071620557308198,True,827.7819250045904,0.01569602416658116,0.01559653846332217,0.007612523451664486,0.027971167809581986,stage_k_canonical_localno,0.22143893209709492,1,0.02341828542749301,spherical-coordinate adapted views
0.00017356632060242893,vel2,0.04278084030374885,True,1.0126254134997952,1.1267251983279414e-06,1.0865060053448269e-06,3.1331304296407146e-05,1.8694528419057874e-07,stage_k_canonical_localno,0.006922402834410253,1,0.0008990727633573691,spherical-coordinate adapted views
0.0014403992972525036,vel3,0.10690718473866583,True,12.794709580167783,7.186382252763357e-05,6.646843601989211e-05,0.0017271122699392247,0.0005087673762727864,stage_k_canonical_localno,0.03602099348154701,1,0.003228485364827496,spherical-coordinate adapted views
0.03930160767830123,Bcc1,0.7243348392844207,True,100.90288741628424,0.0003071346451015955,0.0003024489816627517,0.027736722940847593,0.0013759243802526243,stage_g_fno_plain_background,0.12518882493913838,1,0.010013431088788181,spherical-coordinate adapted views
0.001079495664156951,Bcc2,0.08075627292040735,True,5.715722505899017,4.399350492049916e-09,4.3742635004895995e-09,0.00023839601453258159,0.00024218314797090862,stage_g_fno_plain_background,0.022693025113797043,1,0.001801711490192229,spherical-coordinate adapted views
2.0483462795471694e-05,Bcc3,0.010797557421028614,True,0.09219168695128242,5.1177222155797516e-08,5.113790486417185e-08,1.5156715519147287e-05,4.0281468927442307e-08,stage_g_fno_plain_background,0.0031591161699907207,1,0.0002056081538065204,spherical-coordinate adapted views
3.004789179676311e-06,rho,1.0916117220177057,True,5.187043825151314,0.11327518367074767,0.11272798549195194,1.306041888602565e-06,0.011631757169033056,stage_g_fno_plain_background,0.19053473330981407,1,0.006926354049136922,spherical-coordinate adapted views
8.178468098908278e-06,press,0.007862773021798261,True,0.06610178881115847,2.381606038826382e-08,2.380406273994629e-08,3.187403196582251e-07,1.019510102557306e-06,stage_g_fno_plain_background,0.0017767942779042217,1,0.00012716748020216367,spherical-coordinate adapted views
0.033181638145115086,vel1,0.9233669090270997,True,317.8184544003074,0.02720315747752039,0.02704707246687425,0.011269925986884926,0.02368933881586939,stage_g_fno_plain_background,0.20780139291092953,1,0.013684580816424813,spherical-coordinate adapted views
0.00029619288934491854,vel2,0.057156158220022915,True,0.8114701869037252,4.2629974523111725e-07,4.193566738097977e-07,5.147992387566498e-05,1.4327789474895618e-06,stage_g_fno_plain_background,0.008813093432579364,1,0.0007074620214035835,spherical-coordinate adapted views
0.001433523739772384,vel3,0.10671139796730131,True,7.5038887379877215,0.00014772490534149994,0.00014089761268214137,0.001559196355776682,0.0006177767827984582,stage_g_fno_plain_background,0.0366381977422146,1,0.0022809451634085262,spherical-coordinate adapted views
0.32619649850903515,Bcc1,1.7682985877990725,True,1079.9670853503092,3.7611408300567296e-05,3.761140710513084e-05,0.1466333544074378,2.859400756541619e-06,raw_truth,0.3028084281751852,1,0.008863861567414208,spherical-coordinate adapted views
