channel,high_frequency_fraction_absolute_difference,index_grid_high_frequency_energy_fraction,index_grid_low_frequency_energy_fraction,radial_increment_relative_l2,reference_high_frequency_energy_fraction,reference_low_frequency_energy_fraction,reference_resolution,reference_semantics,residual_cosine,residual_relative_difference,resolution,shell_increment_relative_l2,source_snapshot,target_snapshot,temporal_increment_loss_inner,temporal_increment_loss_middle,temporal_increment_loss_outer
rho,0.045440990037096785,0.18003110052868956,0.8199688994713105,0.5334129921843052,0.13459011049159278,0.8654098895084072,128,HIGHER_RES_SAMPLING_REFERENCE,0.7922858647829706,0.6659303247974363,96,0.21712825253457677,25,26,0.23343138651676681,0.2115065946809943,0.6659957928955721
rho,0.0,0.0500646384142042,0.9499353615857958,0.0,0.0500646384142042,0.9499353615857958,128,HIGHER_RES_SAMPLING_REFERENCE,1.0,0.0,128,0.0,25,26,0.0,0.0,0.0
press,0.010348136010843945,0.5115416369567717,0.4884583630432283,0.1804130659522998,0.5011935009459277,0.49880649905407226,128,HIGHER_RES_SAMPLING_REFERENCE,0.5896603644054627,0.8785636639452338,32,0.12263116687512708,25,26,0.8801743644573571,0.3403600278807277,2.0041800464742043
press,0.0026153739821126454,0.27873733610553764,0.7212626638944624,0.14104538976419337,0.276121962123425,0.723878037876575,128,HIGHER_RES_SAMPLING_REFERENCE,0.7860924832476881,0.6345948685417158,64,0.11741156297492371,25,26,0.64050859337722,0.30710226671804325,0.5671202539660504
press,0.0004419325548045694,0.11948759883928965,0.8805124011607104,0.09555724633472261,0.11992953139409422,0.8800704686059058,128,HIGHER_RES_SAMPLING_REFERENCE,0.9492285034036622,0.3173905375607389,96,0.023414318617129892,25,26,0.3121950000409259,0.19738323748809186,0.7378669096182103
press,0.0,0.06140673804663486,0.9385932619533651,0.0,0.06140673804663486,0.9385932619533651,128,HIGHER_RES_SAMPLING_REFERENCE,1.0000000000000002,0.0,128,0.0,25,26,0.0,0.0,0.0
vel1,0.07455394795018622,0.5815770183135749,0.4184229816864251,0.13498145180949633,0.5070230703633887,0.4929769296366113,128,HIGHER_RES_SAMPLING_REFERENCE,0.8382846027581066,0.5657770862503247,32,0.06910445152387118,25,26,0.2037831249605975,0.3579775147434699,0.6846779623890235
vel1,0.03588019419012234,0.4183952263726063,0.5816047736273937,0.3282460578884548,0.38251503218248395,0.617484967817516,128,HIGHER_RES_SAMPLING_REFERENCE,0.8494317996651223,0.5867636160169918,64,0.10923846247550933,25,26,0.1152822078034273,0.30771750258381503,0.6973927952955385
vel1,0.03118198517562276,0.2529066822093879,0.747093317790612,0.13184971284111763,0.28408866738501065,0.7159113326149893,128,HIGHER_RES_SAMPLING_REFERENCE,0.9271945731172947,0.37526876385431274,96,0.038622441368001366,25,26,0.10655856172827731,0.22542526319089715,0.41364434658643523
vel1,0.0,0.20296194525242722,0.7970380547475728,0.0,0.20296194525242722,0.7970380547475728,128,HIGHER_RES_SAMPLING_REFERENCE,1.0,0.0,128,0.0,25,26,0.0,0.0,0.0
vel2,0.0018772199422753266,0.10919604379262929,0.8908039562073707,2.458648832452283,0.10731882385035396,0.892681176149646,128,HIGHER_RES_SAMPLING_REFERENCE,0.9828067694776469,0.18541114487985944,32,1.9894593992679028,25,26,0.16334211781996621,0.18651466101158035,0.3664977589695001
vel2,0.0002707594020468877,0.029827063087282325,0.9701729369127177,2.2180034988798365,0.030097822489329212,0.9699021775106708,128,HIGHER_RES_SAMPLING_REFERENCE,0.9830015908765486,0.1841428135104279,64,2.2934880356518033,25,26,0.1693710600336015,0.18392588118597225,0.3328232071184757
vel2,0.0010994779103172727,0.008984627670042633,0.9910153723299574,2.078963572094097,0.010084105580359905,0.9899158944196401,128,HIGHER_RES_SAMPLING_REFERENCE,0.9933202415838596,0.11550204619854558,96,1.9098012207492343,25,26,0.11926451932397553,0.11365015375936317,0.27047654540753946
vel2,0.0,0.0017900306690153214,0.9982099693309847,0.0,0.0017900306690153214,0.9982099693309847,128,HIGHER_RES_SAMPLING_REFERENCE,1.0,0.0,128,0.0,25,26,0.0,0.0,0.0
vel3,0.005277149777892315,0.16771923931840377,0.8322807606815963,0.05675314026374837,0.16244208954051145,0.8375579104594886,128,HIGHER_RES_SAMPLING_REFERENCE,0.948903582066051,0.31803085328444447,32,0.029284990703635952,25,26,0.3309793673840282,0.283686321613197,0.31931102166585296
vel3,0.0007736268743816291,0.04809568393114798,0.9519043160688521,0.04762747025739149,0.04732205705676635,0.9526779429432336,128,HIGHER_RES_SAMPLING_REFERENCE,0.9812334005278509,0.19325223115085313,64,0.012594051840183106,25,26,0.12022185527865357,0.3095323253468975,0.25032097631866757
vel3,0.0008431958750711246,0.02026925316542264,0.9797307468345774,0.03880366546647197,0.021112449040493763,0.9788875509595062,128,HIGHER_RES_SAMPLING_REFERENCE,0.9786460376140751,0.20625231591806314,96,0.012079350720905501,25,26,0.2119017472938921,0.1913111261777883,0.19111930071178657
vel3,0.0,0.011882892296346096,0.9881171077036539,0.0,0.011882892296346096,0.9881171077036539,128,HIGHER_RES_SAMPLING_REFERENCE,1.0,0.0,128,0.0,25,26,0.0,0.0,0.0
Bcc1,0.0382599913571626,0.26878403472195667,0.7312159652780433,2.110806794697689,0.23052404336479407,0.769475956635206,128,HIGHER_RES_SAMPLING_REFERENCE,0.9753918818598658,0.22052941618156763,32,1.96306535747307,50,51,0.22059365407621506,0.1282674074635563,0.33734010449975566
Bcc1,0.003060056026278679,0.0833011485818413,0.9166988514181587,1.825637130776608,0.08024109255556262,0.9197589074444373,128,HIGHER_RES_SAMPLING_REFERENCE,0.9791473389963486,0.2042070112602273,64,1.8851683939300174,50,51,0.2044573771642445,0.11175752602114529,0.21292302149506595
Bcc1,0.002349956907517485,0.05185796223253426,0.9481420377674658,2.0273309796803964,0.04950800532501678,0.9504919946749832,128,HIGHER_RES_SAMPLING_REFERENCE,0.9912675610597242,0.13187016822395467,96,1.9778885618610131,50,51,0.13186848369067955,0.08081314934972236,0.2390356807805748
Bcc1,0.0,0.03542832856627106,0.9645716714337289,0.0,0.03542832856627106,0.9645716714337289,128,HIGHER_RES_SAMPLING_REFERENCE,1.0,0.0,128,0.0,50,51,0.0,0.0,0.0
Bcc2,0.030606003567946294,0.3371508006511807,0.6628491993488193,0.24464699819752447,0.367756804219127,0.632243195780873,128,HIGHER_RES_SAMPLING_REFERENCE,0.9136992551691624,0.4069947989935031,32,0.29663735273694486,50,51,0.4071172316209522,0.08109023023556584,0.35994847663933865
Bcc2,0.00904705603342991,0.0644626116296387,0.9355373883703613,0.24916355606225316,0.07350966766306861,0.9264903323369313,128,HIGHER_RES_SAMPLING_REFERENCE,0.9303007775862082,0.36821693996337884,64,0.28926394429938435,50,51,0.3683268704684258,0.14018851705530896,0.3027274495044022
Bcc2,0.005150253808597172,0.03619554749577544,0.9638044525042245,0.14815085256522278,0.03104529368717827,0.9689547063128218,128,HIGHER_RES_SAMPLING_REFERENCE,0.968867024645934,0.2476765389290004,96,0.09052321914004764,50,51,0.2477567257448651,0.057893414916056325,0.30227097323914365
Bcc2,0.0,0.017793051359853134,0.9822069486401469,0.0,0.017793051359853134,0.9822069486401469,128,HIGHER_RES_SAMPLING_REFERENCE,1.0000000000000002,0.0,128,0.0,50,51,0.0,0.0,0.0
Bcc3,0.028578837093850507,0.2617546837662286,0.7382453162337714,1.8607383624226104,0.23317584667237812,0.7668241533276219,128,HIGHER_RES_SAMPLING_REFERENCE,0.9533097505464526,0.30545770505418635,32,1.72447348433831,50,51,0.3054505544332897,0.4153033664435904,0.36553404910061404
Bcc3,0.00503275191317705,0.08854346381726455,0.9114565361827355,1.6208891158988286,0.0935762157304416,0.9064237842695584,128,HIGHER_RES_SAMPLING_REFERENCE,0.9847992528477361,0.2018013563837426,64,1.682687430943614,50,51,0.20179759928038696,0.2548991758651658,0.3312738497731811
Bcc3,0.005523724980020267,0.06871234407466319,0.9312876559253368,1.9692022409385745,0.06318861909464292,0.9368113809053571,128,HIGHER_RES_SAMPLING_REFERENCE,0.9823420222224638,0.18753512914929582,96,1.9514852324448568,50,51,0.18753112169535716,0.24412997254746688,0.2646146146503535
Bcc3,0.0,0.04601752930476665,0.9539824706952333,0.0,0.04601752930476665,0.9539824706952333,128,HIGHER_RES_SAMPLING_REFERENCE,1.0,0.0,128,0.0,50,51,0.0,0.0,0.0
rho,0.018879705944446268,0.4347006800554739,0.5652993199445261,0.6100552158742188,0.41582097411102764,0.5841790258889723,128,HIGHER_RES_SAMPLING_REFERENCE,0.8282876700840364,0.5726196305173127,32,0.03477857615577639,50,51,0.30469793332148565,0.8273525253134674,0.5730270486129707
