channel,field_loss_inner,field_loss_middle,field_loss_outer,global_cosine,global_relative_l2,high_frequency_fraction_absolute_difference,index_grid_high_frequency_energy_fraction,index_grid_low_frequency_energy_fraction,maximum,minimum,q001,q999,radial_profile_relative_l2,reference_high_frequency_energy_fraction,reference_low_frequency_energy_fraction,reference_maximum,reference_minimum,reference_q001,reference_q999,reference_resolution,reference_semantics,resolution,shell_mean_relative_l2,shell_variance_relative_l2,snapshot
Bcc2,0.10737066924524809,0.04416361230178935,0.1181366994717544,0.9946058559006072,0.10729012561047413,0.013749344270874334,0.11994389859197375,0.8800561014080263,0.05443653091788292,-0.007936752401292324,-0.005565510131418705,0.05245572328567505,0.07913832626550786,0.10619455432109942,0.8938054456789006,0.05443653091788292,-0.007936752401292324,-0.005565188359469175,0.05245641618967056,128,HIGHER_RES_SAMPLING_REFERENCE,96,0.03755121606563077,0.05956885903671673,25
Bcc2,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.08267550008577607,0.9173244999142239,0.05443653091788292,-0.007936752401292324,-0.005424415692687035,0.05183554068207741,0.0,0.08267550008577607,0.9173244999142239,0.05443653091788292,-0.007936752401292324,-0.005424415692687035,0.05183554068207741,128,HIGHER_RES_SAMPLING_REFERENCE,128,0.0,0.0,25
Bcc3,0.1439147070063293,0.10859085863545914,0.29647135372082617,0.9971148837018543,0.14391424004789333,0.005350445042356489,0.23308771008329068,0.7669122899167093,0.5431653261184692,-0.5404013395309448,-0.5347439050674438,0.5153000354766846,1.8623677465728985,0.23843815512564717,0.7615618448743529,0.6363776326179504,-0.6392399072647095,-0.6058263778686523,0.6291993260383606,128,HIGHER_RES_SAMPLING_REFERENCE,32,1.8672895492260069,0.23546900420330197,25
Bcc3,0.1783052328057676,0.10851085861058768,0.187668655548085,0.9959600454613519,0.1783039251867522,0.014087019489709598,0.11460052699075383,0.8853994730092462,0.6392294764518738,-0.6392399072647095,-0.5732805728912354,0.5732651948928833,1.8221732847563885,0.12868754648046343,0.8713124535195366,0.8558008074760437,-0.8558139801025391,-0.7600930333137512,0.7601010203361511,128,HIGHER_RES_SAMPLING_REFERENCE,64,1.8351340039879782,0.29265285710021166,25
Bcc3,0.08877982561353298,0.0668062020900948,0.17573529304862967,0.9965827528669206,0.08877945609456328,0.010047123402596558,0.09781829272468352,0.9021817072753164,0.8558008074760437,-0.8558139801025391,-0.6745464205741882,0.6746436357498169,1.938983813134153,0.08777116932208696,0.912228830677913,0.8558008074760437,-0.8558139801025391,-0.6745941638946533,0.674586296081543,128,HIGHER_RES_SAMPLING_REFERENCE,96,1.9435495955633149,0.07008684488056452,25
Bcc3,0.0,0.0,0.0,1.0,0.0,0.0,0.06656906768328195,0.933430932316718,0.8558008074760437,-0.8558139801025391,-0.6392327547073364,0.6392221450805664,0.0,0.06656906768328195,0.933430932316718,0.8558008074760437,-0.8558139801025391,-0.6392327547073364,0.6392221450805664,128,HIGHER_RES_SAMPLING_REFERENCE,128,0.0,0.0,25
rho,0.08661702296474635,0.0496621075823873,0.13349190355445936,0.9911013530920704,0.133483585974207,0.0026134236255229287,0.010608940560452683,0.9893910594395473,1.267763614654541,4.036087830172619e-06,4.0368900044995826e-06,1.1051239967346191,0.0532267375455955,0.013222364185975612,0.9867776358140243,1.3014475107192993,4.1081566450884566e-06,4.127233751205495e-06,1.1109411716461182,128,HIGHER_RES_SAMPLING_REFERENCE,32,0.03120420713542304,0.01566680226117531,25
rho,0.10006150829769497,0.045117881722717426,0.0899240385403026,0.9964411023050783,0.08992641824327155,7.061473969906772e-05,0.002122860271612934,0.9978771397283871,1.3014475107192993,3.7739985145890387e-06,3.8036087062209845e-06,1.1109411716461182,0.06941286738007542,0.0021934750113120015,0.997806524988688,1.267763614654541,3.885701062245062e-06,3.9183087210403755e-06,1.1051239967346191,128,HIGHER_RES_SAMPLING_REFERENCE,64,0.05321821425427279,0.055872952508001644,25
rho,0.052312640815976315,0.029976646673041757,0.08125630357943844,0.9967403193310848,0.08125108880006086,0.00045077006658103005,0.001906745101916492,0.9980932548980835,1.267763614654541,3.6556702980306e-06,3.6915887449140428e-06,1.1051239967346191,0.037365932201803835,0.002357515168497522,0.9976424848315025,1.3014475107192993,3.6556702980306e-06,3.6637368339142995e-06,1.1064091920852661,128,HIGHER_RES_SAMPLING_REFERENCE,96,0.015487564810528712,0.006100207679172201,25
rho,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.001460948342987632,0.9985390516570124,1.3014475107192993,3.6556702980306e-06,3.6908734273310984e-06,1.1064091920852661,0.0,0.001460948342987632,0.9985390516570124,1.3014475107192993,3.6556702980306e-06,3.6908734273310984e-06,1.1064091920852661,128,HIGHER_RES_SAMPLING_REFERENCE,128,0.0,0.0,25
press,0.223059695362126,0.06540671860000778,0.15340494826647183,0.9760352894647345,0.22233052680449192,0.0023327698133334407,0.1422232144646246,0.8577767855353754,0.016230877488851547,2.1980092412832164e-08,2.1987577980553397e-08,0.009409504011273384,0.07014276694339233,0.14455598427795804,0.855444015722042,0.017484057694673538,2.2776754704523228e-08,2.283737821073828e-08,0.010053442791104317,128,HIGHER_RES_SAMPLING_REFERENCE,32,0.06887187407155106,0.14450057595421628,25
press,0.2226517854460699,0.0612399882024348,0.10737439290066024,0.9769029273831414,0.22176214643934317,0.006099446818621318,0.08329162361792716,0.9167083763820728,0.02981320209801197,1.9660204131355385e-08,1.99197316419486e-08,0.014006217010319233,0.08721072821992393,0.08939107043654848,0.9106089295634515,0.0320647694170475,2.0600529282432944e-08,2.0674873368875524e-08,0.015069806016981602,128,HIGHER_RES_SAMPLING_REFERENCE,64,0.07852905177458146,0.18587182679998396,25
press,0.12784313661680533,0.03898888937945531,0.09330620422801691,0.9918685538741723,0.12751360666631256,0.0017816294315858572,0.05600549613374432,0.9439945038662557,0.032065361738204956,1.853973330412373e-08,1.89479578693863e-08,0.016230599954724312,0.044284104469261176,0.054223866702158466,0.9457761332978415,0.032065361738204956,1.853973330412373e-08,1.8714077398840345e-08,0.017344629392027855,128,HIGHER_RES_SAMPLING_REFERENCE,96,0.017430608413769994,0.02472344581563552,25
press,0.0,0.0,0.0,1.0,0.0,0.0,0.03599571095679183,0.9640042890432081,0.032065361738204956,1.853973330412373e-08,1.871566546185477e-08,0.014949052594602108,0.0,0.03599571095679183,0.9640042890432081,0.032065361738204956,1.853973330412373e-08,1.871566546185477e-08,0.014949052594602108,128,HIGHER_RES_SAMPLING_REFERENCE,128,0.0,0.0,25
vel1,0.04628639330887496,0.06375404219904021,0.15481137486423394,0.9955095993601657,0.09526498589913593,0.0012485990545105935,0.03830168926488552,0.9616983107351145,1.2254129648208618,-0.014482195489108562,-0.014037496410310268,1.2042889595031738,0.028699275990029662,0.03955028831939612,0.9604497116806039,1.2854626178741455,-0.013743270188570023,-0.013348517939448357,1.2691185474395752,128,HIGHER_RES_SAMPLING_REFERENCE,32,0.023899779423463094,0.036674289451269944,25
vel1,0.041088062701141514,0.056738524748419075,0.10903982946657986,0.9976110364951101,0.07049599545266451,0.0004475796519440578,0.015443342708500327,0.9845566572914997,1.308350920677185,-0.01568247750401497,-0.013829796575009823,1.1900564432144165,0.03294115326349308,0.015890922360444384,0.9841090776395556,1.2340672016143799,-0.015310586430132389,-0.014371511526405811,1.224052906036377,128,HIGHER_RES_SAMPLING_REFERENCE,64,0.025552357714560495,0.033277204397719584,25
vel1,0.02941499460942097,0.039769768189650584,0.10371641909504195,0.9980176047520712,0.06294866823457491,0.000901440080827683,0.009545916493221474,0.9904540835067785,1.2930117845535278,-0.01579277403652668,-0.01392748486250639,1.2254128456115723,0.020672410477221983,0.010447356574049157,0.9895526434259508,1.2887177467346191,-0.01579277403652668,-0.01392748486250639,1.2240498065948486,128,HIGHER_RES_SAMPLING_REFERENCE,96,0.005842465440906272,0.00898259041834641,25
vel1,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.00701437162799999,0.992985628372,1.2904136180877686,-0.01579277403652668,-0.013929840177297592,1.2149431705474854,0.0,0.00701437162799999,0.992985628372,1.2904136180877686,-0.01579277403652668,-0.013929840177297592,1.2149431705474854,128,HIGHER_RES_SAMPLING_REFERENCE,128,0.0,0.0,25
vel2,0.13086757857314085,0.15951824655458632,0.20627131643391886,0.9942364239707175,0.13209555693254982,0.0034513725886129998,0.19092114719869072,0.8090788528013093,0.08171671628952026,-0.08195848762989044,-0.08097270876169205,0.08153163641691208,1.8591153902428526,0.18746977461007772,0.8125302253899223,0.08891525864601135,-0.08693008124828339,-0.08681142330169678,0.08719006180763245,128,HIGHER_RES_SAMPLING_REFERENCE,32,1.846444979848896,0.17072187942715994,25
vel2,0.15405231044682996,0.1606048166001884,0.13875630442180284,0.9920626365143654,0.15424892678246158,0.004114657706746669,0.096528574681063,0.903471425318937,0.0952560305595398,-0.09524741023778915,-0.0900515615940094,0.09111463278532028,1.9543949410923216,0.10064323238780967,0.8993567676121903,0.09922856837511063,-0.09920205175876617,-0.09814941883087158,0.09816494584083557,128,HIGHER_RES_SAMPLING_REFERENCE,64,1.944313314587071,0.19806523799798056,25
vel2,0.08169249745697389,0.09861856546668361,0.14246295096793127,0.9967196305011679,0.08244978944574596,0.0028661059941507694,0.07648092080649993,0.9235190791935001,0.09922856837511063,-0.09920205175876617,-0.09705089777708054,0.09594692289829254,1.9710675172913485,0.07361481481234916,0.9263851851876508,0.09920800477266312,-0.09922263026237488,-0.09593135118484497,0.09704962372779846,128,HIGHER_RES_SAMPLING_REFERENCE,96,1.9335710080387007,0.039860686815677095,25
vel2,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.05454606992613617,0.9454539300738638,0.09922856837511063,-0.09922263026237488,-0.09459790587425232,0.09459639340639114,0.0,0.05454606992613617,0.9454539300738638,0.09922856837511063,-0.09922263026237488,-0.09459790587425232,0.09459639340639114,128,HIGHER_RES_SAMPLING_REFERENCE,128,0.0,0.0,25
vel3,0.07865423807685841,0.10021839961405463,0.10655752717179329,0.9983372620982871,0.07870511101973111,0.0009362899806226593,0.09324933680754284,0.9067506631924571,1.0518332719802856,-0.0001859684707596898,-0.00014616291446145624,1.048805832862854,0.05429063434259662,0.0941856267881655,0.9058143732118344,1.1319891214370728,-0.0005897795199416578,-0.000513066363055259,1.1283758878707886,128,HIGHER_RES_SAMPLING_REFERENCE,32,0.05334316876922414,0.13787124499324835,25
vel3,0.06503209309748707,0.09665834110783597,0.09216487416653711,0.9994424092157677,0.06513345656809628,0.0014621169720691746,0.0447535446037687,0.9552464553962313,1.131996512413025,-0.0009589274413883686,-0.0008270004182122648,1.1263439655303955,0.05518481158757911,0.046215661575837876,0.9537843384241621,1.2615998983383179,-0.0011492081684991717,-0.0009766301373019814,1.2493585348129272,128,HIGHER_RES_SAMPLING_REFERENCE,64,0.053636641508840996,0.15347228768136528,25
