FIRST_10X_PHYSICAL_RANGE_STEP,FIRST_NEGATIVE_RADIAL_SKILL_STEP,FIRST_NEGATIVE_RESIDUAL_COSINE_STEP,FIRST_NEGATIVE_SHELL_SKILL_STEP,above_Rout,display_name,finite,formal_best_epoch,ground_truth_available,normalized_global_norm,normalized_state_error,physical_range_explosion,press_physical_q001,press_physical_q999,radial_skill,residual_cosine,residual_relative_l2,rho_physical_q001,rho_physical_q999,rho_press_positive,shell_skill,step,variant
1,2,12,1,True,Stage-T Plain,True,150,False,4912323665.835729,,True,1.1754943508222875e-38,6.620955797775974e+16,,,,1.1754943508222875e-38,2.1504328797415057e+25,True,,100,stage_t_plain
1,2,10,1,False,Direction,True,150,True,46685.69426935773,0.2467977281993564,True,3.046453318518161e-07,4520.040182616931,0.21745878050360978,0.8849991550905948,0.4669359499341078,8.279254581793794e-06,11726.141204100773,True,-3.816658100017075,1,direction
1,2,10,1,False,Direction,True,150,True,46817.50565009564,0.296346992280669,True,3.121395850484987e-07,35092891.36597791,-5.363330929977481,0.7434593628829945,0.682319190075122,8.504668169734941e-06,5715281.799999388,True,-227.87000521080162,2,direction
1,2,10,1,False,Direction,True,150,True,50217.3844025602,0.5540602270586933,True,3.17057469970905e-07,6.620955797775974e+16,-534206.3018977786,0.34762662769806724,1.3704208208618684,7.895791800365259e-06,2.1504328797415057e+25,True,-356574337767.3469,3,direction
1,2,10,1,True,Direction,True,150,True,296790.61961321114,7.5375111823646765,True,1.1754943508222875e-38,6.620955797775974e+16,-8.207803218244196,0.11834794624028927,3.927646191015612,1.1754943508222875e-38,2.1504328797415057e+25,True,-59.67317488157674,5,direction
1,2,10,1,True,Direction,True,150,True,3981504.9655776266,100.85975034771386,True,1.1754943508222875e-38,6.620955797775974e+16,-0.3541781277038336,-0.027777524803888277,3.114187775170083,1.1754943508222875e-38,2.1504328797415057e+25,True,-0.11963768136094322,10,direction
1,2,10,1,True,Direction,True,150,True,5578425.190198533,159.60437254583707,True,1.1754943508222875e-38,6.620955797775974e+16,-0.017772132499134896,-0.27715348957438896,2.3978988040576956,1.1754943508222875e-38,2.1504328797415057e+25,True,-0.039653014777366824,19,direction
1,2,10,1,True,Direction,True,150,True,7032917.342410286,231.0170208804252,True,1.1754943508222875e-38,6.620955797775974e+16,-0.020777564709818508,-0.31612694157975046,2.1892063117999667,1.1754943508222875e-38,2.1504328797415057e+25,True,-0.0190355589096618,25,direction
1,2,10,1,True,Direction,True,150,True,24436335.49185496,878.7746413534753,True,1.1754943508222875e-38,6.620955797775974e+16,-0.042840101910614825,-0.13304300852091624,1.9765357744640661,1.1754943508222875e-38,2.1504328797415057e+25,True,-0.008543218143337583,42,direction
1,2,10,1,True,Direction,True,150,False,49975322.78726495,,True,1.1754943508222875e-38,6.620955797775974e+16,,,,1.1754943508222875e-38,2.1504328797415057e+25,True,,50,direction
1,2,10,1,True,Direction,True,150,False,580308651.5154235,,True,1.1754943508222875e-38,6.620955797775974e+16,,,,1.1754943508222875e-38,2.1504328797415057e+25,True,,75,direction
1,2,10,1,True,Direction,True,150,False,7517852157.281706,,True,1.1754943508222875e-38,6.620955797775974e+16,,,,1.1754943508222875e-38,2.1504328797415057e+25,True,,100,direction
1,2,4,1,False,Transport,True,80,True,47203.42046769951,0.24356330565147538,True,2.997239081139469e-07,27.048821702955888,0.13246944002077554,0.8802719583717896,0.4896802786401776,8.284992828521353e-06,351.40078225704264,True,-4.2574373289235155,1,transport
1,2,4,1,False,Transport,True,80,True,47670.533894669636,0.2836986098353709,True,3.0232506921379354e-07,77.34458971404214,-9.820015364087883,0.7187148126131088,0.7361738166867027,8.50590236041171e-06,4846.669374998734,True,-1946.615181532883,2,transport
