source_snapshot,stage_ad_absolute_residual_error,stage_ad_radial_absolute_error,stage_ad_radial_skill,stage_ad_residual_cosine,stage_ad_residual_l2,stage_ad_shell_absolute_error,stage_ad_shell_skill,stage_ad_state_l2,stage_ag_absolute_residual_error,stage_ag_radial_absolute_error,stage_ag_radial_skill,stage_ag_residual_cosine,stage_ag_residual_l2,stage_ag_shell_absolute_error,stage_ag_shell_skill,stage_ag_state_l2,target_snapshot
201,1.9957371348461086,0.5388038061237839,-1.2027876532797692,0.7038310219331754,0.9587246748952855,24.589252902434705,-47.86315057702624,0.3126480801022156,1.9819726615768776,0.251840050691263,-1.1199813923037376,0.6820252242977716,1.0124453083585228,57.155759577275155,-112.78699669785753,0.3388444638580065,202
202,2.005654575728402,0.7809851752218562,-0.6599413325333836,0.7174042934551432,0.9456042056606494,12.957957031071546,-21.360001478339598,0.3150338106793281,1.9852747300183469,0.3931051457501199,-0.020743659430404238,0.7072034237688294,0.9897894857580848,1.483220202276909,-37.887641593708686,0.33645080486473766,203
203,1.9538593998026201,1.0523483293263938,-1.0984688910567613,0.7589158804427971,0.9197073227234104,17.991469663602164,-60.20295019238557,0.30732732104751204,1.9321635983529988,0.5322850459684301,-0.8933084893607539,0.7526883670298085,0.9619680195498249,1.8011407366863266,-17.696912367393857,0.3250334608144124,204
204,1.8945543017833395,0.6487814991651256,-1.3708307727679725,0.7261998271471949,0.9399188640112738,6.24784881482045,-17.92528517607927,0.3105463315208834,1.909695795843723,0.35195065476163573,-1.0920287212002249,0.7046401134975172,0.9927675238015439,2.6064000661454565,-14.99967047661959,0.33148712711586126,205
205,1.873391114704436,0.4420036141100553,-0.24824426834620517,0.7175237470391184,0.9156462622051896,4.532335182644928,-1.6644076022187373,0.31202007097082274,1.9336122113851835,0.26541817724088873,-0.1232966070812036,0.6937460168122964,0.9626972844029217,4.557842280122947,-3.3487309565158867,0.33253358093986496,206
206,1.7623528221440299,0.3808923903301495,-0.5332102454898573,0.7632014453283483,0.8863196610570065,6.079209532365235,-67.3813329471593,0.30342762965085035,1.8366936560317217,0.29419954575852786,-0.38414936784399667,0.7437988543710908,0.926431359880046,1.3999863871816798,-14.747595925701601,0.32281344987858124,207
207,1.6471603213659498,0.2180557557066947,-0.18555769875233885,0.7689526530324112,0.8970164777165242,1.2038472897263104,-30.65008613833153,0.284869814624556,1.6354009585434846,0.1075454513254682,-0.3311175077898114,0.7590965379147951,0.9201984229683345,0.6133732192485922,-35.126033680174245,0.29479608103118926,208
208,1.4807403959940757,0.19869136438216295,-0.27508148716528824,0.811244509163148,0.8619926975810284,0.9793420807171876,-4.117449614947797,0.2683059569847047,1.4607418894990682,0.19196212957871514,-0.9649572675648457,0.7890822677386831,0.8846291737584937,10.729464679267918,-3.3334516381669097,0.2794454998133177,209
209,1.3474792887851643,0.19311792908999212,-1.8794519371543554,0.8258799862264009,0.8490848678862728,0.47593684806188796,-25.538947769911612,0.25519307279100384,1.3086560135111152,0.5208876828220649,-0.4840438957141917,0.8186033781629243,0.8597711152238443,25.092149433993487,-5.738442028669352,0.26028006945215276,210
210,1.3148092698964307,0.11337150987430865,-0.4876690339084786,0.79465926523732,0.8556737125325771,0.21321655999954883,-4.275406807062481,0.2484151318088732,1.295498346614275,0.12717471995659274,-0.4465153280746115,0.77062369150893,0.8781737480081577,4.3097673109795345,-2.8552035303347982,0.25809715518422743,211
