channel,ground_truth_available,model,model_dynamic_span_q99_q01,model_high_k_energy,model_std,model_total_variation,model_variance,oracle_available,retention_vs_canonical_initial_dynamic_span_q99_q01,retention_vs_canonical_initial_dynamic_span_q99_q01_undefined,retention_vs_canonical_initial_high_k_energy,retention_vs_canonical_initial_high_k_energy_undefined,retention_vs_canonical_initial_std,retention_vs_canonical_initial_std_undefined,retention_vs_canonical_initial_total_variation,retention_vs_canonical_initial_total_variation_undefined,retention_vs_canonical_initial_variance,retention_vs_canonical_initial_variance_undefined,retention_vs_raw_initial_dynamic_span_q99_q01,retention_vs_raw_initial_dynamic_span_q99_q01_undefined,retention_vs_raw_initial_high_k_energy,retention_vs_raw_initial_high_k_energy_undefined,retention_vs_raw_initial_std,retention_vs_raw_initial_std_undefined,retention_vs_raw_initial_total_variation,retention_vs_raw_initial_total_variation_undefined,retention_vs_raw_initial_variance,retention_vs_raw_initial_variance_undefined,shell,shell_group,step,voxel_count
vel1,False,persistence,0.6867284005880356,2.0529986188852107,0.23581110336805172,0.012285543938935642,0.055606876471657976,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999064240658,False,1.000000037654691,False,0.9999999999132156,False,1.0000000206405524,False,0.9999999998264313,False,6,middle,100,32768
vel1,False,persistence,0.6359860438108444,3.226759542557939,0.20895891128883937,0.010589520867460312,0.04366382660701704,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999738169613,False,0.9999999884458772,False,0.9999999982306818,False,0.9999999837646222,False,0.9999999964613633,False,7,outer,100,32768
vel1,False,persistence,0.5442226278781891,3.0208606970417073,0.1707138852479906,0.008920216002879127,0.029143230616464108,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999897322619,False,1.0000000140884107,False,1.0000000017057342,False,0.9999999961247557,False,1.0000000034114684,False,8,outer,100,32768
vel2,False,persistence,0.07146307080984116,1.7839205699087917,0.027107959468245124,0.0035498549191007264,0.0007348414665320206,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.19650776727200345,False,0.17595563091529612,False,0.46869498486440525,False,0.4202873887952491,False,0.21967498883704506,False,1,inner,100,32768
vel2,False,persistence,0.07146307080984116,0.33963678296112265,0.022748711508761538,0.0018297884441525597,0.0005175038753088596,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.19618886150679207,False,0.07510238600525215,False,0.4258204537630762,False,0.3270085809788536,False,0.18132305884299207,False,2,inner,100,32768
vel2,False,persistence,0.023873443705961044,0.04446530785031046,0.004722518034099861,0.0008700969132483987,2.2302176582398413e-05,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.000000090895215,False,0.9999999906309506,False,0.9999999987804598,False,0.9999999986620217,False,0.9999999975609193,False,3,middle,100,32768
vel2,False,persistence,0.012971869688481092,0.004488706466125,0.0027064226806195724,0.0002907904846208072,7.324723726172033e-06,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0000000122052441,False,0.9999999962045,False,0.9999999997255449,False,1.0000000007245535,False,0.9999999994510896,False,4,middle,100,32768
vel2,False,persistence,0.005062888616230339,0.0006568706258341807,0.0012850265268545362,0.00010811216271037576,1.6512931747198319e-06,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999848240566,False,1.0000000151302753,False,1.00000000045856,False,1.0000000001916263,False,1.0000000009171202,False,5,middle,100,32768
vel2,False,persistence,0.0016851219430100172,0.0001894394065963678,0.00039531011395420697,4.696932574363477e-05,1.5627008619448809e-07,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999886011052,False,0.9999999915195003,False,0.9999999986933361,False,0.9999999948798056,False,0.9999999973866721,False,6,middle,100,32768
vel2,False,persistence,0.0010243285004980862,7.564393729817884e-05,0.0002289544581330022,3.547881813348367e-05,5.242014389897666e-08,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0000000037894041,False,1.0000000031231313,False,1.0000000059294267,False,1.0000000062462628,False,7,outer,100,32768
