axis,channel,demeaned,ground_truth_available,high_k_axis_anisotropy,high_k_energy,low_k_energy,mid_k_energy,model,oracle_available,parseval_relative_error,retention_vs_canonical_initial_high_k_energy,retention_vs_canonical_initial_high_k_energy_undefined,retention_vs_canonical_initial_low_k_energy,retention_vs_canonical_initial_low_k_energy_undefined,retention_vs_canonical_initial_mid_k_energy,retention_vs_canonical_initial_mid_k_energy_undefined,retention_vs_canonical_initial_total_nonzero_mode_energy,retention_vs_canonical_initial_total_nonzero_mode_energy_undefined,spectral_centroid,step,total_nonzero_mode_energy
combined,Bcc2,False,False,9519750.653900297,2.311003964826333,233.83797275388454,4.494736002074771,persistence,False,2.362140203794245e-16,1.0,False,1.0,False,1.0,False,1.0,False,0.033837345989799365,50,191.52582307301745
combined,Bcc2,True,False,9519750.653900294,2.3110039648263334,184.72008310611633,4.494736002074772,persistence,False,2.9679245309462534e-16,1.0,False,1.0,False,1.0,False,1.0,False,0.033837345989799365,50,191.52582307301745
phi,Bcc3,False,False,76153827.13888958,1.372683083833652e-09,3.426882875669524,3.142051080343531e-08,persistence,False,0.0,1.0,False,1.0,False,1.0,False,1.0,False,0.0513820966901488,50,9.183085972467117e-07
phi,Bcc3,True,False,76153827.13888957,1.3726830838336522e-09,3.426756231555158,3.142051080343531e-08,persistence,False,0.0,1.0,False,1.0,False,1.0,False,1.0,False,0.051382096690148794,50,9.183085972467118e-07
theta,Bcc3,False,False,76153827.13888958,0.1045350702827458,3.1514575165203302,0.1708903216596415,persistence,False,0.0,1.0,False,1.0,False,1.0,False,1.0,False,0.054465399847128095,50,3.426169780414348
theta,Bcc3,True,False,76153827.13888957,0.1045350702827458,3.1513308724059645,0.1708903216596415,persistence,False,0.0,1.0,False,1.0,False,1.0,False,1.0,False,0.054465399847128095,50,3.426169780414348
r,Bcc3,False,False,76153827.13888958,0.05707925268001533,3.2746724911145266,0.0951311646681759,persistence,False,0.0,1.0,False,1.0,False,1.0,False,1.0,False,0.04854294608247966,50,2.415237053556268
r,Bcc3,True,False,76153827.13888957,0.057079252680015326,3.2745458470001605,0.0951311646681759,persistence,False,0.0,1.0,False,1.0,False,1.0,False,1.0,False,0.04854294608247966,50,2.415237053556268
combined,Bcc3,False,False,76153827.13888958,0.1473713135253482,3.0606101401454415,0.2189014547919285,persistence,False,2.591796811927133e-16,1.0,False,1.0,False,1.0,False,1.0,False,0.06650564811925985,50,3.4267562643483513
combined,Bcc3,True,False,76153827.13888957,0.1473713135253482,3.060483496031075,0.2189014547919285,persistence,False,0.0,1.0,False,1.0,False,1.0,False,1.0,False,0.06650564811925985,50,3.426756264348351
phi,rho,False,False,34427501830.798035,9.584064998950876e-09,38721.96700867841,1.0033478562911773e-07,persistence,False,0.0,1.0,False,1.0,False,1.0,False,1.0,False,0.058191155857484106,50,1.9548187836488454e-06
phi,rho,True,False,34427501830.798035,9.584064998950876e-09,35055.62323820785,1.0033478562911773e-07,persistence,False,2.0755465006910487e-16,1.0,False,1.0,False,1.0,False,1.0,False,0.058191155857484106,50,1.9548187836488454e-06
theta,rho,False,False,34427501830.798035,329.9554152978686,34728.14957209557,3663.8620213948925,persistence,False,1.8790258285515498e-16,1.0,False,1.0,False,1.0,False,1.0,False,0.05260766111245821,50,31053.559299309432
theta,rho,True,False,34427501830.798035,329.9554152978686,31061.805801625014,3663.8620213948925,persistence,False,2.0755465006910487e-16,1.0,False,1.0,False,1.0,False,1.0,False,0.05260766111245821,50,31053.559299309436
r,rho,False,False,34427501830.798035,317.8736261513182,35292.739774181486,3111.3536084555276,persistence,False,0.0,1.0,False,1.0,False,1.0,False,1.0,False,0.06892635702704973,50,24942.036709952612
r,rho,True,False,34427501830.798035,317.87362615131826,31626.39600371093,3111.353608455527,persistence,False,0.0,1.0,False,1.0,False,1.0,False,1.0,False,0.06892635702704973,50,24942.036709952612
combined,rho,False,False,34427501830.798035,619.4146538736177,31757.78910536863,6344.763249546082,persistence,False,0.0,1.0,False,1.0,False,1.0,False,1.0,False,0.07538466489276809,50,35055.62323831777
combined,rho,True,False,34427501830.798035,619.4146538736177,28091.44533489807,6344.763249546082,persistence,False,2.0755465006910487e-16,1.0,False,1.0,False,1.0,False,1.0,False,0.07538466489276809,50,35055.62323831778
phi,press,False,False,16706621.718365975,6.255108248810196e-08,20.643747406836173,4.077253736345722e-07,persistence,False,0.0,1.0,False,1.0,False,1.0,False,1.0,False,0.07114333874275001,50,5.087030404251864e-06
phi,press,True,False,16706621.718365975,6.255108248810196e-08,19.578846110824475,4.077253736345722e-07,persistence,False,1.8145674026731815e-16,1.0,False,1.0,False,1.0,False,1.0,False,0.07114333874275001,50,5.087030404251864e-06
theta,press,False,False,16706621.718365975,0.8081541633061233,17.642476017022595,2.1931176967839026,persistence,False,3.4419270182420084e-16,1.0,False,1.0,False,1.0,False,1.0,False,0.07684148424712184,50,16.693353959464336
theta,press,True,False,16706621.718365975,0.8081541633061232,16.5775747210109,2.193117696783902,persistence,False,0.0,1.0,False,1.0,False,1.0,False,1.0,False,0.07684148424712182,50,16.693353959464336
r,press,False,False,16706621.718365975,1.0450172732030258,17.48064153318926,2.118089070720334,persistence,False,1.7209635091210042e-16,1.0,False,1.0,False,1.0,False,1.0,False,0.08979239780807671,50,16.521853610724584
r,press,True,False,16706621.718365975,1.0450172732030258,16.415740237177566,2.118089070720334,persistence,False,0.0,1.0,False,1.0,False,1.0,False,1.0,False,0.08979239780807671,50,16.521853610724584
combined,press,False,False,16706621.718365975,1.7670797280314285,15.194464502841228,3.6822036462399694,persistence,False,0.0,1.0,False,1.0,False,1.0,False,1.0,False,0.10919517530543238,50,19.578846581100922
combined,press,True,False,16706621.718365975,1.7670797280314285,14.12956320682953,3.6822036462399694,persistence,False,0.0,1.0,False,1.0,False,1.0,False,1.0,False,0.10919517530543235,50,19.578846581100926
phi,vel1,False,False,143278.2687456317,0.004369638147570663,35881.86752216526,0.01584687178806922,persistence,False,2.0277521815946867e-16,1.0,False,1.0,False,1.0,False,1.0,False,0.0974482117011641,50,0.08203809126877826
phi,vel1,True,False,143278.2687456317,0.004369638147570663,17806.700748332558,0.01584687178806922,persistence,False,2.0430369040288333e-16,1.0,False,1.0,False,1.0,False,1.0,False,0.0974482117011641,50,0.08203809126877826
theta,vel1,False,False,143278.2687456317,12.834077410356628,35755.898189356245,113.15547190858739,persistence,False,2.0277521815946867e-16,1.0,False,1.0,False,1.0,False,1.0,False,0.02667831339397141,50,10739.216374800133
theta,vel1,True,False,143278.2687456317,12.834077410356628,17680.73141552355,113.15547190858739,persistence,False,0.0,1.0,False,1.0,False,1.0,False,1.0,False,0.02667831339397141,50,10739.216374800133
r,vel1,False,False,143278.2687456317,626.0741888287937,34405.08541605767,850.7281337887367,persistence,False,2.0277521815946867e-16,1.0,False,1.0,False,1.0,False,1.0,False,0.05311192777522551,50,15849.258611973375
