channel,earliest_selected_no_gt_collapse_step,gt_median_model_dynamic_span_retention,gt_median_model_high_k_retention,gt_median_model_total_variation_retention,gt_median_model_variance_retention,gt_median_preprocessing_variance_retention,model,no_gt_detector_collapse_steps,no_gt_std_ratios
vel2,,0.8646629359239026,0.26956286323144546,1.0966595782295618,0.6446925833224969,0.5247486654813817,fno_plain,[],"{""100"":0.4557407031796505,""25"":0.3474371519346694,""50"":0.40053233000949945,""75"":0.4575277953365678}"
vel3,,1.0150984625876702,0.6495823691668912,1.8287180670318028,0.38118158478802655,0.02513101237919938,fno_plain,[],"{""100"":0.10315940036482273,""25"":0.0951352644058518,""50"":0.0989114331536661,""75"":0.10347231768117132}"
Bcc1,,0.07694484171234177,0.003749089036693657,0.17902784532549829,0.006093898204574139,1.0000000030745086,fno_full,[],"{""100"":0.44787681655051964,""25"":0.3040698344406507,""50"":0.3105523271061692,""75"":0.38609601529250354}"
Bcc2,,0.07996729678503395,0.20464648748480427,0.22164437067122653,0.028466677211512664,0.029595477510584067,fno_full,[],"{""100"":0.1877986437108038,""25"":0.05727597740756519,""50"":0.05493844469756408,""75"":0.1662706416301027}"
Bcc3,25,1.0,0.5842363720302068,2.6181514495978506,0.5590381561726522,3.7140167463051e-06,fno_full,"[25,50,75,100]","{""100"":0.013323314239130886,""25"":0.01132579395359481,""50"":0.012470720435553305,""75"":0.013298651362764593}"
rho,75,0.06343296709666883,0.00011123909431013995,0.029073013896535802,0.0009061051861427637,1.0000000548642116,fno_full,"[75,100]","{""100"":0.02549071497116033,""25"":0.069660810444626,""50"":0.06752932864998563,""75"":0.03183470112078433}"
press,,0.016758253768991066,9.195312574065983e-06,0.006292273452611188,9.81466510321433e-06,0.9999999471310116,fno_full,[],"{""100"":0.12035314102256006,""25"":0.20355506453261352,""50"":0.18217351075392688,""75"":0.1261612971569355}"
vel1,,0.5453213411755851,0.24555894802652445,0.6080246844747192,0.20772643136653307,1.0000000002699063,fno_full,[],"{""100"":0.5827119491015704,""25"":0.5139563603597834,""50"":0.5569498791345254,""75"":0.5803436375819587}"
vel2,,1.0,0.5990479405542966,1.570716933567982,1.0563716284089677,0.5247486654813817,fno_full,[],"{""100"":0.7983108722092286,""25"":0.6483798070065946,""50"":0.6853779406913129,""75"":0.7698926630109233}"
vel3,,1.018775530865455,0.7364110024375838,1.8150471927277572,0.6699247862136203,0.02513101237919938,fno_full,[],"{""100"":0.15331782976883096,""25"":0.14316300229862117,""50"":0.1501869779229518,""75"":0.1518451476361586}"
Bcc1,,0.020101181216003707,0.014835080762636536,0.18909244213843074,0.001801356902131453,1.0000000030745086,localno_plain,[],"{""100"":0.12353827860971009,""25"":0.3509282734861354,""50"":0.21033479100798907,""75"":0.17252588046152198}"
Bcc2,,0.5779283671833247,3.6224816203906047,2.124716056139112,0.4740898532928948,0.029595477510584067,localno_plain,[],"{""100"":0.35823449642767763,""25"":0.4089770682520676,""50"":0.33367901922387727,""75"":0.29562763785971663}"
Bcc3,25,1.0,0.9302787855409032,3.255463107199467,0.23854282056531498,3.7140167463051e-06,localno_plain,"[25,50,75,100]","{""100"":0.005714970931891867,""25"":0.006540314194893706,""50"":0.006181260482006235,""75"":0.006142925917123654}"
rho,,0.010623777631433535,0.001369895850352725,0.03146838442562334,0.0002782991701976263,1.0000000548642116,localno_plain,[],"{""100"":0.0991766585101983,""25"":0.08216406522186477,""50"":0.15388214955879687,""75"":0.1798653673365022}"
press,,0.0040448672838685916,2.0586014425207783e-06,0.00481926698524913,8.622340473094066e-07,0.9999999471310116,localno_plain,[],"{""100"":0.06351588243927955,""25"":0.057105949149813554,""50"":0.05756138885374569,""75"":0.05214980943465236}"
vel1,,0.6114475273424034,0.6475533824141938,0.9963892695741738,0.2690590635253694,1.0000000002699063,localno_plain,[],"{""100"":0.5478750202967093,""25"":0.5486334883125259,""50"":0.5394971676085102,""75"":0.5587434793248}"
vel2,,0.3999177524766175,0.5580091914802384,1.3866295664737551,0.2577601380995979,0.5247486654813817,localno_plain,[],"{""100"":0.15909823861030759,""25"":0.13748721133866457,""50"":0.18558774515035342,""75"":0.1624023334714232}"
vel3,75,0.9061764494902528,1.5684366197549953,2.180265658396395,0.20181993760753514,0.02513101237919938,localno_plain,"[75,100]","{""100"":0.04961326023704196,""25"":0.05824152396410557,""50"":0.06666264101341537,""75"":0.044911059312461914}"
