channel,model,radial_absolute_error,shell_absolute_error,source_snapshot
rho,Stage AG,4.505363379381808,93.19174289182047,180
press,Stage AG,1.0407194333203633,160.74083107483287,180
vel1,Stage AG,0.06283959499796345,0.05994808969657929,180
vel2,Stage AG,0.0015921657277797457,2.6537778131086065e-05,180
vel3,Stage AG,0.09353647652452841,0.0110655406094303,180
Bcc1,Stage AD,0.5197793943968413,2.0351533353651785,181
Bcc2,Stage AD,0.1479934562824452,0.07613256120777868,181
Bcc3,Stage AD,0.7007258334042441,14.864690507666884,181
rho,Stage AD,1.3925773239523562,71.1694195930463,181
press,Stage AD,0.6117415949109695,39.52160486568032,181
vel1,Stage AD,0.06278372590886078,0.05270311199397332,181
vel2,Stage AD,0.0014639606246212224,3.3355685542678196e-05,181
vel3,Stage AD,0.07942128813386407,0.0046869800839991335,181
Bcc1,Stage AG,1.6946815540500364,1.6163636791519902,181
Bcc2,Stage AG,0.14662629329260923,0.0035566758567402374,181
Bcc3,Stage AG,0.3173128138585131,12.801589604178723,181
rho,Stage AG,2.6694161946090236,17.096049609420522,181
press,Stage AG,0.5868211451508456,92.39250994449517,181
vel1,Stage AG,0.0542370638059683,0.057565973601710105,181
vel2,Stage AG,0.0013517542952172087,5.385638455356279e-05,181
vel3,Stage AG,0.07557868968072712,0.005012744848023541,181
Bcc1,Stage AD,0.36602260383052393,2.336391245296137,182
Bcc2,Stage AD,0.03562116327237911,0.05513832040468504,182
Bcc3,Stage AD,0.7085984165503301,6.4493196116772005,182
rho,Stage AD,1.7877153159145487,41.809401592021054,182
press,Stage AD,0.829694135985085,252.34143126924323,182
vel1,Stage AD,0.07319038727407408,0.04905350660217067,182
vel2,Stage AD,0.0007544353182474157,7.302830690353642e-05,182
vel3,Stage AD,0.01965499963267148,0.0023323220880551486,182
Bcc1,Stage AG,1.6840949967636085,1.7426999681184152,182
Bcc2,Stage AG,0.012411881427678743,0.0019464202272199552,182
Bcc3,Stage AG,0.6681198347338694,6.181086432387512,182
rho,Stage AG,2.552633400396016,17.610749155551332,182
press,Stage AG,1091.8647289274859,609024946.4801227,182
vel1,Stage AG,0.05625695632897632,0.05306413628564338,182
vel2,Stage AG,0.0011781333127782617,8.563696888568844e-05,182
vel3,Stage AG,0.026836056465462697,0.002627079418191648,182
Bcc1,Stage AD,0.3895126742934991,2.5339262183294244,183
Bcc2,Stage AD,0.11588920795751219,0.047940963968954135,183
Bcc3,Stage AD,1.042699851798041,4.932994932093279,183
rho,Stage AD,2.614955159367283,23.97932398866164,183
press,Stage AD,4.04498235371116,4123.442718571214,183
vel1,Stage AD,0.08551205018963812,0.04665676277918424,183
