channel,model,radial_absolute_error,radial_persistence_absolute_error,radial_skill,source_snapshot,target_snapshot
press,Stage AD,3.0585942959244874,0.08325363900756025,-35.73826552670853,178,179
vel1,Stage AD,0.057215023629806544,0.07736243095760202,0.2604288293220405,178,179
vel2,Stage AD,0.0017184105299553913,0.0005312486643477007,-2.2346632477003214,178,179
vel3,Stage AD,0.015346944151449448,0.013119245347441483,-0.16980388315113037,178,179
Bcc1,Stage AG,1.9626725654795933,0.12166066780083236,-15.132350750306873,178,179
Bcc2,Stage AG,0.07548564954281095,0.11995422577576778,0.3707128777278976,178,179
Bcc3,Stage AG,0.3353326267733362,0.24983278796765143,-0.3422282539502195,178,179
rho,Stage AG,6.1510176796927665,0.6424758611000754,-8.573928068146753,178,179
press,Stage AG,0.6633262494446313,0.08325363900756025,-6.967534600912697,178,179
vel1,Stage AG,0.07474381763613866,0.07736243095760202,0.03384864318571468,178,179
vel2,Stage AG,0.002170282612518449,0.0005312486643477007,-3.0852481298626016,178,179
vel3,Stage AG,0.016045421798613502,0.013119245347441483,-0.22304457106160314,178,179
Bcc1,Stage AD,0.7515275135633517,0.13062209143319892,-4.7534487873951115,179,180
Bcc2,Stage AD,0.06250842909222729,0.08361563712578363,0.25243134847856996,179,180
Bcc3,Stage AD,0.7375623404419652,0.46199273071397634,-0.5964804019797367,179,180
rho,Stage AD,2.8903846366263646,0.829610203882457,-2.48402734573391,179,180
press,Stage AD,0.7869460845465153,0.07104832489087723,-10.076208844546045,179,180
vel1,Stage AD,0.05165404723992316,0.06517776122888905,0.20748969792739225,179,180
vel2,Stage AD,0.0010669919484243562,0.0012271815788079546,0.13053457870448282,179,180
vel3,Stage AD,0.04318576069988452,0.04340362268624114,0.005019442453721323,179,180
Bcc1,Stage AG,1.826313447004257,0.13062209143319892,-12.981658285866958,179,180
Bcc2,Stage AG,0.03463743261362151,0.08361563712578363,0.5857541268086475,179,180
Bcc3,Stage AG,0.7057330608303666,0.46199273071397634,-0.5275847733355181,179,180
rho,Stage AG,4.796683362889331,0.829610203882457,-4.7818519353324485,179,180
press,Stage AG,1.3760601713271683,0.07104832489087723,-18.36794672415785,179,180
vel1,Stage AG,0.05673340060998803,0.06517776122888905,0.12955892408219427,179,180
vel2,Stage AG,0.0016690348182591458,0.0012271815788079546,-0.36005530646931105,179,180
vel3,Stage AG,0.04187472215836032,0.04340362268624114,0.03522518244463224,179,180
Bcc1,Stage AD,0.6800921288296006,0.12322198979808814,-4.519243196315863,180,181
Bcc2,Stage AD,0.09734174659294585,0.08268162869364763,-0.17730804449458737,180,181
Bcc3,Stage AD,0.5695759700804188,0.5238085493576009,-0.08737432937844769,180,181
rho,Stage AD,2.542642696141021,1.0114844336315618,-1.5137734319964742,180,181
press,Stage AD,0.5063389694667108,0.5972603071535315,0.15223067161476134,180,181
vel1,Stage AD,0.06163458836850585,0.06917446872820993,0.10899802337953124,180,181
vel2,Stage AD,0.001100880880998315,0.0006083921320618325,-0.8094923043587774,180,181
vel3,Stage AD,0.09259371565316006,0.09361119355520864,0.010869190567990183,180,181
Bcc1,Stage AG,1.7185956910354958,0.12322198979808814,-12.947150941577807,180,181
Bcc2,Stage AG,0.06758527710985066,0.08268162869364763,0.18258410994456886,180,181
Bcc3,Stage AG,0.6367213824020436,0.5238085493576009,-0.21556126409719556,180,181
rho,Stage AG,4.505363379381808,1.0114844336315618,-3.454209308200692,180,181
press,Stage AG,1.0407194333203633,0.5972603071535315,-0.742488862654046,180,181
vel1,Stage AG,0.06283959499796345,0.06917446872820993,0.09157820575589137,180,181
vel2,Stage AG,0.0015921657277797457,0.0006083921320618325,-1.6170057827406779,180,181
vel3,Stage AG,0.09353647652452841,0.09361119355520864,0.0007981634230115331,180,181
Bcc1,Stage AD,0.5197793943968413,0.09490774456575615,-4.476680504579011,181,182
