channel,model,shell_absolute_error,shell_persistence_absolute_error,shell_skill,source_snapshot,target_snapshot
Bcc3,Stage AG,4.062955764958263,5.057906066058701,0.19671189779048992,172,173
rho,Stage AG,99.11280442562774,10.99550330793128,-8.013939757913189,172,173
press,Stage AG,283.03133165957695,0.8001013554074546,-352.7443471964151,172,173
vel1,Stage AG,0.04797889161044629,0.04901941403774765,0.021226741439628327,172,173
vel2,Stage AG,0.00010835405572094602,0.0006616542517989127,0.8362376491553529,172,173
vel3,Stage AG,0.0013650281016543656,0.0006837581817200054,-0.9963609038221877,172,173
Bcc1,Stage AD,3.6090214679061403,54.83430153734187,0.9341831414511879,173,174
Bcc2,Stage AD,0.5253047667803832,0.023903325840049672,-20.976220811090762,173,174
Bcc3,Stage AD,44.926781336763646,0.5347878852317767,-83.00859962879004,173,174
rho,Stage AD,263.34425336538646,17.187205797597834,-14.32210974061838,173,174
press,Stage AD,36989639604.65732,0.3532349386578847,-104716820326.00209,173,174
vel1,Stage AD,0.04217113164723791,0.055910235523511966,0.24573503845277744,173,174
vel2,Stage AD,4.083698189327607e-05,0.000703499381681847,0.9419516449386954,173,174
vel3,Stage AD,0.002638860450956117,0.0011731779144094063,-1.2493267376965198,173,174
Bcc1,Stage AG,3.773031588923602,54.83430153734187,0.9311921282273617,173,174
Bcc2,Stage AG,0.4758184182545867,0.023903325840049672,-18.905950386927326,173,174
Bcc3,Stage AG,8.22470163313477,0.5347878852317767,-14.379371635485331,173,174
rho,Stage AG,106.26348612227571,17.187205797597834,-5.182708659782709,173,174
press,Stage AG,977.9637582727319,0.3532349386578847,-2767.5929426701186,173,174
vel1,Stage AG,0.04816968020697986,0.055910235523511966,0.13844612250429467,173,174
vel2,Stage AG,0.00010112934577417256,0.000703499381681847,0.8562481383673659,173,174
vel3,Stage AG,0.0025401715034864118,0.0011731779144094063,-1.1652056966697746,173,174
Bcc1,Stage AD,3.083169735841835,56.7447288035524,0.9456659710804923,174,175
Bcc2,Stage AD,0.23022455126337613,0.024377447778303654,-8.44416139692359,174,175
Bcc3,Stage AD,1.8926798239988847,17.894157815535422,0.8942291756052532,174,175
rho,Stage AD,30.46996192182156,6.147353387787635,-3.9565983927901964,174,175
press,Stage AD,3299680.8348665037,0.7691714865490972,-4289914.698345223,174,175
vel1,Stage AD,0.04464772309429081,0.06388919649866875,0.3011694380094273,174,175
vel2,Stage AD,6.818477337002001e-05,0.0005709052051646637,0.8805672592346504,174,175
vel3,Stage AD,0.00295484118461663,0.004419020889684722,0.3313357736067536,174,175
Bcc1,Stage AG,3.168202842664086,56.7447288035524,0.944167451154234,174,175
Bcc2,Stage AG,0.2090595889591786,0.024377447778303654,-7.575942439111497,174,175
Bcc3,Stage AG,13.32407707813848,17.894157815535422,0.255395128650831,174,175
rho,Stage AG,110.34256938890668,6.147353387787635,-16.9496056966749,174,175
press,Stage AG,429.0385479397572,0.7691714865490972,-556.793100033709,174,175
vel1,Stage AG,0.050234130240898386,0.06388919649866875,0.21373044279958808,174,175
vel2,Stage AG,0.00011533652997880892,0.0005709052051646637,0.7979760406186122,174,175
vel3,Stage AG,0.003219542136262272,0.004419020889684722,0.2714354114555968,174,175
Bcc1,Stage AD,3.1836178526779912,58.55531237741476,0.9456305888668448,175,176
Bcc2,Stage AD,0.2350554046213922,0.008125307563329848,-27.92880088406939,175,176
Bcc3,Stage AD,12.571822469592599,3.803084955025612,-2.305690674350958,175,176
rho,Stage AD,14.795173303558085,24.846510853178255,0.4045371846781637,175,176
press,Stage AD,118258.10644956569,0.028951394080066653,-4084710.9873577235,175,176
vel1,Stage AD,0.04534159983893833,0.07007498089124128,0.3529559443004342,175,176
vel2,Stage AD,5.369855694509501e-05,0.000593787518712712,0.9095660396137838,175,176
vel3,Stage AD,0.002722534563966986,0.0020117656291724914,-0.3533060335099065,175,176
Bcc1,Stage AG,3.169668631610828,58.55531237741476,0.9458688118478317,175,176
Bcc2,Stage AG,0.16941029433070012,0.008125307563329848,-19.84970851999032,175,176
Bcc3,Stage AG,0.4381176832518478,3.803084955025612,0.8847993961657643,175,176
rho,Stage AG,136.4825168115177,24.846510853178255,-4.493025464139142,175,176
press,Stage AG,259.0380840511131,0.028951394080066653,-8946.344066911915,175,176
vel1,Stage AG,0.05094453268363455,0.07007498089124128,0.2729996921054867,175,176
vel2,Stage AG,7.476668056253616e-05,0.000593787518712712,0.8740851260655919,175,176
vel3,Stage AG,0.002934158264472438,0.0020117656291724914,-0.45849905273476543,175,176
Bcc1,Stage AD,3.0989649573843776,60.733295959323854,0.9489742009150975,176,177
Bcc2,Stage AD,0.417929621599157,0.004507751719216788,-91.7135405034622,176,177
Bcc3,Stage AD,34.86998864841526,2.48872074673325,-13.011209853169094,176,177
rho,Stage AD,57.48375671287071,12.145102321300778,-3.7330813024154104,176,177
press,Stage AD,6391.093646961722,0.812124465301822,-7868.598713032864,176,177
vel1,Stage AD,0.04531150086861079,0.07393057111180765,0.3871073875503449,176,177
vel2,Stage AD,3.184896480836925e-05,0.0005012642481924644,0.9364627241555424,176,177
vel3,Stage AD,0.002683269847639539,0.0020281199761240615,-0.32303309430812566,176,177
Bcc1,Stage AG,3.2168440122263795,60.733295959323854,0.9470332712655533,176,177
Bcc2,Stage AG,0.38643388043553284,0.004507751719216788,-84.72652277811675,176,177
Bcc3,Stage AG,7.750045848232743,2.48872074673325,-2.114068084338359,176,177
rho,Stage AG,108.15670055361122,12.145102321300778,-7.905375820829422,176,177
press,Stage AG,2334.121812845954,0.812124465301822,-2873.0937043172185,176,177
