clipping_fraction,cumulative_runtime_seconds,epoch,epoch_runtime_seconds,gpu_peak_allocated_mib,gpu_peak_reserved_mib,gradient_norm_after_clip_mean,gradient_norm_before_clip_max,gradient_norm_before_clip_mean,learning_rate_end,learning_rate_start,microbatches_seen,microbatches_this_epoch,nonfinite_count,optimizer_updates,optimizer_updates_this_epoch,train_direction_mean,train_direction_weighted_mean,train_plain_mean,train_radial_mean,train_shell_mean,train_total_mean,train_transport_mean,train_transport_weighted_mean
1.0,611.8905613219995,45,13.698691329998837,562.8193359375,714.0,0.9999999332995642,1829.8385009765625,172.70701372623444,0.0006000000000000001,0.000586984126984127,7560,168,0,1890,42,0.778349991000834,0.057970968726702564,34.223568800393316,171125.0809355236,209.39994078307592,35.450172264330234,85667.24043815334,1.1686328726039799
1.0,625.6201640489999,46,13.729602727000383,562.8193359375,714.0,0.9999998893056598,3376.974609375,205.55534844739097,0.0006133333333333334,0.0006003174603174603,7728,168,0,1932,42,0.775165927197252,0.05773382185792193,33.24518100402894,258015.21102401472,175.8910625362618,35.063976273511194,129095.55104327548,1.761061800105637
1.0,639.0475879799997,47,13.427423930999794,562.8193359375,714.0,0.9999999233654567,899.7604370117188,124.48318739732106,0.0006266666666666666,0.0006136507936507937,7896,168,0,1974,42,0.769463449716568,0.05730910528116398,33.75299093770307,36459.61974608047,167.57405796310627,34.06012575649328,18313.59690202179,0.24982561882300786
1.0,652.8518505669981,48,13.804262586998448,562.8193359375,714.0,0.9999999262037731,2284.721435546875,195.4053020477295,0.00064,0.000626984126984127,8064,168,0,2016,42,0.7663109515394483,0.05707430939839948,32.166378954026314,146032.2190376151,136.62728926254692,33.22043695803033,73084.42316343883,0.9969838989473985
1.0,666.309061220998,49,13.457210653999937,562.8193359375,714.0,0.9999999034972418,1141.2572021484375,121.13790781441189,0.0006533333333333332,0.0006403174603174603,8232,168,0,2058,42,0.7614949922121707,0.05671562008025392,32.56975815746756,33361.51227027745,118.18815652875372,32.85483066206327,16739.850213403104,0.2283572943612296
1.0,680.0281753549971,50,13.719114133999028,562.8193359375,714.0,0.9999999233654567,968.2317504882812,81.67386529559181,0.0006666666666666666,0.0006536507936507937,8400,168,0,2100,42,0.7571914813348225,0.05639509756805476,31.49833314706172,15316.238742646718,102.42351314047777,31.65989571348104,7709.331127893598,0.10516712964916626
1.0,693.5559401869978,51,13.527764832000685,562.8193359375,714.0,0.9999999134313493,1045.3914794921875,122.58416628269921,0.0006799999999999999,0.000666984126984127,8568,168,0,2142,42,0.7524449490010738,0.05604157912434512,30.86490099810596,39775.28894045098,84.05485969937584,31.192813757463547,19929.67190007518,0.27187136650507615
1.0,707.1360698439967,52,13.580129656998906,562.8193359375,714.0,0.9999999332995642,3553.48583984375,210.13583358696528,0.0006933333333333333,0.0006803174603174604,8736,168,0,2184,42,0.7503085180762268,0.055882459227431125,31.350930737154115,228548.6571377005,82.13290528010351,32.9662510150695,114315.39502149032,1.5594377475397834
1.0,720.9314498819967,53,13.795380038000076,562.8193359375,714.0,0.9999999105930328,1224.71044921875,144.36355004991805,0.0007066666666666666,0.0006936507936507937,8904,168,0,2226,42,0.7492415805657705,0.055802994459952314,31.7432330898231,58062.655086108614,65.67316544380364,32.19551585669189,29064.164125776217,0.3964798847076245
1.0,734.4169715109965,54,13.485521628999777,562.8193359375,714.0,0.9999999290420896,1157.448486328125,122.72040872914451,0.00072,0.0007069841269841269,9072,168,0,2268,42,0.746870769631295,0.0556264181021076,30.543433241058317,51525.57197814045,63.39758535881077,30.950936302069323,25794.484781749623,0.3518764313366448
1.0,748.1845251699979,55,13.76755365900135,562.8193359375,714.0,0.9999999262037731,1233.8416748046875,122.24573359886806,0.0007333333333333333,0.0007203174603174603,9240,168,0,2310,42,0.7466999592170829,0.05561369626065456,28.897135785337362,34894.36461468112,55.689059985802984,29.19113615414202,17475.026837333462,0.23838623384265584
