aux_gradient_norm,aux_over_plain_norm_ratio,channel,cosine_with_plain,module,objective,pair_source,plain_gradient_norm,scope,subset_position
30.38916778564453,132.85592651367188,all,0.5265306830406189,layer_2,radial,7,0.2287377566099167,aggregate,1
34.6903076171875,106.64827728271484,all,0.5219549536705017,layer_3,radial,7,0.325277715921402,aggregate,1
94.49333190917969,52.64165496826172,all,0.2924600839614868,global,transport,7,1.795029640197754,aggregate,1
20.870391845703125,58.165855407714844,all,0.5086131691932678,spectral_branch,transport,7,0.358808308839798,aggregate,1
5.519680023193359,28.085464477539062,all,0.15040870010852814,differential_branch,transport,7,0.19653154909610748,aggregate,1
12.194485664367676,44.78245162963867,all,0.22932571172714233,lifting,transport,7,0.2723050117492676,aggregate,1
90.15540313720703,52.64237976074219,all,0.281070739030838,projection,transport,7,1.7126011848449707,aggregate,1
7.211127281188965,44.07242965698242,all,0.17477205395698547,layer_0,transport,7,0.16361992061138153,aggregate,1
8.139571189880371,46.93147277832031,all,0.31553491950035095,layer_1,transport,7,0.173435240983963,aggregate,1
15.223877906799316,66.5560302734375,all,0.5289401412010193,layer_2,transport,7,0.2287377566099167,aggregate,1
17.38585090637207,53.44925308227539,all,0.5223715901374817,layer_3,transport,7,0.325277715921402,aggregate,1
2.0925021171569824,1.9622076749801636,all,0.34895652532577515,global,direction,14,1.0664019584655762,aggregate,2
0.38399675488471985,1.574231505393982,all,0.17264284193515778,spectral_branch,direction,14,0.24392648041248322,aggregate,2
0.2339731603860855,2.3821349143981934,all,0.33953532576560974,differential_branch,direction,14,0.09821994602680206,aggregate,2
0.40319013595581055,1.7432992458343506,all,0.39081525802612305,lifting,direction,14,0.23127993941307068,aggregate,2
1.9880502223968506,2.0026602745056152,all,0.361499547958374,projection,direction,14,0.9927046298980713,aggregate,2
0.21867035329341888,1.9552905559539795,all,0.3190920650959015,layer_0,direction,14,0.11183521896600723,aggregate,2
0.2372635006904602,1.801059603691101,all,0.29647842049598694,layer_1,direction,14,0.13173550367355347,aggregate,2
0.26411816477775574,1.4487595558166504,all,0.09672465920448303,layer_2,direction,14,0.1823064237833023,aggregate,2
0.2996501624584198,1.5979716777801514,all,0.12584762275218964,layer_3,direction,14,0.18751907348632812,aggregate,2
54.24449157714844,50.8668327331543,all,0.027373971417546272,global,shell,14,1.0664019584655762,aggregate,2
21.67619514465332,88.86363983154297,all,-0.0004644306027330458,spectral_branch,shell,14,0.24392648041248322,aggregate,2
16.640554428100586,169.4213409423828,all,0.024086764082312584,differential_branch,shell,14,0.09821994602680206,aggregate,2
33.846073150634766,146.3424530029297,all,0.19103564321994781,lifting,shell,14,0.23127993941307068,aggregate,2
28.024694442749023,28.230648040771484,all,-0.011376445181667805,projection,shell,14,0.9927046298980713,aggregate,2
16.344329833984375,146.1465301513672,all,0.03882182762026787,layer_0,shell,14,0.11183521896600723,aggregate,2
15.958937644958496,121.14378356933594,all,0.04860985279083252,layer_1,shell,14,0.13173550367355347,aggregate,2
16.624706268310547,91.19100952148438,all,0.005791733041405678,layer_2,shell,14,0.1823064237833023,aggregate,2
14.605445861816406,77.88778686523438,all,0.07808548212051392,layer_3,shell,14,0.18751907348632812,aggregate,2
9592.39453125,8995.1025390625,all,0.0950467512011528,global,radial,14,1.0664019584655762,aggregate,2
1360.2359619140625,5576.41796875,all,-0.012761436402797699,spectral_branch,radial,14,0.24392648041248322,aggregate,2
2095.937255859375,21339.22265625,all,-0.028546860441565514,differential_branch,radial,14,0.09821994602680206,aggregate,2
1187.7994384765625,5135.76513671875,all,-0.018887998536229134,lifting,radial,14,0.23127993941307068,aggregate,2
9124.28515625,9191.33984375,all,0.10943352431058884,projection,radial,14,0.9927046298980713,aggregate,2
1324.212646484375,11840.748046875,all,0.05625338852405548,layer_0,radial,14,0.11183521896600723,aggregate,2
1104.2542724609375,8382.359375,all,-0.060889311134815216,layer_1,radial,14,0.13173550367355347,aggregate,2
1246.3919677734375,6836.796875,all,-0.08764823526144028,layer_2,radial,14,0.1823064237833023,aggregate,2
1680.53173828125,8961.923828125,all,0.02119656465947628,layer_3,radial,14,0.18751907348632812,aggregate,2
4796.61376953125,4497.94140625,all,0.09519408643245697,global,transport,14,1.0664019584655762,aggregate,2
680.2494506835938,2788.747802734375,all,-0.012768572196364403,spectral_branch,transport,14,0.24392648041248322,aggregate,2
1047.66357421875,10666.5048828125,all,-0.028386613354086876,differential_branch,transport,14,0.09821994602680206,aggregate,2
595.9507446289062,2576.750732421875,all,-0.013373267836868763,lifting,transport,14,0.23127993941307068,aggregate,2
4562.28759765625,4595.81591796875,all,0.10939596593379974,projection,transport,14,0.9927046298980713,aggregate,2
661.6094360351562,5915.93115234375,all,0.056779228150844574,layer_0,transport,14,0.11183521896600723,aggregate,2
552.4043579101562,4193.28369140625,all,-0.06018715351819992,layer_1,transport,14,0.13173550367355347,aggregate,2
623.6150512695312,3420.697021484375,all,-0.08752184361219406,layer_2,transport,14,0.1823064237833023,aggregate,2
840.2989501953125,4481.138671875,all,0.02187306433916092,layer_3,transport,14,0.18751907348632812,aggregate,2
1.6384254693984985,0.9758281111717224,all,0.7861171364784241,global,direction,21,1.679010272026062,aggregate,3
0.36170926690101624,0.7659763097763062,all,0.616295576095581,spectral_branch,direction,21,0.47221991419792175,aggregate,3
0.39965879917144775,0.8443813323974609,all,0.8941073417663574,differential_branch,direction,21,0.4733155369758606,aggregate,3
0.5366135239601135,0.6730090379714966,all,0.7475540637969971,lifting,direction,21,0.7973347902297974,aggregate,3
1.4235910177230835,1.1354273557662964,all,0.8371641039848328,projection,direction,21,1.2537931203842163,aggregate,3
0.3373531103134155,0.8036113977432251,all,0.8296092748641968,layer_0,direction,21,0.41979631781578064,aggregate,3
0.26593339443206787,0.8134098052978516,all,0.7480233907699585,layer_1,direction,21,0.3269365429878235,aggregate,3
