channel,pair_count,pearson_p,pearson_r,scope,spearman_p,spearman_r,split,x,y
rho,168,0.04292379620141709,0.1563949609224363,per_channel,0.905142359503942,-0.009262961819387431,train,rho_plain_loss,radial_error
press,168,1.4410360417208154e-58,0.8902081794415666,per_channel,3.987259026145036e-127,0.9843693846457552,train,press_plain_loss,state_relative_l2
press,168,1.5307462050787643e-08,0.4193686446061604,per_channel,8.985010769819392e-18,-0.5995312840084835,train,press_plain_loss,residual_relative_l2
press,168,0.3533126503758699,0.07205570898527065,per_channel,0.0064729836055139635,0.20929991243210963,train,press_plain_loss,shell_error
press,168,0.14199384631247888,0.11377126339550589,per_channel,0.010616175141836801,-0.19666837078168267,train,press_plain_loss,radial_error
all,42,6.475274263202482e-18,0.9204686010661399,aggregate,4.8393718791485304e-20,0.9382545984928289,validation,plain_residual_loss,state_relative_l2
all,42,1.390777466068623e-07,0.710074763441671,aggregate,2.3438559661851893e-07,0.7009966777408637,validation,plain_residual_loss,residual_relative_l2
all,42,4.294744624959946e-05,0.5875706733824267,aggregate,0.0002823607702368827,0.5326148610323312,validation,plain_residual_loss,residual_cosine_error
all,42,0.00537193289837847,0.4220228080938073,aggregate,3.6532390258813632e-06,0.6470302244550684,validation,plain_residual_loss,shell_error
all,42,0.00474225345171019,0.4275256128381973,aggregate,0.0017192796880929405,0.46924884531237343,validation,plain_residual_loss,radial_error
all,42,0.000772680404740559,0.49882013124860897,aggregate,2.4987361461035533e-09,0.770034843205575,validation,plain_residual_loss,physical_relative_l2
all,42,0.008262138117222127,0.4023018829162783,aggregate,2.5528798738640672e-05,0.6011668422332064,validation,plain_residual_loss,rho_press_physical_tail_contribution
Bcc2,42,5.915339959673975e-31,0.9827790982053297,per_channel,2.3393363834944596e-53,0.9987035086297708,validation,Bcc2_plain_loss,state_relative_l2
Bcc2,42,6.260827749178337e-09,0.7577208987604539,per_channel,9.183189249417685e-07,0.6755530346001135,validation,Bcc2_plain_loss,residual_relative_l2
Bcc2,42,0.008608064490498056,0.400361478261271,per_channel,2.6220452764880235e-06,0.6541609269913298,validation,Bcc2_plain_loss,shell_error
Bcc2,42,1.6331069373404358e-08,0.7440456673764444,per_channel,1.985909495587183e-06,0.6599951381573615,validation,Bcc2_plain_loss,radial_error
Bcc3,42,5.780997246169651e-39,0.9931844413499846,per_channel,2.2281045247430352e-38,0.9927072360424601,validation,Bcc3_plain_loss,state_relative_l2
Bcc3,42,0.0032543104241858256,0.4436197991697777,per_channel,0.003239882849645863,0.4438052021716231,validation,Bcc3_plain_loss,residual_relative_l2
Bcc3,42,0.04909373461550744,0.30555045883405485,per_channel,6.437530701341714e-08,0.7228749696134835,validation,Bcc3_plain_loss,shell_error
Bcc3,42,0.06837004941734631,0.2839760666572586,per_channel,0.6584151656296703,0.07025362612430111,validation,Bcc3_plain_loss,radial_error
