candidate_gate2_severe_global,candidate_gate2_severe_shell_radial,channel,delta_shrink_ratio,finite,first_delta_norm,first_global_variance_ratio_over_input,first_radial_variance_ratio_over_input,first_shell_variance_ratio_over_input,first_std,global_variance_ratio_second_over_first,legacy_flags,model_application_count,radial_variance_ratio_second_over_first,second_delta_norm,second_std,shell_variance_ratio_second_over_first,snapshot,std_ratio_second_over_first
False,False,rho,0.25187562008956105,True,682.855224609375,0.842960019128036,0.5952928899709351,0.4263295086170872,1.2030949592590332,0.9116550620302148,[],2,0.8577397790125839,171.9945831298828,1.1487226486206055,0.748138698402656,96,0.95480630168053
False,False,press,0.37308248379107734,True,404.1117858886719,0.6911024292089122,0.4068029785689787,1.2357167682210668,0.9598944187164307,0.8591893343207525,"[""press:possible_field_collapse""]",2,0.782875556179791,150.76702880859375,0.8897498250007629,0.9393680005307167,96,0.926924678018792
False,False,vel1,0.23280270042997198,True,782.4365234375,0.4667102639951879,0.60150790908745,0.3024727194324397,1.0777479410171509,0.8565474913095208,"[""vel1:possible_stripe_anisotropy""]",2,0.5865804479465456,182.15333557128906,0.9974541068077087,0.8299633436077236,96,0.9254985037283737
False,False,vel2,0.6422924442985389,True,858.206298828125,0.839695412098291,149.3110667598405,0.7955562598795305,2.157740354537964,0.9728836847889664,"[""vel2:possible_stripe_anisotropy""]",2,0.9519418593193014,551.2194213867188,2.128284215927124,1.1492886663967872,96,0.9863486176411863
False,False,vel3,0.5356185698284596,True,764.5208740234375,0.9900105777261891,0.8134301763306462,2.7266475202165172,2.7924959659576416,0.8371389134212822,"[""vel3:possible_stripe_anisotropy""]",2,0.8320989667847917,409.4915771484375,2.555002450942993,0.687758396254299,96,0.9149529603946254
False,False,Bcc1,0.37214389739419196,True,329.0953063964844,0.6872137635738707,3644.494255612685,1.0768773523229163,1.1058075428009033,0.7899440097402171,[],2,0.6616360770892594,122.47080993652344,0.9828284382820129,0.7164586889185726,100,0.888787967382284
False,False,Bcc2,0.386307647335016,True,1118.7181396484375,0.6570381341522734,0.8450829282711181,1.8770113395551595,2.8128485679626465,0.7546460802058131,[],2,0.7124675852801878,432.16937255859375,2.4435319900512695,0.8112962061965865,100,0.8687037112065816
False,False,Bcc3,0.5436238104462878,True,880.3006591796875,0.7740805517296137,279.6452286694714,0.6234752773984645,4.329452037811279,0.916541259659918,"[""Bcc3:possible_field_collapse""]",2,0.5124565334194595,478.5523986816406,4.144851207733154,0.6804486822998245,100,0.9573616179447392
False,False,rho,0.2656658160112609,True,656.3518676757812,0.9394710957929165,0.5488917622563771,0.7148232073205509,1.1834238767623901,0.8745166485361988,[],2,0.8254217118956652,174.37025451660156,1.1066858768463135,0.8411579361884234,100,0.9351559475662968
False,False,press,0.34556940904863165,True,416.4690856933594,0.7147079541834117,0.40141062864174243,1.561552028096248,0.9505876302719116,0.8509285018147877,"[""press:possible_field_collapse""]",2,0.7400133353791907,143.91897583007812,0.8768770098686218,0.964501484987075,100,0.9224578375986177
False,False,vel1,0.18044427397556642,True,974.9903564453125,0.35647578442447714,0.6823817945459322,0.23748744394097904,1.0867215394973755,0.8265748703319319,"[""vel1:possible_stripe_anisotropy""]",2,0.6108217221257045,175.93142700195312,0.988005518913269,0.8517422032916667,100,0.909161623289657
False,False,vel2,0.6153734223327126,True,957.2025146484375,0.7032579799340511,143.8720877282913,0.7938409497568637,2.1328394412994385,0.8848575160844591,"[""vel2:possible_stripe_anisotropy""]",2,1.0793082674685899,589.0369873046875,2.0062952041625977,0.9730131873559384,100,0.9406686529297567
False,False,vel3,0.4898601374967812,True,839.7835083007812,1.0406782554521972,0.8098752585886086,3.840305166169209,2.8149330615997314,0.7954437230837462,"[""vel3:possible_stripe_anisotropy""]",2,0.7454358421164667,411.37646484375,2.510572671890259,0.6180474068057908,100,0.8918765089438737
False,True,Bcc1,0.3758504440675167,True,375.529052734375,0.6922613825650679,3672.3553751842387,1.0818219483078784,1.1483978033065796,0.7702874335750118,[],2,0.46455026695832546,141.14276123046875,1.0079030990600586,0.7333302705641898,110,0.8776602464389998
False,False,Bcc2,0.35624730303956786,True,1151.0738525390625,0.7005849097538089,1.006314156681187,1.5872724339903295,2.9228193759918213,0.8120014499013212,[],2,0.7869933966381177,410.06695556640625,2.6337852478027344,0.8123313145381061,110,0.9011111905979455
False,True,Bcc3,0.4858054272873613,True,1038.5211181640625,0.7405551803867838,329.37674919722997,0.6241599692309101,4.420425891876221,0.897377788436976,"[""Bcc3:possible_field_collapse""]",2,0.42571613752427007,504.5191955566406,4.187470436096191,0.7022328674119945,110,0.9473002236711737
