channel,correlation,delta_cosine,delta_norm,delta_over_state_norm,delta_sign_agreement,ground_truth_available,mean_shift,model_oracle_delta_norm_ratio,oracle_delta_norm,output_mean,output_std,persistence_distance,radial_transport_error,radial_transport_sign_agreement,radial_transport_skill,shell_transport_error,shell_transport_sign_agreement,shell_transport_skill,snapshot,state_mean,state_std
Bcc3,0.9971381035740109,0.23375563592710014,126.05513000488281,0.07642646154807152,0.4670524597167969,True,-0.00875997543334961,1.7963016336352229,70.17481231689453,0.001276254653930664,3.2471816539764404,126.05513000488281,17.809106371959974,0.515625,-16.809106371959974,4.298451481848545,0.5,-3.298451481848545,50,0.010036230087280273,3.221400499343872
rho,0.9851480536652066,0.21531528629546026,93.2483139038086,0.1736406686490462,0.3644523620605469,True,0.027946967631578445,10.43320856185578,8.937644958496094,0.08321046829223633,1.0384494066238403,93.2483139038086,7.2916872991228745,0.609375,-6.2916872991228745,4.531828692603865,0.625,-3.531828692603865,50,0.05526350066065788,1.047408103942871
press,0.9903812794436411,0.02721474572159776,67.28313446044922,0.1404190629955863,0.4534111022949219,True,0.022323843091726303,13.169242968275762,5.109111785888672,-0.056742001324892044,0.9346274733543396,67.28313446044922,11.813207278842983,0.5625,-10.813207278842983,8.84258799361988,0.75,-7.84258799361988,50,-0.07906584441661835,0.9325125813484192
vel1,0.9680146084416507,0.1941579368611607,128.7878875732422,0.2804635450422119,0.5442428588867188,True,0.07323617488145828,5.414255954146935,23.78681182861328,0.1317768692970276,0.9528787136077881,128.7878875732422,9.54166679867787,0.671875,-8.54166679867787,2.845466252846137,0.75,-1.845466252846137,50,0.058540694415569305,0.8949556350708008
vel2,0.9792200765540305,0.7276435371778724,292.9524841308594,0.20426605684188845,0.57080078125,True,0.015391334891319275,1.0809953727450845,271.0025329589844,0.019133970141410828,2.6762378215789795,292.9524841308594,14.910607596917608,0.59375,-13.910607596917608,1.8618826411433214,0.25,-0.8618826411433214,50,0.0037426352500915527,2.8011128902435303
vel3,0.9958525346743431,0.15384698933655344,142.93821716308594,0.08455143579321632,0.40624237060546875,True,0.11364710330963135,2.127390691767681,67.189453125,1.8627632856369019,2.7990357875823975,142.93821716308594,5.0798216073256235,0.375,-4.0798216073256235,1.0957336518305227,0.5,-0.09573365183052274,50,1.7491161823272705,2.800501585006714
Bcc1,0.9006510579390269,-0.14189824267032658,256.50140380859375,0.4633326637411885,0.2550239562988281,True,0.015039891004562378,4.536317700558779,56.543968200683594,0.009790629148483276,0.800614058971405,256.50140380859375,30.590013207219137,0.640625,-29.590013207219137,7.789318574363943,0.125,-6.789318574363943,90,-0.0052492618560791016,1.081239104270935
Bcc2,0.9779655570142769,0.3322644206663607,337.06024169921875,0.18371349637399717,0.5670890808105469,True,0.16821372509002686,0.9889872452693812,340.81353759765625,-1.7542247772216797,3.0381827354431152,337.06024169921875,1.2705004589390934,0.6875,-0.27050045893909336,0.9407315535226004,0.5,0.059268446477399594,90,-1.9224385023117065,3.0240795612335205
Bcc3,0.9657375007543713,0.6271488753849966,568.0349731445312,0.25993797139965485,0.30501556396484375,True,0.0400736927986145,0.7418022970585552,765.7498168945312,0.06808680295944214,4.0727858543396,568.0349731445312,2.634466870048527,0.453125,-1.6344668700485272,3.3425762448981473,0.5,-2.3425762448981473,90,0.028013110160827637,4.2680158615112305
rho,0.9130703414390394,-0.017756514754572017,259.9098815917969,0.4037514294358591,0.4186210632324219,True,-0.14404743909835815,2.2586580523561626,115.07270050048828,0.3371998071670532,0.9484670758247375,259.9098815917969,2.467919898723885,0.203125,-1.4679198987238848,4.74440254687888,0.875,-3.74440254687888,90,0.4812472462654114,1.16155207157135
press,0.9236515464546333,-0.14992290626604632,202.09359741210938,0.39658778472806544,0.46631622314453125,True,-0.09273752570152283,2.5283320955181607,79.93158721923828,0.027440039440989494,0.8506190776824951,202.09359741210938,2.7908648141120644,0.34375,-1.7908648141120644,4.456474546833291,0.875,-3.4564745468332907,90,0.12017756700515747,0.9879931211471558
vel1,0.9155919074990158,-0.21901042496756273,273.8438720703125,0.4057125278242168,0.4545135498046875,True,-0.10834246873855591,4.7083411191859526,58.161434173583984,0.13717049360275269,1.1305195093154907,273.8438720703125,7.7889504531918865,0.34375,-6.7889504531918865,6.664315292459441,0.125,-5.664315292459441,90,0.2455129623413086,1.2952380180358887
vel2,0.9573012810906307,0.21958490866067631,405.15631103515625,0.30653516877838405,0.5263023376464844,True,0.13754534721374512,1.5760418446112456,257.0720520019531,0.13832642138004303,2.246953248977661,405.15631103515625,39.47877590071455,0.5,-38.47877590071455,5.928925953900615,0.5,-4.928925953900615,90,0.0007810741662979126,2.5815012454986572
vel3,0.9690958731570531,0.3812598405197719,357.0020446777344,0.19787060268868392,0.46612548828125,True,0.005491733551025391,1.062848010076949,335.89190673828125,2.112004280090332,2.7145979404449463,357.0020446777344,1.032339134798091,0.625,-0.03233913479809103,2.4665981057306237,0.25,-1.4665981057306237,90,2.1065125465393066,2.824932098388672
Bcc1,0.8883985024253831,-0.1769275879226163,277.38189697265625,0.4863188139048363,0.2651634216308594,True,0.018708527088165283,4.435266572549766,62.54007339477539,0.013232648372650146,0.8118422627449036,277.38189697265625,22.19693482684987,0.625,-21.19693482684987,6.648829827265267,0.25,-5.648829827265267,91,-0.005475878715515137,1.113991379737854
Bcc2,0.9693507953755639,0.28403829374349765,400.7052917480469,0.21776093394374385,0.5253982543945312,True,0.2560873031616211,0.8086724960739049,495.5099792480469,-1.7244091033935547,2.9706642627716064,400.7052917480469,1.3926418761933907,0.578125,-0.39264187619339075,0.2368432551010479,0.375,0.7631567448989521,91,-1.9804964065551758,2.999048948287964
Bcc3,0.9613088751710687,0.4917586310069033,612.1996459960938,0.27637034271063327,0.28759765625,True,0.04946768283843994,0.6585639293492834,929.597900390625,0.0758466124534607,4.076050281524658,612.1996459960938,2.772534150356769,0.453125,-1.772534150356769,4.682670489744914,0.5,-3.682670489744914,91,0.026378929615020752,4.326369285583496
rho,0.8859841733926654,-0.03068320471214863,307.38818359375,0.4655386629955383,0.4211463928222656,True,-0.20759248733520508,2.227432380344983,138.00112915039062,0.31790971755981445,0.9051992893218994,307.38818359375,2.358093605861889,0.203125,-1.3580936058618889,6.2128046166995095,0.875,-5.2128046166995095,91,0.5255022048950195,1.1776947975158691
press,0.9095842979643118,-0.12733334909228877,227.096923828125,0.43680975775602415,0.45716094970703125,True,-0.1207844465970993,2.3120733126303965,98.22219848632812,0.022874057292938232,0.8266634941101074,227.096923828125,2.854546599498206,0.375,-1.8545465994982062,5.738292596952845,0.875,-4.738292596952845,91,0.14365850389003754,1.0052140951156616
vel1,0.8805618244707969,-0.14670839374665035,325.106201171875,0.47612496807756455,0.4300956726074219,True,-0.11755706369876862,3.736584847425685,87.00624084472656,0.1267777681350708,1.0970501899719238,325.106201171875,4.08114978477812,0.3125,-3.0811497847781197,6.185265553169518,0.125,-5.185265553169518,91,0.24433483183383942,1.3110533952713013
vel2,0.9369693493628632,0.2150229130014338,491.8955993652344,0.37555438094101073,0.5160942077636719,True,0.17999917268753052,1.344025572319057,365.9867858886719,0.1806224286556244,2.094224452972412,491.8955993652344,28.79443368879556,0.609375,-27.79443368879556,4.137459561175424,0.5,-3.137459561175424,91,0.0006232559680938721,2.5581743717193604
vel3,0.9556948921124503,0.295465145477522,429.0503845214844,0.23414115962062104,0.43235015869140625,True,-0.0507049560546875,0.9276572869781916,462.50958251953125,2.1329402923583984,2.655822515487671,429.0503845214844,1.2153073942922357,0.46875,-0.21530739429223567,2.0186703517351807,0.375,-1.0186703517351807,91,2.183645248413086,2.8356423377990723
Bcc1,0.8709184597670458,-0.24616818288774175,304.8560791015625,0.5159633975995764,0.2728729248046875,True,0.013233989477157593,3.951079039090552,77.15767669677734,0.006981462240219116,0.8240541219711304,304.8560791015625,13.99939204077606,0.640625,-12.99939204077606,4.948744539164705,0.25,-3.9487445391647054,92,-0.0062525272369384766,1.1539835929870605
Bcc2,0.9472520730021328,0.2158552702556033,520.0753173828125,0.2827773107364072,0.52392578125,True,0.3726675510406494,0.8508545127947502,611.2388305664062,-1.695507526397705,2.8651678562164307,520.0753173828125,1.5345649178617309,0.546875,-0.5345649178617309,0.4677206313113996,0.75,0.5322793686886004,92,-2.0681750774383545,2.9370107650756836
Bcc3,0.9560126946842574,0.33223154941774685,662.7063598632812,0.2956218066456077,0.29892730712890625,True,0.0665467381477356,0.47554615111250176,1393.5689697265625,0.1014065146446228,4.038679599761963,662.7063598632812,2.7809787308378793,0.609375,-1.7809787308378793,4.195036008479639,0.5,-3.195036008479639,92,0.03485977649688721,4.378253936767578
rho,0.8457207389417911,-0.019948141003404838,375.04052734375,0.547271575101656,0.3932075500488281,True,-0.3110809326171875,1.9104228514612425,196.31283569335938,0.2825133800506592,0.8413859605789185,375.04052734375,1.866682958185494,0.078125,-0.866682958185494,4.289838485703528,0.875,-3.2898384857035277,92,0.5935943126678467,1.1996334791183472
press,0.8880921691182161,-0.10561858869963651,265.3684387207031,0.49537122963889646,0.43441009521484375,True,-0.1618603616952896,2.115463335158744,125.44223022460938,0.012042898684740067,0.7839020490646362,265.3684387207031,2.957990966659473,0.46875,-1.957990966659473,2.2452495030450814,0.875,-1.2452495030450814,92,0.17390325665473938,1.031727910041809
vel1,0.8111080283677897,0.001068560715198316,398.149169921875,0.583465434109701,0.41970062255859375,True,-0.11776000261306763,2.14111880294105,185.95379638671875,0.10812005400657654,1.0405470132827759,398.149169921875,1.6756615394671128,0.265625,-0.6756615394671128,6.005880985470093,0.25,-5.005880985470093,92,0.22588005661964417,1.3135064840316772
vel2,0.8966205503055465,0.27704667378924147,601.735107421875,0.47119319535258425,0.5447845458984375,True,0.246023029088974,1.015993180288296,592.262939453125,0.24609172344207764,1.9186973571777344,601.735107421875,26.787021121969943,0.75,-25.787021121969943,1.8766617887294224,0.75,-0.8766617887294224,92,6.86943531036377e-05,2.494229316711426
vel3,0.9343715548479734,0.22493140087082605,525.0816650390625,0.2804076647704327,0.4103546142578125,True,-0.15842247009277344,0.6574962990250214,798.6077880859375,2.1556410789489746,2.5549590587615967,525.0816650390625,1.1410461558097356,0.484375,-0.14104615580973556,0.8773676785127331,0.125,0.12263232148726688,92,2.314063549041748,2.8321986198425293
Bcc1,0.9118853356860436,0.09052144991125427,275.2125549316406,0.42425889424291496,0.441192626953125,True,0.03685083985328674,3.7908902806827975,72.59839630126953,0.03132161498069763,1.0243409872055054,275.2125549316406,37.14238070823963,0.625,-36.14238070823963,24.745913043737133,0.5,-23.745913043737133,94,-0.005529224872589111,1.266960859298706
Bcc2,0.8276930187387745,0.3993109178923472,934.5762329101562,0.5382235039084228,0.4760589599609375,True,0.2856936454772949,1.1832565468168499,789.833984375,-0.8191982507705688,2.5419602394104004,934.5762329101562,0.7412270846007318,0.515625,0.25877291539926817,2.225611301211934,0.625,-1.2256113012119338,94,-1.1048918962478638,3.206395387649536
Bcc3,0.9460566692757777,-0.24000746317168034,763.6976928710938,0.3242726400063028,0.19013214111328125,True,-0.04254162311553955,4.067501930551508,187.75595092773438,-0.024188756942749023,4.307472229003906,763.6976928710938,46.18974190481745,0.625,-45.18974190481745,4.824569587813986,0.375,-3.8245695878139863,94,0.018352866172790527,4.599786758422852
rho,0.6442488939290885,-0.14450892435569224,645.1945190429688,0.7866665376748506,0.37979888916015625,True,-0.6875790953636169,8.502845343957935,75.87983703613281,0.22172272205352783,1.162473201751709,645.1945190429688,13.710722832524961,0.203125,-12.710722832524961,15.551273629131144,0.75,-14.551273629131144,94,0.9093018174171448,1.3187835216522217
