channel_in,channel_out,epsilon,matrix_kind,maximum_gain,maximum_input_norm,maximum_mean_response,maximum_output_norm,maximum_std_response,maximum_texture_fraction,mean_gain,mean_input_norm,mean_mean_response,mean_output_norm,mean_std_response,mean_texture_fraction,median_gain,median_input_norm,median_mean_response,median_output_norm,median_std_response,median_texture_fraction,minimum_gain,minimum_input_norm,minimum_mean_response,minimum_output_norm,minimum_std_response,minimum_texture_fraction,state_count
Bcc2,Bcc3,0.001,constant_field_finite_difference,1.8262931108474731,512.0,0.012557655572891235,935.0620727539062,1.8262499570846558,0.9999983441607969,1.6639373699824016,512.0,0.0016494317808085019,851.9359334309896,1.6638956599765353,0.9999728214769773,1.7278386354446411,512.0,0.005495917052030563,884.6533813476562,1.727835774421692,0.9999896089285628,1.2045894861221313,512.0,-0.026426322758197784,616.7498168945312,1.2045769691467285,0.9998336352636634,9
Bcc2,press,0.001,constant_field_finite_difference,0.7717686891555786,512.0,-0.005474869627505541,395.14556884765625,0.7717131972312927,0.9999596900933987,0.6913927263683743,512.0,-0.009603730661587583,353.99307590060766,0.6913183066580031,0.999890343076858,0.7204644680023193,512.0,-0.009252598509192467,368.8778076171875,0.7204115986824036,0.9999265349966427,0.5060936808586121,512.0,-0.015994390472769737,259.1199645996094,0.5060640573501587,0.9996630012529812,9
Bcc2,rho,0.001,constant_field_finite_difference,0.9978669881820679,512.0,-0.03328411653637886,510.90789794921875,0.9972559213638306,0.9993876269828802,0.8964815669589572,512.0,-0.0384681916071309,458.9985622829861,0.8956273595492045,0.9990119545193765,0.9337068200111389,512.0,-0.03624901920557022,478.0578918457031,0.9327990412712097,0.9990969308595781,0.6468849182128906,512.0,-0.04927368089556694,331.205078125,0.6460281610488892,0.9980004520238466,9
Bcc2,vel1,0.001,constant_field_finite_difference,0.9299613833427429,512.0,0.004377373494207859,476.1402282714844,0.9299271702766418,0.9999988741107322,0.8311526046858894,512.0,-0.006644132650560803,425.55013359917535,0.8310925761858622,0.9999235672439273,0.8619168400764465,512.0,-0.007974675856530666,441.3014221191406,0.8618828654289246,0.9999605132994458,0.5728933215141296,512.0,-0.021609192714095116,293.3213806152344,0.5728921294212341,0.9995578576954618,9
Bcc2,vel2,0.001,constant_field_finite_difference,1.6727608442306519,512.0,-0.014911765232682228,856.4535522460938,1.672264814376831,0.9999387406891601,1.5129757192399766,512.0,-0.04898681677877903,774.643568250868,1.5121118227640789,0.9994104879466575,1.561269760131836,512.0,-0.05290472134947777,799.3701171875,1.5603731870651245,0.999425741092535,1.094747543334961,512.0,-0.06286978721618652,560.5107421875,1.0934041738510132,0.9987728956396144,9
Bcc2,vel3,0.001,constant_field_finite_difference,1.469482421875,512.0,0.006950210314244032,752.375,1.4694323539733887,0.9999999163851494,1.3252322806252375,512.0,-0.00936282156423355,678.5189276801216,1.3251700268851385,0.9999538854990414,1.3618305921554565,512.0,-0.011154066771268845,697.2572631835938,1.361681580543518,0.9999660093298305,1.0013831853866577,512.0,-0.0227251835167408,512.7081909179688,1.0013763904571533,0.9998511502690968,9
Bcc3,Bcc1,0.001,constant_field_finite_difference,0.6348629593849182,512.0,0.01567544788122177,325.0498352050781,0.6348527073860168,0.9999980444238457,0.5786642829577128,512.0,0.006665310511986415,296.27611287434894,0.5786066651344299,0.9998953243979098,0.6046322584152222,512.0,0.0046424223110079765,309.57171630859375,0.6045188903808594,0.9999394093136298,0.4215266704559326,512.0,0.0012012245133519173,215.8216552734375,0.421501100063324,0.9995399578177416,9
Bcc3,Bcc2,0.001,constant_field_finite_difference,1.291783332824707,512.0,-0.0013133995234966278,661.39306640625,1.2911921739578247,0.9999990076309213,1.186883224381341,512.0,-0.0281856633308861,607.6842108832466,1.1864518854353163,0.9996531403818776,1.2210513353347778,512.0,-0.02854873239994049,625.1782836914062,1.2208826541900635,0.9997213479229923,0.900944709777832,512.0,-0.05561377480626106,461.28369140625,0.9009437561035156,0.9990338939687327,9
Bcc3,Bcc3,0.001,constant_field_finite_difference,1.6055420637130737,512.0,0.009944294579327106,822.0375366210938,1.6055324077606201,0.9999998391981778,1.4749484327104356,512.0,-0.0032894007033771938,755.173597547743,1.4749100075827704,0.9999738085595803,1.5062381029129028,512.0,-0.0009001977741718292,771.1939086914062,1.5062075853347778,0.9999851562887179,1.1297521591186523,512.0,-0.020068783313035965,578.43310546875,1.1297518014907837,0.9998937986918284,9
Bcc3,press,0.001,constant_field_finite_difference,0.7115671634674072,512.0,0.0017519858665764332,364.3223876953125,0.7115671038627625,0.999999916234689,0.6497957905133566,512.0,-0.0001432717415607638,332.69544474283856,0.6497919824388292,0.9999927514241905,0.6749192476272583,512.0,0.000700734555721283,345.55865478515625,0.6749165058135986,0.9999986102641202,0.488461434841156,512.0,-0.004990978166460991,250.09225463867188,0.48843592405319214,0.999947773178916,9
Bcc3,rho,0.001,constant_field_finite_difference,0.9287933707237244,512.0,0.014250155538320541,475.5422058105469,0.9287775754928589,1.0000000936991185,0.8465720547570122,512.0,0.00834508889561726,433.44489203559027,0.8465218411551582,0.9999428134057413,0.8805956244468689,512.0,0.00846770964562893,450.8649597167969,0.8804802894592285,0.9999551118588466,0.6361281275749207,512.0,-3.201817162334919e-05,325.6976013183594,0.6361281275749207,0.9998682401642994,9
Bcc3,vel1,0.001,constant_field_finite_difference,0.8206402063369751,512.0,0.00769367441534996,420.16778564453125,0.8206363320350647,0.9999990248441213,0.7501669658554925,512.0,0.004622117784391675,384.08548651801215,0.7501485745112101,0.9999728878434602,0.7815788984298706,512.0,0.0048541110008955,400.16839599609375,0.7815638780593872,0.99998078201636,0.549019455909729,512.0,0.0011239160085096955,281.09796142578125,0.5489724278450012,0.999914341715541,9
Bcc3,vel2,0.001,constant_field_finite_difference,1.4264850616455078,512.0,0.009695766493678093,730.3603515625,1.4264832735061646,1.0,1.3395205073886447,512.0,-0.0013563896839817364,685.8344997829861,1.3395056062274509,0.9999880599995191,1.3851217031478882,512.0,-0.00016374816186726093,709.1823120117188,1.3851215839385986,0.9999976584832608,1.0371654033660889,512.0,-0.01109534315764904,531.0286865234375,1.0371201038360596,0.9999563237166587,9
Bcc3,vel3,0.001,constant_field_finite_difference,1.286778450012207,512.0,0.0812157541513443,658.83056640625,1.286672830581665,0.9999179194906932,1.2071153985129461,512.0,0.035467637702822685,618.0430840386284,1.2064449389775593,0.9994200678812659,1.2484097480773926,512.0,0.03170475736260414,639.185791015625,1.2481083869934082,0.9996356073194143,0.9604511260986328,512.0,0.01648232713341713,491.7509765625,0.9599276781082153,0.997374019535985,9
press,Bcc1,0.001,constant_field_finite_difference,0.6963765621185303,512.0,0.007067134603857994,356.5447998046875,0.6963624358177185,0.999998584094587,0.6175088120831383,512.0,0.004254337658898698,316.16451178656683,0.6174900001949735,0.9999683372176877,0.6314473152160645,512.0,0.00443662703037262,323.301025390625,0.6314464211463928,0.9999796289734201,0.4449407756328583,512.0,0.0010003410279750824,227.80967712402344,0.4449004530906677,0.9999093754845615,9
press,Bcc2,0.001,constant_field_finite_difference,1.3986601829528809,512.0,-0.03076077252626419,716.114013671875,1.3978997468948364,0.9995811281620531,1.2884956730736628,512.0,-0.04995427280664444,659.7097846137153,1.2874785860379536,0.9992030244421479,1.3345491886138916,512.0,-0.04726668819785118,683.2891845703125,1.3338189125061035,0.9993797267636001,0.9670296907424927,512.0,-0.06950463354587555,495.11920166015625,0.9665403962135315,0.9982686816084091,9
press,Bcc3,0.001,constant_field_finite_difference,1.8191393613815308,512.0,0.015551023185253143,931.3993530273438,1.8191139698028564,0.9999991175273061,1.6361125707626343,512.0,0.005164288191331757,837.6896362304688,1.6360858546362982,0.9999838502937037,1.6922293901443481,512.0,0.005312740802764893,866.4214477539062,1.6922234296798706,0.9999860419827016,1.1915289163589478,512.0,-0.008966628462076187,610.0628051757812,1.1915276050567627,0.9999571180854333,9
press,press,0.001,constant_field_finite_difference,0.767890214920044,512.0,0.003119177184998989,393.1597900390625,0.7678899168968201,0.9999998291129794,0.6812286708090041,512.0,0.0007957033166247937,348.7890794542101,0.6812258230315315,0.9999956130312305,0.7094959616661072,512.0,0.0010401448234915733,363.2619323730469,0.709489107131958,0.9999964694200045,0.5000118613243103,512.0,-0.002157069742679596,256.0060729980469,0.5000072121620178,0.9999903388679858,9
