all_finite,channel_in,epsilon,maximum_cross_channel_mixing_fraction,maximum_output_norm,maximum_positive_negative_symmetry_error,maximum_radial_support_radius_90pct_cells,mean_cross_channel_mixing_fraction,mean_output_norm,mean_positive_negative_symmetry_error,mean_radial_support_radius_90pct_cells,median_cross_channel_mixing_fraction,median_output_norm,median_positive_negative_symmetry_error,median_radial_support_radius_90pct_cells,minimum_cross_channel_mixing_fraction,minimum_output_norm,minimum_positive_negative_symmetry_error,minimum_radial_support_radius_90pct_cells,region,state_count
True,vel2,0.001,0.8006742798705085,2265.48486328125,17.787237836737138,28.0,0.7727439558290518,2012.6437174479167,16.92614057065407,27.22222222222222,0.7739423662062903,2098.572998046875,16.704108080678164,27.0,0.7517447173814543,1351.2490234375,16.531554661076466,27.0,middle,9
True,vel3,0.001,0.8710743930085939,2265.344482421875,19.379141714357417,28.0,0.8656827292527328,2012.6340738932292,17.634116471744406,27.22222222222222,0.8659383260243486,2098.429443359375,17.506696259781773,27.0,0.8621486247010982,1351.762451171875,16.47042772188042,27.0,middle,9
True,Bcc1,0.001,0.9644153805835958,2265.546875,21.03855525327351,59.0,0.9602251085100956,2012.7060004340278,19.643406394881893,57.666666666666664,0.9600863955020231,2099.079833984375,19.5141011441349,57.0,0.957730551780517,1351.513916015625,18.999466151629854,57.0,outer,9
True,Bcc2,0.001,0.8717074809854318,2265.507080078125,20.95682188064458,59.0,0.8568499362638834,2012.6547173394097,19.052761341232703,57.666666666666664,0.8616420013626449,2098.730224609375,18.802069058956953,57.0,0.8299525396789753,1351.2369384765625,18.40126535718557,57.0,outer,9
True,Bcc3,0.001,0.7574551770412954,2265.832763671875,17.635218300421005,59.0,0.7451393673797273,2012.7323404947917,16.379270237987512,57.666666666666664,0.7506967351973647,2098.469482421875,16.250281226621166,57.0,0.7259390597063448,1351.585693359375,15.498604690959562,57.0,outer,9
True,press,0.001,0.9717406473564806,2265.5693359375,21.1795789025064,59.0,0.9700430666616917,2012.5823974609375,19.88473033753493,57.666666666666664,0.9705886192899482,2098.365234375,19.864761596998026,57.0,0.9657732219662842,1351.2015380859375,18.804800822244495,57.0,outer,9
True,rho,0.001,0.9372169462373288,2265.66162109375,19.229282966135216,59.0,0.9317212825673279,2012.7339274088542,18.119089897367747,57.666666666666664,0.932060318834806,2098.831787109375,18.13332473675096,57.0,0.9226200123719224,1351.1123046875,17.50029006367234,57.0,outer,9
True,vel1,0.001,0.907975919858778,2265.83935546875,22.357908234334243,59.0,0.8976417077751253,2012.72314453125,20.291221918624604,57.666666666666664,0.8949912187505853,2098.804931640625,20.260528848551168,57.0,0.8897300141594462,1351.4644775390625,19.298907327445534,57.0,outer,9
True,vel2,0.001,0.8003195715019669,2265.517333984375,19.228049693614498,59.0,0.7726975114687037,2012.6550428602432,18.178617672080414,57.666666666666664,0.7738557475291752,2098.662353515625,18.02190352923281,57.0,0.751527256772121,1351.1943359375,17.243481126798645,57.0,outer,9
True,vel3,0.001,0.8711092054328231,2265.462890625,19.519101203203125,59.0,0.865666391762523,2012.6234402126736,18.222823647647346,57.666666666666664,0.8659336167224536,2098.544677734375,18.34483231425602,57.0,0.8621650576586124,1351.466552734375,17.547999772516256,57.0,outer,9
True,Bcc1,0.01,0.9644335183069038,226.57334899902344,10.869328635899805,43.0,0.9602389052649034,201.2918989393446,10.320215644797424,40.55555555555556,0.9600973878313538,209.92201232910156,10.270896691288984,40.0,0.9577433241682457,135.22174072265625,9.776468511879402,39.0,inner,9
True,Bcc2,0.01,0.8714577791934597,226.50758361816406,9.68970419610794,43.0,0.8568482294608728,201.3028361002604,9.230056495104854,40.55555555555556,0.8615449120601621,209.8380584716797,9.215631389929305,40.0,0.8296354233329324,135.2077178955078,8.53740783703796,39.0,inner,9
True,Bcc3,0.01,0.756401794467414,226.55374145507812,8.814675766402077,43.0,0.7448215191650901,201.34237501356336,8.275299876875826,40.55555555555556,0.7504831070176379,209.9321746826172,8.206385666264998,40.0,0.7255968428802477,135.38429260253906,7.540293434514542,39.0,inner,9
True,press,0.01,0.9717386126785799,226.6116180419922,11.841105503637236,43.0,0.9700368533872281,201.28356255425348,11.015154224587334,40.55555555555556,0.9706068027652749,209.91160583496094,10.94607099878798,40.0,0.9657982656816466,135.1451873779297,10.418972004010175,39.0,inner,9
True,rho,0.01,0.9371765133290159,226.60487365722656,10.770100611478085,43.0,0.931696981501081,201.29714118109808,10.209656702076026,40.55555555555556,0.9319808233833815,209.90171813964844,10.162041105641894,40.0,0.9225072803917631,135.2136688232422,9.634666499576454,39.0,inner,9
True,vel1,0.01,0.9080484475147919,226.51683044433594,10.667180037304417,43.0,0.89765678246554,201.26519605848523,10.283976247180211,40.55555555555556,0.89498597679054,209.91281127929688,10.22989290862137,40.0,0.8896508998481043,135.0341339111328,9.738906229565098,39.0,inner,9
True,vel2,0.01,0.7995078074769297,226.4889678955078,9.664372267882525,43.0,0.7726650309722438,201.30731540256076,9.149953476968866,40.55555555555556,0.7742361849520853,209.87147521972656,9.11768185459569,40.0,0.7517950866335428,135.2863311767578,8.273512871301092,39.0,inner,9
True,vel3,0.01,0.8711561167182914,226.57672119140625,10.160158341859603,43.0,0.8656649271169626,201.31793721516928,9.27675545031349,40.55555555555556,0.8657933492752676,210.0247344970703,9.041188348983452,40.0,0.8620788914298906,135.24481201171875,8.314129305940115,39.0,inner,9
True,Bcc1,0.01,0.9645313021875305,226.50486755371094,11.409322903340012,28.0,0.9602439487219429,201.27480740017361,10.474053845898931,27.22222222222222,0.9600965504384693,209.9166717529297,10.484936087607503,27.0,0.9577628372126338,135.24618530273438,10.111137176028388,27.0,middle,9
True,Bcc2,0.01,0.8715984958504023,226.58486938476562,9.550640432237092,28.0,0.856835938994062,201.33894687228732,9.227413552111225,27.22222222222222,0.8615239046739764,209.86798095703125,9.26910621477014,27.0,0.830140876866419,135.39889526367188,8.572681585677438,27.0,middle,9
True,Bcc3,0.01,0.7583749604263614,226.51766967773438,8.815966546236917,28.0,0.7451467110943788,201.28754340277777,8.606001743393978,27.22222222222222,0.7503427099132017,209.91021728515625,8.604440376213185,27.0,0.7254919718108849,135.01927185058594,8.117270340565533,27.0,middle,9
True,press,0.01,0.9717298813208268,226.5470733642578,12.154089177761735,28.0,0.9700288342635146,201.26114569769965,11.55928052141755,27.22222222222222,0.9705911101863831,209.89195251464844,11.66660680885124,27.0,0.9657130922466092,135.11541748046875,10.769961356070192,27.0,middle,9
True,rho,0.01,0.9372411435647741,226.5489501953125,10.43016160160919,28.0,0.9316640042796348,201.25842454698352,9.960061779580005,27.22222222222222,0.9320047690655308,209.8291778564453,9.918796696138195,27.0,0.922216694762149,135.10348510742188,9.704575952977216,27.0,middle,9
True,vel1,0.01,0.908019687650258,226.5786590576172,10.674396037649988,28.0,0.8976412732497453,201.27466498480902,10.342666796685442,27.22222222222222,0.895004854306495,209.85015869140625,10.488986384419235,27.0,0.8896790290796294,135.1076202392578,9.680619567129783,27.0,middle,9
True,vel2,0.01,0.8006569604392624,226.59605407714844,9.534906891119858,28.0,0.7727810841541974,201.30016242133246,9.089436647823067,27.22222222222222,0.7740495998400454,209.8470916748047,9.104280466049467,27.0,0.7517459751468997,135.35842895507812,8.307619266955616,27.0,middle,9
True,vel3,0.01,0.8711613044580672,226.49908447265625,9.778168651188995,28.0,0.8657182818677319,201.28668551974826,9.450180113646661,27.22222222222222,0.8657895323642962,209.93698120117188,9.37371511183471,27.0,0.8624514311768169,135.19825744628906,9.216416288426915,27.0,middle,9
True,Bcc1,0.01,0.9645063901716977,226.54649353027344,11.22102435571575,59.0,0.9602300528634644,201.26614040798611,10.72952046017213,57.666666666666664,0.9600554701345029,209.8398895263672,10.609425497298803,57.0,0.9576880140158375,135.22454833984375,10.073003065151555,57.0,outer,9
True,Bcc2,0.01,0.8715328704017398,226.54168701171875,10.773156467557664,59.0,0.8567910614407971,201.26020982530383,10.297235544745979,57.666666666666664,0.8614331699130673,209.8206787109375,10.204115211910779,57.0,0.8298321349644467,135.14547729492188,9.557518491176653,57.0,outer,9
True,Bcc3,0.01,0.7570431686849934,226.53155517578125,9.31881981058321,59.0,0.7450697418142759,201.30482143825955,8.871884397969346,57.666666666666664,0.750690233962323,209.8420867919922,8.867599630370334,57.0,0.7257483588174192,135.35467529296875,8.055925567803742,57.0,outer,9
True,press,0.01,0.9717281273354573,226.5741424560547,11.357412040148636,59.0,0.9700186349986757,201.26441277398004,10.786263971787898,57.666666666666664,0.9705897481483777,209.84690856933594,10.703022485225539,57.0,0.9655888355788259,135.142822265625,10.030591268160746,57.0,outer,9
True,rho,0.01,0.9371807678006447,226.47450256347656,10.116159900508926,59.0,0.9316620397474513,201.27909511990018,9.66065426232749,57.666666666666664,0.9319868242980803,209.89732360839844,9.640310278047723,57.0,0.922354361237074,135.2440643310547,8.841036891634433,57.0,outer,9
True,vel1,0.01,0.9079645312720284,226.53631591796875,11.809438658468954,59.0,0.8976585641523691,201.2693634033203,11.190251044329125,57.666666666666664,0.8949532866391928,209.84361267089844,11.05639818207817,57.0,0.889572957728082,135.12594604492188,10.376271513508488,57.0,outer,9
True,vel2,0.01,0.799870704828067,226.56082153320312,10.29405246582982,59.0,0.7726796101018361,201.28684319390192,9.785825329569974,57.666666666666664,0.7742647034980811,209.86793518066406,9.771933873187622,57.0,0.7512966281390052,135.19125366210938,9.029951101888935,57.0,outer,9
True,vel3,0.01,0.8710347798763735,226.50738525390625,10.305571986266012,59.0,0.8656334503122313,201.27897304958768,9.810226019773703,57.666666666666664,0.8660107251259799,209.92454528808594,9.753435106856735,57.0,0.862389354639914,135.12307739257812,9.159903241264264,57.0,outer,9
