basis,channel_in,channel_out,epsilon_consistency_tolerance,epsilon_large,epsilon_relative_gain_difference,epsilon_small,gain_large,gain_small,nonlinear_response_warning,phase_large,phase_small,state_count
directional:phi_low_k,press,press,0.1,0.01,8.101409316396326,0.001,0.07435532659292221,0.6767382621765137,True,0.02397461367665043,0.0015517305772452994,9
directional:phi_low_k,rho,rho,0.1,0.01,8.016233853106675,0.001,0.09857307374477386,0.8887578845024109,True,-0.007131267405898666,-0.0006994631457443594,9
directional:phi_low_k,vel1,vel1,0.1,0.01,7.756554060679039,0.001,0.09194515645503998,0.8051227331161499,True,0.03415252595782004,0.003357274719845779,9
directional:phi_low_k,vel2,vel2,0.1,0.01,7.149760267946127,0.001,0.1786719262599945,1.4561333656311035,True,0.1590966807935313,0.017866800799726777,9
directional:phi_low_k,vel3,vel3,0.1,0.01,7.005654563961711,0.001,0.14782670140266418,1.1834495067596436,True,0.045991166949895836,0.003602631692416644,9
directional:phi_mid_k,Bcc1,Bcc1,0.1,0.01,8.02925142158913,0.001,0.06704840064048767,0.6053968667984009,True,0.013405158355521656,0.0016141664373953135,9
directional:phi_mid_k,Bcc2,Bcc2,0.1,0.01,7.673015371145053,0.001,0.14704227447509766,1.2752999067306519,True,-0.00978883856304895,-0.0016094338581300297,9
directional:phi_mid_k,Bcc3,Bcc3,0.1,0.01,5.536819794321912,0.001,0.1967872828245163,1.2863630056381226,True,0.08971976682067326,0.0036843576881362746,9
directional:phi_mid_k,press,press,0.1,0.01,8.070883555627354,0.001,0.07379278540611267,0.6693657636642456,True,0.006573732157206186,7.619077008778488e-05,9
directional:phi_mid_k,rho,rho,0.1,0.01,7.825805405787746,0.001,0.0996457114815712,0.8794536590576172,True,-0.040127003281793014,-0.0038498352389723877,9
directional:phi_mid_k,vel1,vel1,0.1,0.01,7.845542099641213,0.001,0.08974849432706833,0.7938740849494934,True,0.004623961749234983,0.0005125808276910774,9
directional:phi_mid_k,vel2,vel2,0.1,0.01,7.365044735291944,0.001,0.17054864764213562,1.4266470670700073,True,0.14379297638565172,0.013567736735563342,9
directional:phi_mid_k,vel3,vel3,0.1,0.01,6.898906281652234,0.001,0.14667662978172302,1.1585849523544312,True,0.08450255454479165,0.005786910566371314,9
directional:r_high_k,Bcc1,Bcc1,0.1,0.01,5.109690816867167,0.001,0.10351305454969406,0.632432758808136,True,0.05356251464311691,0.0075051933230881294,9
directional:r_high_k,Bcc2,Bcc2,0.1,0.01,1.9912168507824015,0.001,0.48335742950439453,1.4458268880844116,True,0.3504918585956036,0.13014289357640305,9
directional:r_high_k,Bcc3,Bcc3,0.1,0.01,1.6737998326142067,0.001,0.513982355594635,1.3742859363555908,True,0.1162415429192366,0.01372604340972746,9
directional:r_high_k,press,press,0.1,0.01,3.872875477800452,0.001,0.14610718190670013,0.711962103843689,True,0.2750568419844235,0.06151962759154095,9
directional:r_high_k,rho,rho,0.1,0.01,3.303365085326252,0.001,0.21902158856391907,0.9425298571586609,True,0.20887050095690868,0.04397626759042474,9
directional:r_high_k,vel1,vel1,0.1,0.01,3.9570473856483894,0.001,0.17015361785888672,0.8434595465660095,True,0.023830186948739913,-0.0008907418150296296,9
directional:r_high_k,vel2,vel2,0.1,0.01,3.0397207180287236,0.001,0.3830864727497101,1.5475623607635498,True,0.08760867638565337,0.021847809840431553,9
directional:r_high_k,vel3,vel3,0.1,0.01,1.0879519835609832,0.001,0.6467273235321045,1.3503355979919434,True,0.46520671149248166,0.15476940623004143,9
directional:r_low_k,Bcc1,Bcc1,0.1,0.01,7.338797734245462,0.001,0.07535569369792938,0.6283758878707886,True,0.14264599011570822,0.016485669748495243,9
directional:r_low_k,Bcc2,Bcc2,0.1,0.01,4.2907228855566,0.001,0.25572049617767334,1.3529462814331055,True,0.4971984419435666,0.09044877259999956,9
directional:r_low_k,Bcc3,Bcc3,0.1,0.01,4.381021525622293,0.001,0.2751716673374176,1.480704665184021,True,0.15045583191706483,0.01672241729257962,9
directional:r_low_k,press,press,0.1,0.01,6.846393654863157,0.001,0.0892631933093071,0.7003941535949707,True,0.24954395185570694,0.03173018290585479,9
directional:r_low_k,rho,rho,0.1,0.01,7.228390443926977,0.001,0.11076018959283829,0.9113780856132507,True,0.12310565155658804,0.01106277222451787,9
directional:r_low_k,vel1,vel1,0.1,0.01,6.847656955241996,0.001,0.10494417697191238,0.8235659003257751,True,0.2933740608129766,0.03817231524246131,9
directional:r_low_k,vel2,vel2,0.1,0.01,6.347234733691118,0.001,0.2095663994550705,1.5397335290908813,True,-0.0069979727543975365,-0.002454965047499552,9
directional:r_low_k,vel3,vel3,0.1,0.01,2.325615178220499,0.001,0.39353102445602417,1.3087327480316162,True,0.6724637345907704,0.13612022193727685,9
directional:r_mid_k,Bcc1,Bcc1,0.1,0.01,6.584705264979096,0.001,0.0832846611738205,0.6316896080970764,True,-0.003287653152675275,0.001433722830483384,9
directional:r_mid_k,Bcc2,Bcc2,0.1,0.01,2.4382026252487394,0.001,0.40920785069465637,1.4069395065307617,True,0.3555986382806316,0.10597889227193484,9
directional:r_mid_k,Bcc3,Bcc3,0.1,0.01,2.4608207201156476,0.001,0.4016202986240387,1.389935851097107,True,0.24512805618387243,0.040111092930049864,9
directional:r_mid_k,press,press,0.1,0.01,6.599223726948953,0.001,0.09243148565292358,0.7024075388908386,True,0.17190289026085087,0.02599630333331805,9
directional:r_mid_k,rho,rho,0.1,0.01,6.125758415724039,0.001,0.12953023612499237,0.9230011701583862,True,0.18989320039231558,0.02013391569356904,9
directional:r_mid_k,vel1,vel1,0.1,0.01,6.292739540019153,0.001,0.11416254937648773,0.832557737827301,True,0.1761396565461404,0.028796003595638425,9
directional:r_mid_k,vel2,vel2,0.1,0.01,2.6864572957840807,0.001,0.4261290431022644,1.5709065198898315,True,0.3683426575671459,0.10486744517668435,9
directional:r_mid_k,vel3,vel3,0.1,0.01,2.5285875120790986,0.001,0.35870930552482605,1.2657371759414673,True,0.5409230140706602,0.11552252750113433,9
directional:theta_high_k,Bcc1,Bcc1,0.1,0.01,3.470712944132318,0.001,0.14566242694854736,0.6512148976325989,True,0.24211967138471782,0.055701360835201004,9
directional:theta_high_k,Bcc2,Bcc2,0.1,0.01,3.6685195509789814,0.001,0.2938384711742401,1.3717906475067139,True,0.02665189825804092,0.018610763430249158,9
directional:theta_high_k,Bcc3,Bcc3,0.1,0.01,0.5198251948845494,0.001,0.9467995762825012,1.4389698505401611,True,0.3157458510895777,0.08619448636547866,9
directional:theta_high_k,press,press,0.1,0.01,3.9326024178133765,0.001,0.14406800270080566,0.7106301784515381,True,-0.3189368217500264,-0.05963567699104155,9
directional:theta_high_k,rho,rho,0.1,0.01,3.426866557600553,0.001,0.2144830822944641,0.9494879841804504,True,-0.3260987426366782,-0.07735325201691273,9
directional:theta_high_k,vel1,vel1,0.1,0.01,4.853617842924545,0.001,0.14354214072227478,0.8402408361434937,True,-0.008689279148228826,-0.004170128030230657,9
directional:theta_high_k,vel2,vel2,0.1,0.01,2.5386598400788754,0.001,0.44494450092315674,1.574507236480713,True,0.43147154079174926,0.1150396973938267,9
directional:theta_high_k,vel3,vel3,0.1,0.01,2.0786491918013406,0.001,0.4192447364330292,1.2907074689865112,True,0.5006288119380611,0.12286437709062976,9
directional:theta_low_k,Bcc1,Bcc1,0.1,0.01,7.310602046734429,0.001,0.07607640326023102,0.6322407126426697,True,0.07552679735242532,0.007661639405880073,9
directional:theta_low_k,Bcc2,Bcc2,0.1,0.01,6.303311575406892,0.001,0.18297210335731506,1.3363022804260254,True,0.07593370006143185,0.010772794872116251,9
directional:theta_low_k,Bcc3,Bcc3,0.1,0.01,2.4993295284265282,0.001,0.416605681180954,1.4578405618667603,True,0.6373017113902126,0.10430412878484095,9
directional:theta_low_k,press,press,0.1,0.01,7.744330818789332,0.001,0.07933615893125534,0.6937416195869446,True,0.07092568569388313,0.008474892877543617,9
directional:theta_low_k,rho,rho,0.1,0.01,7.555448642190957,0.001,0.10666912794113159,0.9126022458076477,True,0.028665548808532962,0.003859552384506679,9
directional:theta_low_k,vel1,vel1,0.1,0.01,7.124408422323825,0.001,0.10211874544620514,0.8296543955802917,True,0.1441131775193733,0.016248767436396427,9
directional:theta_low_k,vel2,vel2,0.1,0.01,4.051266868361559,0.001,0.30283787846565247,1.5297149419784546,True,0.6503899188565202,0.1291612778215703,9
directional:theta_low_k,vel3,vel3,0.1,0.01,5.7728425412510544,0.001,0.18382686376571655,1.245030403137207,True,0.3068063209070352,0.03678517866690245,9
directional:theta_mid_k,Bcc1,Bcc1,0.1,0.01,6.226108731548585,0.001,0.08823011815547943,0.6375604271888733,True,0.16531803935391468,0.023469556464005864,9
directional:theta_mid_k,Bcc2,Bcc2,0.1,0.01,5.317058707692376,0.001,0.21520549058914185,1.3594657182693481,True,0.1617858253341402,0.02576165951895692,9
directional:theta_mid_k,Bcc3,Bcc3,0.1,0.01,1.3906833764686102,0.001,0.5997965335845947,1.433923602104187,True,0.5552887025564786,0.16542206406403537,9
directional:theta_mid_k,press,press,0.1,0.01,6.8936323415232215,0.001,0.08882111310958862,0.7011212110519409,True,-0.04251190545601892,-0.003202985891209035,9
directional:theta_mid_k,rho,rho,0.1,0.01,6.6025471608291175,0.001,0.12176176905632019,0.9256995916366577,True,-0.12507683706674097,-0.018848771403956906,9
directional:theta_mid_k,vel1,vel1,0.1,0.01,6.199113886123541,0.001,0.1156289130449295,0.8324257135391235,True,0.19428106338730386,0.027076140190746407,9
directional:theta_mid_k,vel2,vel2,0.1,0.01,3.1656077694441476,0.001,0.37185218930244446,1.5489903688430786,True,0.6396793755288549,0.15436838278702372,9
