all_cross_channel,axis,band,channel_in,channel_out,cross_channel,epsilon,maximum_gain,maximum_phase_correlation,mean_gain,mean_phase_correlation,median_gain,median_phase_correlation,minimum_gain,minimum_phase_correlation,mode,state_count
True,phi,high_k,Bcc3,vel3,True,0.001,1.114946722984314,0.0516819050088668,1.0523183544476826,0.008875140648475085,1.0844486951828003,0.006993653324795122,0.8468496203422546,-0.016141695724651232,phi_high_k,9
True,phi,high_k,press,Bcc1,True,0.001,0.6755629777908325,0.01048833551087214,0.5869759254985385,0.003509834072242524,0.5982506275177002,0.0021895946095593795,0.4027487635612488,-0.00290891679350717,phi_high_k,9
True,phi,high_k,press,Bcc2,True,0.001,1.3501838445663452,-0.0061727651105371924,1.2000155581368341,-0.01893324391521374,1.2388818264007568,-0.022658584531188436,0.8491758108139038,-0.03415163226003783,phi_high_k,9
True,phi,high_k,press,Bcc3,True,0.001,1.7461061477661133,4.4248882475441836e-05,1.5118717352549236,-0.005304406024184404,1.5697349309921265,-0.005916481497598468,1.0377055406570435,-0.010286065880209007,phi_high_k,9
False,phi,high_k,press,press,False,0.001,0.7456330060958862,0.019055637438834008,0.6477450562847985,0.014601487973460836,0.6665583848953247,0.014284844038458158,0.4578339159488678,0.007851806731036559,phi_high_k,9
True,phi,high_k,press,rho,True,0.001,0.954226016998291,0.008318986733234335,0.8333873218960233,-0.008407785344059152,0.8598741888999939,-0.010772709685821547,0.5934642553329468,-0.01920583705665017,phi_high_k,9
True,phi,high_k,press,vel1,True,0.001,0.8934466242790222,0.002892255143775922,0.771246976322598,-0.005452537011169328,0.7904748916625977,-0.005796394871739687,0.5242178440093994,-0.013553392497890403,phi_high_k,9
True,phi,high_k,press,vel2,True,0.001,1.601513147354126,-0.024262005864706938,1.3893449902534485,-0.03500383764961626,1.4235999584197998,-0.03366538455035965,0.9692336916923523,-0.047303083506155405,phi_high_k,9
True,phi,high_k,press,vel3,True,0.001,1.4087222814559937,0.01992540705029448,1.221486555205451,0.009913318142612405,1.2310928106307983,0.014760337939232053,0.8844119310379028,-0.01514190399835449,phi_high_k,9
True,phi,high_k,rho,Bcc1,True,0.001,0.6803148198315394,0.0021395831162291912,0.5910049035750768,-0.004953583977285406,0.6030049683454614,-0.0033498383702854485,0.40515893132441827,-0.01720734912873794,phi_high_k,9
True,phi,high_k,rho,Bcc2,True,0.001,1.3581562851760558,0.013586134592316007,1.2059060987707966,-0.0004669644015990996,1.251856044045451,-0.004404299374417369,0.8336038490297705,-0.008008928370097134,phi_high_k,9
True,phi,high_k,rho,Bcc3,True,0.001,1.7534729095383232,0.008673256342272525,1.523249478533833,0.0007634715468005916,1.5791122662491957,0.00020245982190184315,1.0304874795965837,-0.006733743055298715,phi_high_k,9
True,phi,high_k,rho,press,True,0.001,0.7478465883640402,0.006959893560772374,0.6517849953046437,0.004173190780124678,0.673776487933188,0.004179342058073717,0.4565239224746181,0.0011857955513528437,phi_high_k,9
False,phi,high_k,rho,rho,False,0.001,0.9597603058672134,3.683835189204016e-05,0.8431409503901571,-0.007498867090453611,0.8756484315185804,-0.008294793638330519,0.5965617654658416,-0.014986308198275393,phi_high_k,9
True,phi,high_k,rho,vel1,True,0.001,0.8975067077581113,0.021264639499380778,0.7766909201292083,0.008545787703343534,0.7957537648531058,0.009856203795840936,0.5182596157943974,-0.010784745575577464,phi_high_k,9
True,phi,high_k,rho,vel2,True,0.001,1.6057204965186416,0.0077238433607575855,1.397165812217476,-0.010155668238480695,1.4348469635753014,-0.012771573390808253,0.9614680982511102,-0.018760754118355667,phi_high_k,9
True,phi,high_k,rho,vel3,True,0.001,1.4141965755341397,0.020228763847023927,1.2277072472662744,0.004376889400225511,1.2426490332275053,0.004222347000957925,0.8708822054196719,-0.010242888111539736,phi_high_k,9
True,phi,high_k,vel1,Bcc1,True,0.001,0.6701369088969772,0.008977983360932371,0.5836497330191903,0.002395747206001288,0.5962357280394869,0.0010890434829384057,0.40154939303096493,-0.0021213890270647454,phi_high_k,9
True,phi,high_k,vel1,Bcc2,True,0.001,1.3278387384318553,-0.007902328233951464,1.187123866108489,-0.014346878947203953,1.230983449875322,-0.010408404829001221,0.8110301381963574,-0.024522562096424193,phi_high_k,9
True,phi,high_k,vel1,Bcc3,True,0.001,1.7147165366838297,-0.004344024843553827,1.4991159140536734,-0.008247103361585668,1.5614266134158739,-0.009433167023318709,1.021157087156599,-0.013537601564429524,phi_high_k,9
True,phi,high_k,vel1,press,True,0.001,0.7378978573022996,0.014555504777233929,0.6429421059719652,0.007269989993510573,0.665184358667395,0.007062425482021909,0.45147609421468343,-0.0053495155181912625,phi_high_k,9
True,phi,high_k,vel1,rho,True,0.001,0.9436939325150211,0.0006143393937164576,0.8273120287114266,-0.006221623781494017,0.8591234600021517,-0.005294350088899135,0.5878368370435737,-0.018205747925899494,phi_high_k,9
False,phi,high_k,vel1,vel1,False,0.001,0.8811978030918719,0.0038365243660063845,0.7636010704597476,-0.005292727755013687,0.784230696215075,-0.004530240069896486,0.5106666392485284,-0.010875344744034928,phi_high_k,9
True,phi,high_k,vel1,vel2,True,0.001,1.5816446293380635,-0.03500224930213685,1.380270536889201,-0.04199141280074234,1.4161519656271915,-0.040467673073126646,0.947612222886814,-0.053389128506622655,phi_high_k,9
True,phi,high_k,vel1,vel3,True,0.001,1.3851968875644736,0.01568638684669219,1.208178631952125,0.00963055414945674,1.2240067257885174,0.009595346740505797,0.8645471849767676,0.004301913595526269,phi_high_k,9
True,phi,high_k,vel2,Bcc1,True,0.001,0.6853342652320862,0.0449980446451425,0.5906035171614753,0.026470433194793346,0.597626268863678,0.025837382948702435,0.39704084396362305,0.017487689691393717,phi_high_k,9
True,phi,high_k,vel2,Bcc2,True,0.001,1.3703285455703735,0.03154008432165603,1.2075332138273451,0.0167558064010022,1.2574973106384277,0.01275782992792147,0.8194626569747925,0.003595518211613382,phi_high_k,9
True,phi,high_k,vel2,Bcc3,True,0.001,1.7782365083694458,0.005677136891242216,1.5312896172205608,-0.00470480060904915,1.574842095375061,0.0003858735363793619,1.018833041191101,-0.020855443125969673,phi_high_k,9
True,phi,high_k,vel2,press,True,0.001,0.7573399543762207,-0.018484635242994173,0.6535325977537367,-0.02461290666554736,0.6687158942222595,-0.025521385114494234,0.4555920362472534,-0.03268162417571911,phi_high_k,9
True,phi,high_k,vel2,rho,True,0.001,0.9683124423027039,0.010034326525930138,0.8408801621860928,-0.0036171395280326663,0.8656644821166992,-0.0027212349560963595,0.5888435244560242,-0.020883383600116455,phi_high_k,9
True,phi,high_k,vel2,vel1,True,0.001,0.9106079936027527,0.008992530960619341,0.7775518827968173,-0.0030945413786995883,0.7904374599456787,-0.00038190582978371026,0.5128504037857056,-0.02073943199133687,phi_high_k,9
False,phi,high_k,vel2,vel2,False,0.001,1.6395564079284668,0.07448763732043931,1.4049482279353671,0.052568783485209304,1.4144203662872314,0.04975586766297887,0.9779366850852966,0.040482701162585774,phi_high_k,9
True,phi,high_k,vel2,vel3,True,0.001,1.4290653467178345,0.013450215233405038,1.2312308616108365,0.002920784909275824,1.232878565788269,0.007040620637616078,0.8734199404716492,-0.007477538882286704,phi_high_k,9
True,phi,high_k,vel3,Bcc1,True,0.001,0.6161735425098862,0.020997618943477715,0.546934720028854,0.015034967301058608,0.5654846766879962,0.014290553633339451,0.38360666534940396,0.01009679952996607,phi_high_k,9
True,phi,high_k,vel3,Bcc2,True,0.001,1.2134775646613576,-0.010515746255520944,1.1036139722170148,-0.030545665148569618,1.1439567294094997,-0.033112571328128414,0.7985909461135237,-0.06341204847226038,phi_high_k,9
True,phi,high_k,vel3,Bcc3,True,0.001,1.5256141141423054,0.035166040922720625,1.362952479167596,0.022549379011056532,1.4249826326955934,0.022496667433878046,0.9454381433390464,0.012599357363141366,phi_high_k,9
True,phi,high_k,vel3,press,True,0.001,0.6857979706405384,-0.0020056882698739516,0.6085849866421016,-0.006677063796490723,0.629053272548513,-0.004858789715611326,0.44220441235330177,-0.018747681192189867,phi_high_k,9
True,phi,high_k,vel3,rho,True,0.001,0.8869639567711327,-0.016884521269871312,0.7924461572171277,-0.023590907685205754,0.8209891808622587,-0.02618580745576609,0.5813021410287703,-0.027427912001984286,phi_high_k,9
True,phi,high_k,vel3,vel1,True,0.001,0.8038250090971595,0.009274352274470854,0.7052406459859067,-0.002318879997248169,0.7241043284001546,0.00046772020093661964,0.48976927934701914,-0.02424998992260561,phi_high_k,9
True,phi,high_k,vel3,vel2,True,0.001,1.4164796719836994,-0.008676468777010619,1.2552794171539596,-0.01794851338268034,1.2838924696381373,-0.014511840141989594,0.9124441690709691,-0.03557113694292377,phi_high_k,9
False,phi,high_k,vel3,vel3,False,0.001,1.2573983226655914,0.05731360088147319,1.1284858925897083,0.031225482446768142,1.1641348102173097,0.03374100557690495,0.8425260092333561,-0.010288386634932332,phi_high_k,9
False,phi,low_k,Bcc1,Bcc1,False,0.001,0.6832284331321716,0.005459309236126847,0.598579572306739,0.0007566910830582994,0.6129313707351685,0.001454120755351032,0.4155900478363037,-0.003036005588865995,phi_low_k,9
True,phi,low_k,Bcc1,Bcc2,True,0.001,1.3646966218948364,0.005974863879856939,1.2285435729556613,0.003405383316133737,1.2806448936462402,0.0033438321635403593,0.8576396703720093,-0.0002951620497149469,phi_low_k,9
True,phi,low_k,Bcc1,Bcc3,True,0.001,1.7663737535476685,-0.002187770433709267,1.5630181233088176,-0.004791590380231713,1.6283200979232788,-0.00485865913410878,1.0774224996566772,-0.008335098691118535,phi_low_k,9
True,phi,low_k,Bcc1,press,True,0.001,0.7504868507385254,0.005150925475059013,0.6588044663270315,-1.2115043308519465e-05,0.6832186579704285,0.0005379362598086724,0.46294090151786804,-0.00814888473551555,phi_low_k,9
True,phi,low_k,Bcc1,rho,True,0.001,0.9610223174095154,0.0016562796172718717,0.8489284978972541,-0.00013472528740039245,0.8804333209991455,-0.00017884687957960205,0.6062288284301758,-0.002552296674647264,phi_low_k,9
True,phi,low_k,Bcc1,vel1,True,0.001,0.9035813212394714,0.0032678873772956753,0.7887652516365051,0.0004872161793312044,0.8119814991950989,-0.000351216413832006,0.5349892973899841,-0.0013141746464469296,phi_low_k,9
True,phi,low_k,Bcc1,vel2,True,0.001,1.6168097257614136,0.01012440891173396,1.4229544070031908,0.007817744522611159,1.4658119678497314,0.007892453896078093,0.9854443669319153,0.00304711627478012,phi_low_k,9
True,phi,low_k,Bcc1,vel3,True,0.001,1.4231966733932495,0.001865677689869739,1.252316223250495,-0.0013092051709440555,1.2719391584396362,0.00010865754527548503,0.9034404754638672,-0.011043092905361495,phi_low_k,9
True,phi,low_k,Bcc2,Bcc1,True,0.001,0.6839991807937622,-0.0018043316863273376,0.5990084509054819,-0.006796439428983023,0.6116666793823242,-0.007008170928929607,0.4092129170894623,-0.009063176765716765,phi_low_k,9
False,phi,low_k,Bcc2,Bcc2,False,0.001,1.3766859769821167,0.006680357353935632,1.242399361398485,0.002084473165875075,1.3021924495697021,0.004019435487180943,0.8638222217559814,-0.004368965676995028,phi_low_k,9
True,phi,low_k,Bcc2,Bcc3,True,0.001,1.7635504007339478,0.00029234291335288206,1.5634632772869534,-0.0024856522432376133,1.6254594326019287,-0.0019365843247867553,1.0694260597229004,-0.006113943557608377,phi_low_k,9
True,phi,low_k,Bcc2,press,True,0.001,0.7555562853813171,0.006025986410910222,0.6613151133060455,0.0020426215368515434,0.6834712624549866,0.0015345690144668647,0.46489617228507996,-0.0006114599754761096,phi_low_k,9
True,phi,low_k,Bcc2,rho,True,0.001,0.9653633236885071,0.0006209144615754805,0.851257668601142,-0.0012087680330645308,0.8822240829467773,-0.0012495754301281546,0.6029860973358154,-0.0028028131787131987,phi_low_k,9
True,phi,low_k,Bcc2,vel1,True,0.001,0.9038939476013184,0.0019027849810414846,0.7907897697554694,-0.0022063773450130626,0.8131060004234314,-0.0018597644863622385,0.5300416350364685,-0.006944433282919692,phi_low_k,9
True,phi,low_k,Bcc2,vel2,True,0.001,1.6228888034820557,0.016471385205691774,1.4311546948220994,0.011905534639700656,1.462059736251831,0.011493629302333436,0.9989182353019714,0.007867359674191703,phi_low_k,9
True,phi,low_k,Bcc2,vel3,True,0.001,1.4199305772781372,0.004936713259665802,1.2526855799886916,-0.0013877136741282012,1.2680343389511108,-0.0010416567946458656,0.9003668427467346,-0.005925704540645742,phi_low_k,9
True,phi,low_k,Bcc3,Bcc1,True,0.001,0.5824289917945862,0.00445643005091022,0.535603427224689,0.0006782890976630251,0.5613137483596802,0.00014953479022983043,0.39071717858314514,-0.0007893610745614153,phi_low_k,9
True,phi,low_k,Bcc3,Bcc2,True,0.001,1.169234275817871,0.0006971575633592359,1.0746700167655945,-0.0007470261043466696,1.1065324544906616,0.00013060708752911826,0.8127719759941101,-0.004000212142095218,phi_low_k,9
False,phi,low_k,Bcc3,Bcc3,False,0.001,1.447875738143921,0.01036485654308359,1.3228615919748943,0.004741109775213113,1.3484963178634644,0.00474378740731446,1.0060906410217285,-0.001598385765371488,phi_low_k,9
True,phi,low_k,Bcc3,press,True,0.001,0.6548157930374146,0.006047551764747461,0.6020894183052911,5.7074002197350696e-05,0.6258624792098999,-0.00037051654440887094,0.4502887725830078,-0.003344324843250272,phi_low_k,9
True,phi,low_k,Bcc3,rho,True,0.001,0.8567125797271729,0.005051398992625674,0.7841839724116855,-0.0011324142758560992,0.8184149265289307,-0.0008094456209346645,0.5882008671760559,-0.006588191483122407,phi_low_k,9
True,phi,low_k,Bcc3,vel1,True,0.001,0.7486430406570435,0.0028842063237874555,0.6879644360807207,0.00021493252366120647,0.7221642732620239,0.0005579129758661277,0.4961967170238495,-0.004496045563237175,phi_low_k,9
True,phi,low_k,Bcc3,vel2,True,0.001,1.2869315147399902,-0.0002818047161698541,1.210928049352434,-0.005590427032101275,1.2481390237808228,-0.005274652562091105,0.9320409893989563,-0.009064832038315917,phi_low_k,9
True,phi,low_k,Bcc3,vel3,True,0.001,1.151564359664917,0.007334356361327395,1.0915827883614435,0.0012148907364420035,1.1255781650543213,0.0005734104184319204,0.8621158599853516,-0.0014639241841812587,phi_low_k,9
True,phi,low_k,press,Bcc1,True,0.001,0.6788374185562134,0.0069371795483568225,0.5938981307877435,0.001209783222733479,0.6092483401298523,0.0005513241939943143,0.4093919098377228,-0.0013804016406936065,phi_low_k,9
True,phi,low_k,press,Bcc2,True,0.001,1.3582890033721924,0.008318623367102675,1.2222106125619676,0.004538949266386503,1.2744864225387573,0.004671732603643889,0.871486485004425,0.0014172656007240684,phi_low_k,9
True,phi,low_k,press,Bcc3,True,0.001,1.759284496307373,0.0034625811178825862,1.5492632786432903,0.0014395540237687413,1.607854962348938,0.0025637859736682817,1.081302285194397,-0.0015684328858661344,phi_low_k,9
False,phi,low_k,press,press,False,0.001,0.7497053146362305,0.0028795979452791187,0.655878742535909,0.001176225349585266,0.6767382621765137,0.0015517305772452994,0.46596693992614746,-0.0013638837052106466,phi_low_k,9
True,phi,low_k,press,rho,True,0.001,0.9540781378746033,0.004860831721485564,0.841186006863912,0.00024199642733841028,0.8724046945571899,0.00032879567162080877,0.6025896668434143,-0.0034133409672052954,phi_low_k,9
True,phi,low_k,press,vel1,True,0.001,0.8984633684158325,0.007828099679940949,0.783956938319736,0.004284066921805674,0.8064989447593689,0.0027915929822470258,0.5350888967514038,0.0008825642584768843,phi_low_k,9
True,phi,low_k,press,vel2,True,0.001,1.606336236000061,-0.0014062234551362003,1.4137765831417508,-0.0038363869416158597,1.458305835723877,-0.0033362967246778996,0.9963709115982056,-0.007502949010926668,phi_low_k,9
