all_same_shell,channel_in,channel_out,direction,epsilon,maximum_energy_fraction,maximum_gain,mean_energy_fraction,mean_gain,median_energy_fraction,median_gain,minimum_energy_fraction,minimum_gain,same_shell,shell_in,shell_out,state_count
False,vel3,vel1,inward,0.01,0.011163636345056372,0.05337376147508621,0.009842082795605273,0.04388650879263878,0.009605054327258587,0.042628102004528046,0.008831343263221983,0.03273861110210419,False,3,2,9
False,vel3,vel2,inward,0.01,0.04751997552758095,0.09243468940258026,0.03840499897737602,0.0853806734085083,0.04208657030995655,0.08531347662210464,0.027713223731194857,0.06853021681308746,False,3,2,9
False,vel3,vel3,inward,0.01,0.06070238098741317,0.11666861176490784,0.047070423799744,0.09504432148403591,0.048340136723402455,0.09110061824321747,0.034635557711323726,0.07800372689962387,False,3,2,9
True,Bcc1,Bcc1,same,0.01,0.010931259961067438,0.04014398902654648,0.00846122665899586,0.03268193163805538,0.008524288095032435,0.03312143683433533,0.00566792800952094,0.019414477050304413,True,3,3,9
True,Bcc1,Bcc2,same,0.01,0.06228658526197853,0.09565635770559311,0.05389573879667297,0.0822245938082536,0.05395121263346531,0.08811239898204803,0.04119555401939816,0.05234060063958168,True,3,3,9
True,Bcc1,Bcc3,same,0.01,0.11076843421787495,0.13332930207252502,0.09329204098861527,0.10843328717682096,0.09183167669112166,0.10812200605869293,0.07448028645725381,0.07037755846977234,True,3,3,9
True,Bcc1,press,same,0.01,0.01008462685777393,0.03855450823903084,0.009265016080557397,0.03404570577873124,0.009247541359145853,0.03459414094686508,0.008520760604595888,0.02434678189456463,True,3,3,9
True,Bcc1,rho,same,0.01,0.014987757981938667,0.04672516882419586,0.013181980266415629,0.040738324324289955,0.014041987785105296,0.04378039762377739,0.008773982308172345,0.02415527030825615,True,3,3,9
True,Bcc1,vel1,same,0.01,0.02003568540253306,0.05670478567481041,0.017419087660064322,0.04683094513085154,0.01813720846108795,0.048808444291353226,0.013257502379680644,0.031053081154823303,True,3,3,9
True,Bcc1,vel2,same,0.01,0.1269080674841851,0.14255574345588684,0.10851622496795307,0.11672586450974147,0.10560433393232618,0.11473096162080765,0.09592501268147555,0.08090054243803024,True,3,3,9
True,Bcc1,vel3,same,0.01,0.06377124964636349,0.09517687559127808,0.055580956006493626,0.0831613830394215,0.056158822511064764,0.08525078743696213,0.048281230321458764,0.060594767332077026,True,3,3,9
True,Bcc2,Bcc1,same,0.01,0.013354301932156462,0.06131676584482193,0.00880123155492049,0.044230049889948636,0.008891300319458575,0.042820386588573456,0.0053641373923757766,0.02564896084368229,True,3,3,9
True,Bcc2,Bcc2,same,0.01,0.09980048547028827,0.16831126809120178,0.08197382146855588,0.13464095609055626,0.09036582861809059,0.12287763506174088,0.05761985375079807,0.09487449377775192,True,3,3,9
True,Bcc2,Bcc3,same,0.01,0.11190681094782313,0.1815570443868637,0.09750391377432613,0.14679865621858174,0.10015317435696452,0.14717677235603333,0.0722509172909132,0.10643570870161057,True,3,3,9
True,Bcc2,press,same,0.01,0.01324554659460756,0.05413312464952469,0.009283830474523334,0.044886319173706904,0.008604975743808255,0.04217422381043434,0.00825137228272046,0.03698718920350075,True,3,3,9
True,Bcc2,rho,same,0.01,0.015717927761982983,0.06652215123176575,0.012673517189827213,0.05291533428761694,0.012272057662204296,0.056367337703704834,0.008501129748311529,0.03228926286101341,True,3,3,9
True,Bcc2,vel1,same,0.01,0.026544266660299957,0.08880260586738586,0.01989277402458127,0.06654072884056303,0.019176134388048487,0.06285156309604645,0.01399847660687066,0.044670071452856064,True,3,3,9
True,Bcc2,vel2,same,0.01,0.14509655273217872,0.1999562829732895,0.1250351176337993,0.16564847694502938,0.12563231816799006,0.16202357411384583,0.10880541094641558,0.13339771330356598,True,3,3,9
True,Bcc2,vel3,same,0.01,0.0792291539596145,0.15325729548931122,0.06751602003560445,0.1221265768011411,0.06592860780410548,0.11852427572011948,0.05552031582504221,0.0874037891626358,True,3,3,9
True,Bcc3,Bcc1,same,0.01,0.011387338680245874,0.04998648911714554,0.00888039622673036,0.04189579664833016,0.008985067252676737,0.04372178018093109,0.005798838298629834,0.02505037747323513,True,3,3,9
