all_cross_channel,channel_in,channel_out,cross_channel,epsilon,maximum_gain,maximum_phase_correlation,mean_gain,mean_phase_correlation,median_gain,median_phase_correlation,minimum_gain,minimum_phase_correlation,mode,state_count
True,vel2,vel1,True,0.001,0.9309260207966579,-0.05212526060809409,0.8430679413186939,-0.07104947642542209,0.8659153500744909,-0.06559230119976109,0.662015239120438,-0.09125025704065831,inner_localized,9
False,vel2,vel2,False,0.001,1.6676585476194947,0.10608497727153061,1.5196491458471768,0.0921858131087927,1.5634653308072883,0.09101240310570965,1.2106695896786206,0.07513287170395026,inner_localized,9
True,vel2,vel3,True,0.001,1.4779824899424607,0.09997031079941156,1.3303375507264532,0.05490545135776837,1.3584036444666174,0.05710981985690517,1.070215527428122,0.012615442238168927,inner_localized,9
True,vel3,Bcc1,True,0.001,0.6893034392180108,0.03599090939474583,0.6191760107714872,0.014168217538468943,0.6348950049218538,0.01334524801665258,0.4713161570618246,0.0010665645693433152,inner_localized,9
True,vel3,Bcc2,True,0.001,1.3999379515610904,0.11882043545816343,1.2995547300974037,0.062258609087985244,1.3441240396573568,0.07037786067910418,0.9980213044894519,-0.0001783834504851381,inner_localized,9
True,vel3,Bcc3,True,0.001,1.7565390918576176,0.005863366074788137,1.6177876695003048,-0.004770251267519493,1.6591106450027613,-0.006513266670861867,1.3166275809185255,-0.010242427102837647,inner_localized,9
True,vel3,press,True,0.001,0.7732970579443609,0.19789699013296594,0.6976143206392983,0.15772941427421056,0.72010980368315,0.15153272769498755,0.537520619483031,0.1317160990585363,inner_localized,9
True,vel3,rho,True,0.001,0.9904425138498851,0.04875378022300527,0.8966463014140176,0.028917053917016655,0.9335644205549014,0.029118686543002006,0.6920663530866118,0.01694568539423746,inner_localized,9
True,vel3,vel1,True,0.001,0.9141698428493644,0.12215782284094374,0.8259403403167133,0.10497589343442287,0.8486605196392846,0.1037914610363026,0.6239148154207954,0.08701970279353512,inner_localized,9
True,vel3,vel2,True,0.001,1.6347613116956539,0.02091572684851921,1.4840175533040232,0.012325594316995345,1.527369471035568,0.010459834335018793,1.1461410013521314,0.001996341584295822,inner_localized,9
False,vel3,vel3,False,0.001,1.5236751749321922,0.36500018154361163,1.3952022562876032,0.3126938800884991,1.4040404202962171,0.30453935863711995,1.1686884861402802,0.2782620871166809,inner_localized,9
False,Bcc1,Bcc1,False,0.001,0.6841831207275391,0.01563222530686726,0.6113636228773329,-0.0005462273007658665,0.6274424195289612,0.0002316073920063334,0.44882696866989136,-0.02124028244085086,linear_log_r,9
True,Bcc1,Bcc2,True,0.001,1.3775020837783813,0.1502149931288812,1.2830084760983784,0.1346494757657825,1.325334072113037,0.13356431879833264,0.9847323298454285,0.12485221798542036,linear_log_r,9
True,Bcc1,Bcc3,True,0.001,1.754679560661316,0.0014214108599845037,1.602163208855523,-0.009745403422798168,1.6508735418319702,-0.008007198479122688,1.2071822881698608,-0.03397383845836372,linear_log_r,9
True,Bcc1,press,True,0.001,0.7568220496177673,0.03248603613634214,0.6753036578496298,0.026018389689504193,0.697054922580719,0.028635350767020198,0.5099117159843445,0.012778969009671952,linear_log_r,9
True,Bcc1,rho,True,0.001,0.9709647297859192,0.011919431539917397,0.8719997803370158,0.005529432478433421,0.9077559113502502,0.009959220212555735,0.660587728023529,-0.019576215640489943,linear_log_r,9
True,Bcc1,vel1,True,0.001,0.9040231108665466,0.008849796058838956,0.8106927076975504,-0.004785716568861368,0.8364155292510986,-0.009303515580057606,0.5892688632011414,-0.01637311689013946,linear_log_r,9
True,Bcc1,vel2,True,0.001,1.6152448654174805,0.05340853267793196,1.4628978040483263,0.02457455378202948,1.5094788074493408,0.025225989180847286,1.0851126909255981,-0.0045767720864305856,linear_log_r,9
True,Bcc1,vel3,True,0.001,1.42794668674469,0.09332739972610408,1.2904534339904785,0.08007545782765244,1.3183581829071045,0.08723572087898263,1.0125802755355835,0.053353024270071686,linear_log_r,9
True,Bcc2,Bcc1,True,0.001,0.7007094025611877,0.005921161018967205,0.6269475552770827,-0.011053936241492625,0.6485164761543274,-0.015487447146758341,0.438573956489563,-0.023940735680826112,linear_log_r,9
False,Bcc2,Bcc2,False,0.001,1.530383586883545,0.32456657685125573,1.4275925556818645,0.3050775210185806,1.494356632232666,0.30554759257593195,1.052839994430542,0.2809555554875335,linear_log_r,9
True,Bcc2,Bcc3,True,0.001,1.7902650833129883,0.004105469812616832,1.6441450781292386,-0.013813038601762471,1.7172760963439941,-0.01799011131293473,1.2058616876602173,-0.026041587417462674,linear_log_r,9
True,Bcc2,press,True,0.001,0.7740212082862854,0.012373078540274482,0.6942572726143731,-0.00558194108756431,0.7197062373161316,-0.00263563663729401,0.5135753750801086,-0.04259068675445163,linear_log_r,9
True,Bcc2,rho,True,0.001,0.9948539733886719,0.04371280728229969,0.8993589811854892,0.031148971931887745,0.9447437524795532,0.035134407555476185,0.6644267439842224,-0.009090441098860385,linear_log_r,9
True,Bcc2,vel1,True,0.001,0.9239233732223511,-0.045864045821755586,0.8355488379796346,-0.06106507566897539,0.8618643879890442,-0.056960708515293855,0.5944121479988098,-0.09032418174171654,linear_log_r,9
True,Bcc2,vel2,True,0.001,1.652952790260315,0.04474035795823928,1.5143883890575833,0.029587610710674395,1.5718964338302612,0.031020670678081785,1.1290327310562134,0.010306548072975739,linear_log_r,9
True,Bcc2,vel3,True,0.001,1.456367015838623,0.08045082485792354,1.320579515563117,0.054164822193225076,1.351155161857605,0.05291148366517117,0.9957046508789062,0.031155731122586187,linear_log_r,9
True,Bcc3,Bcc1,True,0.001,0.6258866786956787,0.000674036617753063,0.5664121276802487,-0.004492100827681674,0.5848287343978882,-0.004989249943734472,0.4371868073940277,-0.011430958493621562,linear_log_r,9
True,Bcc3,Bcc2,True,0.001,1.2212059497833252,-0.009426501831029768,1.1470561954710219,-0.03313075302411393,1.162075161933899,-0.032412469409137924,0.8954676389694214,-0.050123278664137676,linear_log_r,9
