channel,model,radial_absolute_error,radial_persistence_absolute_error,radial_skill,source_snapshot,target_snapshot
rho,Index-space DISCO3D LocalNO,2.9934059459117175,0.6255220143953336,-3.785452593231782,172,173
press,Index-space DISCO3D LocalNO,222.2965047371219,0.13771091931059753,-1613.225697206678,172,173
vel1,Index-space DISCO3D LocalNO,0.07559021157025339,0.04998576506188807,-0.5122347627702426,172,173
vel2,Index-space DISCO3D LocalNO,0.005000598275744584,0.0008364135755253155,-4.97861921670021,172,173
vel3,Index-space DISCO3D LocalNO,0.02786571787119879,0.018788743982367875,-0.4831070079697246,172,173
Bcc1,Anisotropic spherical DISCO3D LocalNO,2.2947551357224,0.12755923307998757,-16.98972195359191,172,173
Bcc2,Anisotropic spherical DISCO3D LocalNO,0.06082738135915692,0.027020634029531008,-1.2511455983112136,172,173
Bcc3,Anisotropic spherical DISCO3D LocalNO,0.7890338786927648,0.5172583100994195,-0.5254155675935082,172,173
rho,Anisotropic spherical DISCO3D LocalNO,6.694993594688911,0.6255220143953336,-9.703050317358832,172,173
press,Anisotropic spherical DISCO3D LocalNO,0.8407882309708131,0.13771091931059753,-5.105457978059626,172,173
vel1,Anisotropic spherical DISCO3D LocalNO,0.06313133105048228,0.04998576506188807,-0.2629861916151228,172,173
vel2,Anisotropic spherical DISCO3D LocalNO,0.006834185515230481,0.0008364135755253155,-7.170820889579922,172,173
vel3,Anisotropic spherical DISCO3D LocalNO,0.016057751629401568,0.018788743982367875,0.14535257681562863,172,173
Bcc1,Persistence,0.0026709383199520396,0.1062867450199563,0.9748704476795245,173,174
Bcc2,Persistence,0.05936099280952434,0.05936081195212201,-3.0467474478879097e-06,173,174
Bcc3,Persistence,0.48456943518237483,0.48456992068782456,1.00193063790055e-06,173,174
rho,Persistence,0.5500705677596895,0.5500724899554696,3.4944408513482017e-06,173,174
press,Persistence,0.1747914615475767,0.17478575362737073,-3.265666730545291e-05,173,174
vel1,Persistence,0.043064940575769456,0.05328148538706503,0.1917466214967012,173,174
vel2,Persistence,0.000736354970658903,0.0010406628600375335,0.2924173630715091,173,174
vel3,Persistence,0.018311572255979704,0.01831156012931891,-6.622407215939319e-07,173,174
Bcc1,FNO,1.0775874051604628,0.1062867450199563,-9.138492856829288,173,174
Bcc2,FNO,0.13918081155224954,0.05936081195212201,-1.344658150304734,173,174
Bcc3,FNO,1.9172035347097631,0.48456992068782456,-2.9565054553703654,173,174
rho,FNO,21726.915179776817,0.5500724899554696,-39497.27627543361,173,174
press,FNO,0.6540434372276203,0.17478575362737073,-2.741972235460269,173,174
vel1,FNO,0.12525759772377684,0.05328148538706503,-1.3508653487011308,173,174
vel2,FNO,0.002555618161379585,0.0010406628600375335,-1.4557599387061932,173,174
vel3,FNO,0.03304591320221262,0.01831156012931891,-0.8046476088786294,173,174
Bcc1,3D CNN/U-Net,0.49759897152727633,0.1062867450199563,-3.6816653519105094,173,174
Bcc2,3D CNN/U-Net,0.26153956457542515,0.05936081195212201,-3.405929703023136,173,174
Bcc3,3D CNN/U-Net,0.6829630282592134,0.48456992068782456,-0.4094210125337103,173,174
rho,3D CNN/U-Net,8.396365705657896,0.5500724899554696,-14.264107656679235,173,174
press,3D CNN/U-Net,61134.23847180013,0.17478575362737073,-349765.7126929203,173,174
vel1,3D CNN/U-Net,0.07037925342011177,0.05328148538706503,-0.3208951084760394,173,174
vel2,3D CNN/U-Net,0.008623298725465914,0.0010406628600375335,-7.2863519556707335,173,174
vel3,3D CNN/U-Net,0.04335945446526653,0.01831156012931891,-1.3678733083940275,173,174
Bcc1,Differential LocalNO,0.868320025788569,0.1062867450199563,-7.169598435115631,173,174
Bcc2,Differential LocalNO,0.0646162936361752,0.05936081195212201,-0.08853453164171743,173,174
Bcc3,Differential LocalNO,0.7447140113938603,0.48456992068782456,-0.5368556313540329,173,174
rho,Differential LocalNO,15.655161930782738,0.5500724899554696,-27.460179733856677,173,174
press,Differential LocalNO,21.158318170472317,0.17478575362737073,-120.05287605750846,173,174
vel1,Differential LocalNO,0.07801483924821069,0.05328148538706503,-0.46420165807070557,173,174
vel2,Differential LocalNO,0.0035488514909203027,0.0010406628600375335,-2.410183669658689,173,174
vel3,Differential LocalNO,0.03825881557484437,0.01831156012931891,-1.089325830494782,173,174
Bcc1,Index-space DISCO3D LocalNO,0.7952555175157195,0.1062867450199563,-6.482170211971428,173,174
Bcc2,Index-space DISCO3D LocalNO,0.1614556515754434,0.05936081195212201,-1.7199030179315415,173,174
Bcc3,Index-space DISCO3D LocalNO,0.8224642235156869,0.48456992068782456,-0.6973076297188177,173,174
rho,Index-space DISCO3D LocalNO,3.077921985956586,0.5500724899554696,-4.595484308269543,173,174
press,Index-space DISCO3D LocalNO,8503.070187462055,0.17478575362737073,-48647.531193165334,173,174
vel1,Index-space DISCO3D LocalNO,0.06463786953411112,0.05328148538706503,-0.21313940601594106,173,174
vel2,Index-space DISCO3D LocalNO,0.0027682720175441528,0.0010406628600375335,-1.660104558208515,173,174
vel3,Index-space DISCO3D LocalNO,0.02602191568578567,0.01831156012931891,-0.42106491757202025,173,174
Bcc1,Anisotropic spherical DISCO3D LocalNO,2.332576453580193,0.1062867450199563,-20.946071009533977,173,174
Bcc2,Anisotropic spherical DISCO3D LocalNO,0.1353223513168206,0.05936081195212201,-1.2796580246571767,173,174
Bcc3,Anisotropic spherical DISCO3D LocalNO,0.7633335215309643,0.48456992068782456,-0.575280447551197,173,174
rho,Anisotropic spherical DISCO3D LocalNO,6.397428131887416,0.5500724899554696,-10.630154659080135,173,174
press,Anisotropic spherical DISCO3D LocalNO,1.8661957279452936,0.17478575362737073,-9.677047123210476,173,174
