channel,model,radial_absolute_error,shell_absolute_error,source_snapshot
vel2,Anisotropic spherical DISCO3D LocalNO,0.006834185515230481,0.00010835405572094602,172
vel3,Anisotropic spherical DISCO3D LocalNO,0.016057751629401568,0.0013650281016543656,172
Bcc1,Persistence,0.0026709383199520396,0.10722035088096694,173
Bcc2,Persistence,0.05936099280952434,0.02390328921829313,173
Bcc3,Persistence,0.48456943518237483,0.5346866855104943,173
rho,Persistence,0.5500705677596895,17.187091090523808,173
press,Persistence,0.1747914615475767,0.3533081115608851,173
vel1,Persistence,0.043064940575769456,0.01179873555731652,173
vel2,Persistence,0.000736354970658903,2.7119346660869338e-05,173
vel3,Persistence,0.018311572255979704,0.0011731809200655609,173
Bcc1,FNO,1.0775874051604628,4.203599643250116,173
Bcc2,FNO,0.13918081155224954,0.07913672885991582,173
Bcc3,FNO,1.9172035347097631,12.291662392004037,173
rho,FNO,21726.915179776817,133392299997.4577,173
press,FNO,0.6540434372276203,77.86040385611055,173
vel1,FNO,0.12525759772377684,0.026520798132373007,173
vel2,FNO,0.002555618161379585,9.778252572109806e-05,173
vel3,FNO,0.03304591320221262,0.0010604365440390823,173
Bcc1,3D CNN/U-Net,0.49759897152727633,3.914693619036828,173
Bcc2,3D CNN/U-Net,0.26153956457542515,1.7876297125968013,173
Bcc3,3D CNN/U-Net,0.6829630282592134,3.3488601556837834,173
rho,3D CNN/U-Net,8.396365705657896,1787.536947032142,173
press,3D CNN/U-Net,61134.23847180013,1887726240873.3445,173
vel1,3D CNN/U-Net,0.07037925342011177,0.08871490929715271,173
vel2,3D CNN/U-Net,0.008623298725465914,0.00010377559895951218,173
vel3,3D CNN/U-Net,0.04335945446526653,0.003994087921290516,173
Bcc1,Differential LocalNO,0.868320025788569,3.825025126251155,173
Bcc2,Differential LocalNO,0.0646162936361752,0.24030140531404567,173
Bcc3,Differential LocalNO,0.7447140113938603,0.9028391947534874,173
rho,Differential LocalNO,15.655161930782738,46289.52414174406,173
press,Differential LocalNO,21.158318170472317,36792.78782422052,173
vel1,Differential LocalNO,0.07801483924821069,0.06198772896751374,173
vel2,Differential LocalNO,0.0035488514909203027,5.142038596494319e-05,173
vel3,Differential LocalNO,0.03825881557484437,0.004787190213317067,173
Bcc1,Index-space DISCO3D LocalNO,0.7952555175157195,3.6090214679061403,173
Bcc2,Index-space DISCO3D LocalNO,0.1614556515754434,0.5253047667803832,173
Bcc3,Index-space DISCO3D LocalNO,0.8224642235156869,44.926781336763646,173
rho,Index-space DISCO3D LocalNO,3.077921985956586,263.34425336538646,173
press,Index-space DISCO3D LocalNO,8503.070187462055,36989639604.65732,173
vel1,Index-space DISCO3D LocalNO,0.06463786953411112,0.04217113164723791,173
vel2,Index-space DISCO3D LocalNO,0.0027682720175441528,4.083698189327607e-05,173
vel3,Index-space DISCO3D LocalNO,0.02602191568578567,0.002638860450956117,173
Bcc1,Anisotropic spherical DISCO3D LocalNO,2.332576453580193,3.773031588923602,173
Bcc2,Anisotropic spherical DISCO3D LocalNO,0.1353223513168206,0.4758184182545867,173
Bcc3,Anisotropic spherical DISCO3D LocalNO,0.7633335215309643,8.22470163313477,173
rho,Anisotropic spherical DISCO3D LocalNO,6.397428131887416,106.26348612227571,173
press,Anisotropic spherical DISCO3D LocalNO,1.8661957279452936,977.9637582727319,173
vel1,Anisotropic spherical DISCO3D LocalNO,0.06633017657157457,0.04816968020697986,173
vel2,Anisotropic spherical DISCO3D LocalNO,0.007999119602572689,0.00010112934577417256,173
vel3,Anisotropic spherical DISCO3D LocalNO,0.02855124046102108,0.0025401715034864118,173
Bcc1,Persistence,0.004139106142910496,0.11459993385662291,174
Bcc2,Persistence,0.1408448170460872,0.02437749230278178,174
Bcc3,Persistence,0.7857325165096188,17.894056613071896,174
rho,Persistence,0.43405459858351064,6.147328963391954,174
press,Persistence,0.07381376726353242,0.7690930428901657,174
vel1,Persistence,0.05210005697882414,0.010226180922550085,174
vel2,Persistence,0.00082074566757386,9.86242454448136e-06,174
vel3,Persistence,0.05039632200764783,0.004419017761274704,174
Bcc1,FNO,0.8537792997392848,3.534714854680327,174
Bcc2,FNO,0.03339230579697911,0.01063043304119503,174
Bcc3,FNO,0.6967648540730461,11.719276193695192,174
rho,FNO,4420.102252543028,4652512319.199279,174
press,FNO,0.5977026272885602,73.88569555605378,174
vel1,FNO,0.10314266537758943,0.02527731804277226,174
vel2,FNO,0.0027883859031139187,0.00011137816373263248,174
vel3,FNO,0.032470146380401785,0.004478795146868696,174
Bcc1,3D CNN/U-Net,0.6570822821664793,3.7108763548465253,174
Bcc2,3D CNN/U-Net,0.41730414642916286,3.1269910614793703,174
Bcc3,3D CNN/U-Net,0.4021915040944992,3.9669472973476303,174
rho,3D CNN/U-Net,8.3925801196857,1498.3239418619949,174
press,3D CNN/U-Net,9050.222150704389,23977254248.4968,174
vel1,3D CNN/U-Net,0.0726584862173523,0.08773373578623142,174
vel2,3D CNN/U-Net,0.008688883689903263,0.00010197584055448593,174
vel3,3D CNN/U-Net,0.06492000104963781,0.0007173439225685426,174
Bcc1,Differential LocalNO,0.8833825961461576,3.3995659769962128,174
Bcc2,Differential LocalNO,0.1949854014333049,0.6720289713939137,174
Bcc3,Differential LocalNO,0.41942741920245974,16.597673349634633,174
rho,Differential LocalNO,9.809144868870984,6698.770637944651,174
press,Differential LocalNO,24.32658597150137,45368.37946919189,174
vel1,Differential LocalNO,0.08933772232495893,0.06468551656969353,174
vel2,Differential LocalNO,0.003926229646918254,5.5004210758733935e-05,174
vel3,Differential LocalNO,0.06532799899726235,0.001985050887795255,174
Bcc1,Index-space DISCO3D LocalNO,0.7091614136594623,3.083169735841835,174
Bcc2,Index-space DISCO3D LocalNO,0.16773188072099252,0.23022455126337613,174
Bcc3,Index-space DISCO3D LocalNO,0.6496675419054366,1.8926798239988847,174
rho,Index-space DISCO3D LocalNO,3.7743494468145378,30.46996192182156,174
press,Index-space DISCO3D LocalNO,91.45619408760165,3299680.8348665037,174
vel1,Index-space DISCO3D LocalNO,0.05425765150892213,0.04464772309429081,174
vel2,Index-space DISCO3D LocalNO,0.003019784886106229,6.818477337002001e-05,174
vel3,Index-space DISCO3D LocalNO,0.035655368641489535,0.00295484118461663,174
Bcc1,Anisotropic spherical DISCO3D LocalNO,2.207618532586261,3.168202842664086,174
Bcc2,Anisotropic spherical DISCO3D LocalNO,0.15463101079666006,0.2090595889591786,174
Bcc3,Anisotropic spherical DISCO3D LocalNO,0.5854708233987514,13.32407707813848,174
rho,Anisotropic spherical DISCO3D LocalNO,6.4217829362824155,110.34256938890668,174
press,Anisotropic spherical DISCO3D LocalNO,0.9514618148192847,429.0385479397572,174
vel1,Anisotropic spherical DISCO3D LocalNO,0.07746355070732794,0.050234130240898386,174
vel2,Anisotropic spherical DISCO3D LocalNO,0.00567295631632492,0.00011533652997880892,174
vel3,Anisotropic spherical DISCO3D LocalNO,0.032673655825294315,0.003219542136262272,174
Bcc1,Persistence,0.006449059666071659,0.11260099252468332,175
Bcc2,Persistence,0.040035306810375454,0.008125354745913046,175
Bcc3,Persistence,0.5958744562026899,3.802971654786457,175
rho,Persistence,0.8148704827341745,24.846330549654084,175
press,Persistence,0.19665858539738282,0.02903331176321873,175
vel1,Persistence,0.048878638544292585,0.0072038962697117395,175
vel2,Persistence,0.0008219209201856371,2.7065361818314017e-05,175
vel3,Persistence,0.026211681312779567,0.002011769021082603,175
Bcc1,FNO,0.9097618811168047,3.9431441149041104,175
Bcc2,FNO,0.0972808527043715,0.037184487735610255,175
Bcc3,FNO,1.0742162409158684,2.0299504000523507,175
rho,FNO,1850.9677054645776,497977366.34489715,175
press,FNO,0.5320892901234723,95.96332247981589,175
vel1,FNO,0.10470300029955369,0.026790470456217956,175
vel2,FNO,0.003184332261752485,6.479431427617238e-05,175
vel3,FNO,0.04471218536393041,0.00128531644522682,175
Bcc1,3D CNN/U-Net,0.582582980920582,3.515959261919335,175
Bcc2,3D CNN/U-Net,0.2563325798307342,4.282170505388044,175
Bcc3,3D CNN/U-Net,0.719685871043023,63.852753840002464,175
rho,3D CNN/U-Net,7.596571267757707,1521.6417218492222,175
press,3D CNN/U-Net,5951.04771163646,4306244117.802992,175
vel1,3D CNN/U-Net,0.07300058707132553,0.09728447250626812,175
vel2,3D CNN/U-Net,0.008087689675631938,8.242314407200054e-05,175
vel3,3D CNN/U-Net,0.024313591015113503,0.0056481660077707515,175
Bcc1,Differential LocalNO,0.9361091681385174,3.3832149592468497,175
Bcc2,Differential LocalNO,0.07192028821731933,0.14044805483921638,175
Bcc3,Differential LocalNO,0.44396669760139246,0.8950711690826975,175
rho,Differential LocalNO,12.154719603430905,18135.717710339017,175
press,Differential LocalNO,9.254256308532643,3198.3294889820713,175
