clipping_fraction,cumulative_runtime_seconds,differential_gradient_norm_mean,disco_gradient_norm_mean,disco_gradient_norm_min,disco_weight_norm,epoch,epoch_runtime_seconds,gpu_peak_allocated_mib,gpu_peak_reserved_mib,gradient_norm_after_clip_mean,gradient_norm_before_clip_max,gradient_norm_before_clip_mean,learning_rate_end,learning_rate_start,microbatches_seen,microbatches_this_epoch,nonfinite_count,optimizer_updates,optimizer_updates_this_epoch,spectral_gradient_norm_mean,train_loss_max,train_loss_mean,train_loss_min
1.0,2842.657423857,63.40734728886967,124.53802037239075,1.536515474319458,16.739667892456055,96,29.426556909000283,648.0830078125,906.0,0.9999999474911463,5001.20849609375,223.40101782480875,0.0009991413536632786,0.0009992193067117083,16128,168,0,4032,42,38.361877865734556,1716.382568359375,24.549945487197313,0.07499873638153076
1.0,2872.2332395470003,45.86249054329736,73.52071944872539,2.078139066696167,16.7242374420166,97,29.575815690000127,648.0830078125,906.0,0.9999999361378806,2590.090087890625,140.2026052020845,0.0009990576571122154,0.0009991394060752715,16296,168,0,4074,42,22.942453299249923,922.0228271484375,19.314009662584535,0.06411365419626236
1.0,2901.7478880520002,56.66675791286287,98.24310591674987,1.7149393558502197,16.714542388916016,98,29.51464850499997,648.0830078125,906.0,0.9999999332995642,3399.759521484375,185.61248652140299,0.000998970072708392,0.0009990556169485801,16464,168,0,4116,42,30.018769057024095,1069.8914794921875,21.147870244591363,0.07866404950618744
1.0,2931.275994177,45.754658920424326,86.2514286608923,1.2493160963058472,16.698640823364258,99,29.528106124999795,648.0830078125,906.0,0.9999999361378806,2192.02685546875,154.48666059970856,0.00099887860113481,0.0009989679399850383,16632,168,0,4158,42,26.830380608638126,747.6032104492188,19.109808145844866,0.07511608302593231
1.0,2960.441053574,45.27722666377113,72.2384387254715,0.5606434345245361,16.686466217041016,100,29.165059396999823,648.0830078125,906.0,0.9999999134313493,1895.748779296875,132.19730880146935,0.0009987832431047822,0.000998876375868369,16800,168,0,4200,42,22.0213556963773,615.2263793945312,18.26452477036842,0.07155688107013702
1.0,2989.880311694,51.00096618277686,104.09151557513646,1.8958007097244263,16.67299461364746,101,29.439258119999977,648.0830078125,906.0,0.9999999262037731,3569.560302734375,196.8082036801747,0.0009986839993619302,0.0009987809253126072,16968,168,0,4242,42,31.743159580798377,978.328857421875,20.08982765062579,0.058077290654182434
1.0,3019.310101053,45.75069496177492,74.3433527038211,1.909653663635254,16.66166877746582,102,29.429789359000097,648.0830078125,906.0,0.9999999531677791,1845.9632568359375,143.53435257502966,0.0009985808706801766,0.000998681589062096,17136,168,0,4284,42,22.64958242291496,641.6663818359375,18.40290533383155,0.06060393899679184
1.0,3048.7383131760007,45.410540751048494,81.57799773840676,0.830868124961853,16.650360107421875,103,29.428212123000776,648.0830078125,906.0,0.9999999489103045,2060.130126953125,147.28584383782885,0.0009984738578637396,0.000998578367891479,17304,168,0,4326,42,25.791025566912833,634.27001953125,18.073953830370947,0.07126389443874359
1.0,3078.0725501260004,60.146876509700505,109.70626737106414,1.9639989137649536,16.63551902770996,104,29.33423694999965,648.0830078125,906.0,0.9999999276229313,4024.62060546875,197.36706431706747,0.0009983629617471264,0.0009984712626056956,17472,168,0,4368,42,33.601261612914854,1219.4521484375,21.997393657187267,0.06467432528734207
1.0,3107.67980532,45.49422061443329,76.4586039185524,1.8158665895462036,16.626401901245117,105,29.607255193999663,648.0830078125,906.0,0.9999999276229313,2470.959716796875,143.14463092031934,0.0009982481831951274,0.0009983602740399745,17640,168,0,4410,42,24.956479963802156,734.3509521484375,18.434459059011367,0.0533289760351181
