error_case,global_value_mean,model_state,per_channel_mean,per_direction_mean,reduction,relative_to_h0_mean,sample_count,split,variant
target_field,162.9403076171875,full_best,"{""Bcc1"": 1.2967687606811524, ""Bcc2"": 40.03727760314941, ""Bcc3"": 47.12792816162109, ""press"": 0.13414124250411988, ""rho"": 0.08810300454497337, ""vel1"": 1.5507059812545776, ""vel2"": 69.60041656494141, ""vel3"": 3.104968082904816}","{""phi"": 3.199649580238883e-05, ""r"": 42.88206148147583, ""theta"": 120.05821380615234}",uniform,0.010067568184393128,5,train,H4_spherical_metric_proxy:all_channels_naive_proxy
target_field,0.010091990325599908,full_best,"{""Bcc1"": 0.00042910908814519644, ""Bcc2"": 0.00040134345181286335, ""Bcc3"": 0.0029699895996600388, ""press"": 0.0008295061998069286, ""rho"": 0.0017381237354129552, ""vel1"": 0.0009318112744949758, ""vel2"": 0.0018679648637771606, ""vel3"": 0.0009241426188964397}","{""phi"": 1.1451527500935289e-07, ""r"": 0.0023299031890928745, ""theta"": 0.0077619730494916436}",volume_proxy,6.409840514713459e-07,5,train,H4_spherical_metric_proxy:all_channels_naive_proxy
target_field,0.22224425077438353,full_best,"{""press"": 0.134141243994236, ""rho"": 0.08810300379991531}","{""phi"": 3.5828394784331864e-08, ""r"": 0.10178501009941102, ""theta"": 0.12045919895172119}",uniform,1.2740303915793034e-05,5,train,H4_spherical_metric_proxy:scalar_channel_proxy_only
target_field,0.0025676298420876263,full_best,"{""press"": 0.0008295062347315252, ""rho"": 0.0017381236189976334}","{""phi"": 2.647029830749765e-09, ""r"": 0.0004207759920973331, ""theta"": 0.002146851271390915}",volume_proxy,1.8581225843157867e-07,5,train,H4_spherical_metric_proxy:scalar_channel_proxy_only
model_error,6137.168896484375,full_best,"{""Bcc1"": 196.57901306152343, ""Bcc2"": 1819.71748046875, ""Bcc3"": 2000.7802368164062, ""press"": 150.15661163330077, ""rho"": 178.5131042480469, ""vel1"": 470.08554992675784, ""vel2"": 971.35830078125, ""vel3"": 349.9786346435547}","{""phi"": 36.352196502685544, ""r"": 3140.1049072265623, ""theta"": 2960.711962890625}",uniform,1.0,5,validation,H0_current_upstream
model_error,1.4983322501182557,full_best,"{""Bcc1"": 0.04799292311072349, ""Bcc2"": 0.4442669630050659, ""Bcc3"": 0.4884717375040054, ""press"": 0.03665932901203632, ""rho"": 0.04358230084180832, ""vel1"": 0.11476697996258736, ""vel2"": 0.23714802265167237, ""vel3"": 0.0854440025985241}","{""phi"": 0.008875047974288463, ""r"": 0.7666271746158599, ""theta"": 0.722830069065094}",uniform,0.000244140625,5,validation,H1_unit_index
model_error,6137.168896484375,full_best,"{""Bcc1"": 196.57901306152343, ""Bcc2"": 1819.71748046875, ""Bcc3"": 2000.7802368164062, ""press"": 150.15661163330077, ""rho"": 178.5131042480469, ""vel1"": 470.08554992675784, ""vel2"": 971.35830078125, ""vel3"": 349.9786346435547}","{""phi"": 36.352196502685544, ""r"": 3140.1049072265623, ""theta"": 2960.711962890625}",uniform,1.0,5,validation,H2_normalized_axis
model_error,464.3749755859375,full_best,"{""Bcc1"": 13.897608947753906, ""Bcc2"": 149.07005767822267, ""Bcc3"": 146.28783645629883, ""press"": 10.577703094482422, ""rho"": 8.1985652923584, ""vel1"": 43.449302673339844, ""vel2"": 68.73189697265624, ""vel3"": 24.161999893188476}","{""phi"": 0.9208119511604309, ""r"": 151.78792877197264, ""theta"": 311.6662322998047}",uniform,0.07434121062676677,5,validation,H3_stored_logr
model_error,34.31575698852539,full_best,"{""Bcc1"": 3.7371261596679686, ""Bcc2"": 3.1462453603744507, ""Bcc3"": 5.288125133514404, ""press"": 2.9922372817993166, ""rho"": 3.101551580429077, ""vel1"": 9.00303611755371, ""vel2"": 4.493593645095825, ""vel3"": 2.5538418889045715}","{""phi"": 0.03159732709173113, ""r"": 9.995997714996339, ""theta"": 24.288162612915038}",volume_proxy,0.0076537609323194065,5,validation,H3_stored_logr
model_error,366.6474578857422,full_best,"{""Bcc1"": 12.524738788604736, ""Bcc2"": 109.63547134399414, ""Bcc3"": 116.759716796875, ""press"": 8.990270233154297, ""rho"": 6.6624737739562985, ""vel1"": 39.626167678833006, ""vel2"": 54.846549606323244, ""vel3"": 17.60206699371338}","{""phi"": 0.9208119511604309, ""r"": 54.06041259765625, ""theta"": 311.6662322998047}",uniform,0.059698987983963,5,validation,H3_stored_r
model_error,24.321859741210936,full_best,"{""Bcc1"": 2.8531586170196532, ""Bcc2"": 2.1519997835159304, ""Bcc3"": 3.284248113632202, ""press"": 2.223026084899902, ""rho"": 2.1778322219848634, ""vel1"": 6.822614645957946, ""vel2"": 3.0243210315704347, ""vel3"": 1.7846601724624633}","{""phi"": 0.03159732709173113, ""r"": 0.002101338445208967, ""theta"": 24.288162612915038}",volume_proxy,0.005441620265827047,5,validation,H3_stored_r
model_error,187.38559036254884,full_best,"{""Bcc1"": 2.306885612010956, ""Bcc2"": 71.77187309265136, ""Bcc3"": 39.729858827590945, ""press"": 2.903538727760315, ""rho"": 0.6906017243862153, ""vel1"": 2.9148982524871827, ""vel2"": 27.373128509521486, ""vel3"": 39.694807815551755}","{""phi"": 75.20185628980398, ""r"": 54.06041259765625, ""theta"": 58.1233268737793}",uniform,0.03471912285789078,5,validation,H4_spherical_metric_proxy:all_channels_naive_proxy
model_error,0.008262470830231905,full_best,"{""Bcc1"": 0.0005716225830838084, ""Bcc2"": 0.0011842809501104057, ""Bcc3"": 0.0025351825868710877, ""press"": 0.00042929720366373657, ""rho"": 0.0004120628582313657, ""vel1"": 0.0014156747376546264, ""vel2"": 0.001005823747254908, ""vel3"": 0.000708526058588177}","{""phi"": 0.0002312961394636659, ""r"": 0.002101338445208967, ""theta"": 0.00592983616515994}",volume_proxy,1.6433165019903315e-06,5,validation,H4_spherical_metric_proxy:all_channels_naive_proxy
model_error,3.5941404581069945,full_best,"{""press"": 2.903538727760315, ""rho"": 0.6906017243862153}","{""phi"": 2.0739759797230364, ""r"": 0.3567859411239624, ""theta"": 1.1633785247802735}",uniform,0.0008334533662731926,5,validation,H4_spherical_metric_proxy:scalar_channel_proxy_only
model_error,0.0008413600502535701,full_best,"{""press"": 0.00042929720366373657, ""rho"": 0.0004120628524105996}","{""phi"": 2.8493410866303748e-05, ""r"": 0.0002117350697517395, ""theta"": 0.0006011315970681607}",volume_proxy,1.781172030862164e-07,5,validation,H4_spherical_metric_proxy:scalar_channel_proxy_only
persistence_error,5115.828503417969,full_best,"{""Bcc1"": 22.135369777679443, ""Bcc2"": 1613.5077026367187, ""Bcc3"": 2187.892904663086, ""press"": 44.149251556396486, ""rho"": 30.66617794036865, ""vel1"": 98.02374420166015, ""vel2"": 701.7695953369141, ""vel3"": 417.6836868286133}","{""phi"": 47.992689514160155, ""r"": 2944.6854736328123, ""theta"": 2123.150262451172}",uniform,1.0,5,validation,H0_current_upstream
persistence_error,1.2489815682172776,full_best,"{""Bcc1"": 0.00540414301212877, ""Bcc2"": 0.39392277896404265, ""Bcc3"": 0.5341535411775112, ""press"": 0.01077862586826086, ""rho"": 0.007486859848722815, ""vel1"": 0.023931578174233435, ""vel2"": 0.1713304676115513, ""vel3"": 0.10197355635464192}","{""phi"": 0.011716965213418007, ""r"": 0.7189173519611358, ""theta"": 0.5183472320437431}",uniform,0.000244140625,5,validation,H1_unit_index
persistence_error,5115.828503417969,full_best,"{""Bcc1"": 22.135369777679443, ""Bcc2"": 1613.5077026367187, ""Bcc3"": 2187.892904663086, ""press"": 44.149251556396486, ""rho"": 30.66617794036865, ""vel1"": 98.02374420166015, ""vel2"": 701.7695953369141, ""vel3"": 417.6836868286133}","{""phi"": 47.992689514160155, ""r"": 2944.6854736328123, ""theta"": 2123.150262451172}",uniform,1.0,5,validation,H2_normalized_axis
persistence_error,390.8299865722656,full_best,"{""Bcc1"": 1.6153930187225343, ""Bcc2"": 148.41742782592775, ""Bcc3"": 149.81377058029176, ""press"": 3.4883546829223633, ""rho"": 1.927818274497986, ""vel1"": 8.322084522247314, ""vel2"": 49.19909038543701, ""vel3"": 28.046055603027344}","{""phi"": 1.2156691014766694, ""r"": 162.17066688537597, ""theta"": 227.44364700317382}",uniform,0.0814120904543574,5,validation,H3_stored_logr
persistence_error,4.781128656864166,full_best,"{""Bcc1"": 0.10898052138509229, ""Bcc2"": 0.1906615486368537, ""Bcc3"": 0.5132211878895759, ""press"": 0.21442907201126218, ""rho"": 0.09143351390957832, ""vel1"": 2.0640734393149613, ""vel2"": 0.40334623456001284, ""vel3"": 1.194983097910881}","{""phi"": 0.03500002869404852, ""r"": 1.7056069552898407, ""theta"": 3.040522015094757}",volume_proxy,0.004515559256331351,5,validation,H3_stored_logr
persistence_error,292.1021270751953,full_best,"{""Bcc1"": 1.2690479040145874, ""Bcc2"": 112.08452224731445, ""Bcc3"": 111.84453773498535, ""press"": 2.6576551675796507, ""rho"": 1.2665661334991456, ""vel1"": 6.759347057342529, ""vel2"": 36.71625070571899, ""vel3"": 19.504193210601805}","{""phi"": 1.2156691014766694, ""r"": 63.44279155731201, ""theta"": 227.44364700317382}",uniform,0.06213571755464409,5,validation,H3_stored_r
persistence_error,3.07696533203125,full_best,"{""Bcc1"": 0.07782585547538474, ""Bcc2"": 0.07977825875859708, ""Bcc3"": 0.29493356198072435, ""press"": 0.1300880167633295, ""rho"": 0.057892301492393015, ""vel1"": 1.438465753570199, ""vel2"": 0.21318024611100556, ""vel3"": 0.7848013132810593}","{""phi"": 0.03500002869404852, ""r"": 0.001443580724298954, ""theta"": 3.040522015094757}",volume_proxy,0.002877912826257892,5,validation,H3_stored_r
persistence_error,220.64785614013672,full_best,"{""Bcc1"": 0.037575891520828006, ""Bcc2"": 90.77579078674316, ""Bcc3"": 41.589691260666584, ""press"": 2.821079543232918, ""rho"": 0.0891893519088626, ""vel1"": 2.2229878902435303, ""vel2"": 27.54385838508606, ""vel3"": 55.567681963648646}","{""phi"": 100.19898537695408, ""r"": 63.44279155731201, ""theta"": 57.00608386993408}",uniform,0.12274695685918402,5,validation,H4_spherical_metric_proxy:all_channels_naive_proxy
persistence_error,0.004206262109801173,full_best,"{""Bcc1"": 6.092427556723123e-05, ""Bcc2"": 0.0007884111313614994, ""Bcc3"": 0.00184790046478156, ""press"": 0.00011054434107791167, ""rho"": 5.223283042141702e-05, ""vel1"": 0.00031234255075105464, ""vel2"": 0.0005058307928266004, ""vel3"": 0.0005280757759464905}","{""phi"": 0.00030946949464123464, ""r"": 0.001443580724298954, ""theta"": 0.0024532119510695337}",volume_proxy,1.551295073983851e-06,5,validation,H4_spherical_metric_proxy:all_channels_naive_proxy
persistence_error,2.91026885509491,full_best,"{""press"": 2.821079447865486, ""rho"": 0.0891893519088626}","{""phi"": 2.2570555989514105, ""r"": 0.2690374583005905, ""theta"": 0.384175731241703}",uniform,0.002276275487649939,5,validation,H4_spherical_metric_proxy:scalar_channel_proxy_only
persistence_error,0.00016277716713375412,full_best,"{""press"": 0.00011054433816752862, ""rho"": 5.223283042141702e-05}","{""phi"": 4.621072102963808e-05, ""r"": 4.453145475054043e-05, ""theta"": 7.20349940820597e-05}",volume_proxy,1.2454359157105276e-07,5,validation,H4_spherical_metric_proxy:scalar_channel_proxy_only
target_field,22876.496484375,full_best,"{""Bcc1"": 602.9452026367187, ""Bcc2"": 4909.2912109375, ""Bcc3"": 9556.38740234375, ""press"": 512.2883544921875, ""rho"": 341.003173828125, ""vel1"": 1433.3236083984375, ""vel2"": 3329.37509765625, ""vel3"": 2191.881982421875}","{""phi"": 28.87641487121582, ""r"": 10875.316015625, ""theta"": 11972.303125}",uniform,1.0,5,validation,H0_current_upstream
target_field,5.585082149505615,full_best,"{""Bcc1"": 0.14720341861248015, ""Bcc2"": 1.1985574245452881, ""Bcc3"": 2.3331023931503294, ""press"": 0.12507039904594422, ""rho"": 0.08325272798538208, ""vel1"": 0.3499325215816498, ""vel2"": 0.8128357172012329, ""vel3"": 0.5351274371147156}","{""phi"": 0.007049905974417925, ""r"": 2.655106449127197, ""theta"": 2.922925567626953}",uniform,0.000244140625,5,validation,H1_unit_index
target_field,22876.496484375,full_best,"{""Bcc1"": 602.9452026367187, ""Bcc2"": 4909.2912109375, ""Bcc3"": 9556.38740234375, ""press"": 512.2883544921875, ""rho"": 341.003173828125, ""vel1"": 1433.3236083984375, ""vel2"": 3329.37509765625, ""vel3"": 2191.881982421875}","{""phi"": 28.87641487121582, ""r"": 10875.316015625, ""theta"": 11972.303125}",uniform,1.0,5,validation,H2_normalized_axis
