bootstrap_samples,bootstrap_seed,ci95_high,ci95_low,ci_excludes_zero,delta_definition,higher_is_better,left_model,left_win_fraction,mean_paired_delta,median_paired_delta,metric,pair_count,right_model
10000,42,0.13502311796428385,0.08424325599128506,True,left_minus_right,True,3D CNN/U-Net,0.9523809523809523,0.10915052146789686,0.10178915131183286,residual_cosine,42,FNO
10000,42,1.2373600299832002,0.25028376558973925,True,left_minus_right,False,3D CNN/U-Net,0.2619047619047619,0.7174131026314159,0.21349540722137006,shell_absolute_error,42,FNO
10000,42,-0.009589459251564396,-0.1057986633696674,True,left_minus_right,False,3D CNN/U-Net,0.7380952380952381,-0.05919010594299364,-0.08562911672822791,radial_absolute_error,42,FNO
10000,42,-0.016563814736766908,-0.026617580881284995,True,left_minus_right,False,3D CNN/U-Net,0.9285714285714286,-0.021536597401794706,-0.02096817544473739,state_l2,42,Differential LocalNO
10000,42,-0.02901516830940304,-0.050843883611992165,True,left_minus_right,False,3D CNN/U-Net,0.8809523809523809,-0.040094298474139096,-0.04038317817703857,residual_l2,42,Differential LocalNO
10000,42,0.033455179669102636,0.017939858809654693,True,left_minus_right,True,3D CNN/U-Net,0.9523809523809523,0.02530425385126031,0.019250130624406336,residual_cosine,42,Differential LocalNO
10000,42,-0.2402397079350428,-2.9385630029700223,True,left_minus_right,False,3D CNN/U-Net,0.5238095238095238,-1.488546802008441,-0.09976505797063906,shell_absolute_error,42,Differential LocalNO
10000,42,0.02480559720319838,-0.06142772665022942,False,left_minus_right,False,3D CNN/U-Net,0.47619047619047616,-0.018193863883146623,0.0035625528164797138,radial_absolute_error,42,Differential LocalNO
10000,42,-0.015661165172600428,-0.023883558824758434,True,left_minus_right,False,3D CNN/U-Net,0.9285714285714286,-0.019677616168451918,-0.01903240023427999,state_l2,42,Index-space DISCO3D LocalNO
10000,42,-0.03164351657375878,-0.0502484435839766,True,left_minus_right,False,3D CNN/U-Net,0.9285714285714286,-0.04106046623167486,-0.04315105640359751,residual_l2,42,Index-space DISCO3D LocalNO
10000,42,0.018026797578943928,0.005321578000995075,True,left_minus_right,True,3D CNN/U-Net,0.6666666666666666,0.011550505358885122,0.007222078587127145,residual_cosine,42,Index-space DISCO3D LocalNO
10000,42,-1.8615212566879005,-36.22741246703464,True,left_minus_right,False,3D CNN/U-Net,0.7142857142857143,-14.490121359505245,-0.5142917326842644,shell_absolute_error,42,Index-space DISCO3D LocalNO
10000,42,-0.07279683364455963,-0.24912554241279405,True,left_minus_right,False,3D CNN/U-Net,0.7142857142857143,-0.15651684937254445,-0.058687550076041,radial_absolute_error,42,Index-space DISCO3D LocalNO
10000,42,-0.020497854858806386,-0.03248943795276711,True,left_minus_right,False,3D CNN/U-Net,0.9285714285714286,-0.026375213296376036,-0.027241400622670192,state_l2,42,Anisotropic spherical DISCO3D LocalNO
10000,42,-0.050269736003226935,-0.07596258678036304,True,left_minus_right,False,3D CNN/U-Net,0.9523809523809523,-0.0631633436328913,-0.06430444798689722,residual_l2,42,Anisotropic spherical DISCO3D LocalNO
10000,42,0.026661528067999343,0.010674358343046258,True,left_minus_right,True,3D CNN/U-Net,0.7619047619047619,0.018338661126406024,0.01065484494306862,residual_cosine,42,Anisotropic spherical DISCO3D LocalNO
10000,42,-4.171911019751537,-35.984670076278746,True,left_minus_right,False,3D CNN/U-Net,0.6428571428571429,-17.99368078779598,-0.3419510778674633,shell_absolute_error,42,Anisotropic spherical DISCO3D LocalNO
10000,42,-0.02727605959071839,-0.22027296853585446,True,left_minus_right,False,3D CNN/U-Net,0.6666666666666666,-0.11391536089909512,-0.035002030810743774,radial_absolute_error,42,Anisotropic spherical DISCO3D LocalNO
