channel,dynamic_span_ratio,global_std_ratio,global_variance_ratio,high_k_ratio,model,radial_profile_variance_ratio,reference_domain,severe_categories,shell_radial_variance_ratio,shell_std_ratio,step,total_variation_ratio
vel3,1.1255687824015872,0.9693937095676869,0.939724164149401,1.2538795578472777,persistence,0.5973509868045236,target_canonical_oracle,"{""dynamic_span"":false,""global_variance"":false,""high_k_energy"":false,""shell_radial_variance"":false}",0.5973509868045236,"[null,515.9230443849698,1.9595282971551997,1.0921187850114664,0.959121401301321,0.8682278649791322,0.8709590410621303,0.8652465387348863]",3,1.4489343874285325
vel3,1.1255682139035394,0.9494327717990206,0.9014225881659712,1.2224525885264494,persistence,0.5658798711458076,target_canonical_oracle,"{""dynamic_span"":false,""global_variance"":false,""high_k_energy"":false,""shell_radial_variance"":false}",0.5658798711458076,"[null,null,3.2784919729665645,1.1079691808122147,0.9115700523609968,0.8058164384437047,0.8022854555548025,0.7973098307170918]",5,1.6117217965363289
vel3,1.125566741902334,0.9607099871864057,0.922963679479704,1.2569549246478724,persistence,0.6025454222984541,target_canonical_oracle,"{""dynamic_span"":false,""global_variance"":false,""high_k_energy"":false,""shell_radial_variance"":false}",0.6025454222984541,"[null,null,3.8208958687924484,1.1432630013658234,0.8625695188316828,0.6807117053411594,0.6619988072243005,0.6752390495065107]",10,1.630879015770072
vel3,1.1255638791248082,0.9611790913612877,0.9238652456701109,1.1716961301184146,persistence,0.613447852069558,target_canonical_oracle,"{""dynamic_span"":false,""global_variance"":false,""high_k_energy"":false,""shell_radial_variance"":false}",0.613447852069558,"[5.724210684821419,null,3.927983709044186,1.1866211630614907,0.9060623354255004,0.6485505308601922,0.5089795913319459,0.45685025176513194]",19,1.5039133721903934
Bcc1,0.40962248043813543,0.4134258263842753,0.17092091392152092,0.09343144536868041,fno_plain,481.19329551887336,target_canonical_oracle,"{""dynamic_span"":true,""global_variance"":true,""high_k_energy"":true,""shell_radial_variance"":false}",1.9939137627608383,"[0.3234972785582843,0.3843064226405763,0.4433703332056029,1.503693326863408,1.3140524739401134,2.6408272952577754,1.6793428013886342,4.919710742265366]",1,1.1296917179041284
Bcc1,0.09395973775227079,0.10840642507982101,0.011751952998586845,0.0039019912837174424,fno_plain,28.82832577954423,target_canonical_oracle,"{""dynamic_span"":true,""global_variance"":true,""high_k_energy"":true,""shell_radial_variance"":false}",1.6037102107844736,"[0.08190903998324975,0.14403467347949875,0.24116634545966964,1.106063146562141,1.4085612295480814,2.7336096076395626,1.4208668343585233,5.1821443789720405]",3,0.30116085868933967
Bcc1,0.07015927895598792,0.08738318051623374,0.007635820237132692,0.00196328546314448,fno_plain,17.627513647662944,target_canonical_oracle,"{""dynamic_span"":true,""global_variance"":true,""high_k_energy"":true,""shell_radial_variance"":false}",1.3413414650321387,"[0.06932339572278144,0.11284747024651452,0.15755914233875906,0.8681339270727559,1.388893953737834,2.8637049344557406,1.5091274537000643,5.1113537454684765]",5,0.22376299946079162
Bcc1,0.0628513099769247,0.06604150561014807,0.004361480463255221,0.0003503729394455715,fno_plain,12.692606179881553,target_canonical_oracle,"{""dynamic_span"":true,""global_variance"":true,""high_k_energy"":true,""shell_radial_variance"":true}",0.3773908342717322,"[0.054215062291604096,0.08518834758613722,0.09364417798024696,0.5072594568844935,0.7053151862427981,1.8003550733673876,1.9578696460039589,4.007538869157711]",10,0.15104704998249904
Bcc1,0.038133428555583486,0.03601297942633483,0.001296934687161616,0.00033176884346642667,fno_plain,4.637793825803402,target_canonical_oracle,"{""dynamic_span"":true,""global_variance"":true,""high_k_energy"":true,""shell_radial_variance"":true}",0.15412260272994477,"[0.028415229712982566,0.03935214947503764,0.06751041588391336,0.4104905168592606,0.5629227605812213,0.3738218038430966,1.0241967834609846,3.404366348240493]",19,0.09621323548061547
Bcc2,0.7783744942431983,0.8073374890964764,0.6517938213006031,1.9458267393844684,fno_plain,0.4536497853522582,target_canonical_oracle,"{""dynamic_span"":false,""global_variance"":false,""high_k_energy"":false,""shell_radial_variance"":true}",0.4536497853522582,"[0.8587994552015042,1.1524393000450013,1.3518980396304037,1.1347123875082998,0.8713074061697342,1.2816879139656425,1.620578232898911,4.882520721220788]",1,1.9125166983367676
