channel,domain,dynamic_span_q99_q01,element_count,evaluation_bounds_clamp_occupancy,exact_zero_occupancy,finite_count,gradient_energy,high_k_energy,inverse_clamp_occupancy,low_k_energy,maximum,mean,mid_k_energy,minimum,near_zero_occupancy,parseval_relative_error,q001,q01,q50,q99,q999,radial_profile_variance,rms,role,saturation_occupancy_abs_ge_0.90_gamma,shell_variance,sign_balance,snapshot,stage,std,total_variation,variance
rho,canonical_normalized,4.343751762655877,262144,,0.0,262144,0.051150816303359416,2018.2015814431875,0.0,356929.1490148392,2.986509701136842,0.525502217679762,4637.122475878668,-1.9239278051576711,0.0,0.0,-1.9111334823490056,-1.7511655170224913,0.492230104741349,2.5925862456333864,2.9514710982717425,0.018519008236321178,1.2896190429884427,control_input,0.0,"[0.03465873326170576,0.02947381573786336,0.9368819764570437,1.3924202264606458,1.4773799866067785,1.7425562977363287,2.66358108490241,2.7416920647942593]",0.3344879150390625,91,T3_forward_softclip_canonical_normalized,1.1776946528077976,0.05106427530059129,1.3869646952520789
rho,canonical_normalized,4.343751762655877,262144,,0.0,262144,0.051150816303359416,2018.2015814431875,0.0,356929.1490148392,2.986509701136842,0.525502217679762,4637.122475878668,-1.9239278051576711,0.0,0.0,-1.9111334823490056,-1.7511655170224913,0.492230104741349,2.5925862456333864,2.9514710982717425,0.018519008236321178,1.2896190429884427,control_input,0.0,"[0.03465873326170576,0.02947381573786336,0.9368819764570437,1.3924202264606458,1.4773799866067785,1.7425562977363287,2.66358108490241,2.7416920647942593]",0.3344879150390625,91,T4_decode_input_no_forward_hard_clamp,1.1776946528077976,0.05106427530059129,1.3869646952520789
rho,robust_z,4.578434125782444,262144,,0.0,262144,0.05537641128090129,2129.1617852604463,0.0,382874.9019910971,3.277876668068199,0.5478023254828235,5052.096024648703,-1.9942595715092302,0.0,1.4922892370976278e-16,-1.9800098169170628,-1.8035955459741042,0.493338869530975,2.77483857980834,3.2314762210255226,0.020244727127917157,1.3371737187207486,control_input,,"[0.03630428422874586,0.029949537463342873,1.0619886712579336,1.5050636496406196,1.5557311734590338,1.8317382797899082,2.8560100719838637,2.9457594851746274]",0.3344879150390625,91,T5_inverse_input_clamp_then_inverse_softclip,1.2198139883740828,0.05366570626822348,1.4879461662330868
rho,nonlinear_representation,5.294936263564191,262144,,0.0,262144,0.07406488299152829,2847.7128590984753,0.0,512087.80346052675,0.7567935570932169,-2.400523822964326,6757.081079694721,-5.340405746089672,0.0,3.3472390371439435e-16,-5.32392597587477,-5.119903750160979,-2.4635105385172533,0.17503251340321135,0.70313167118591,0.027076932420172513,2.784351621008965,control_input,,"[0.04855628057682766,0.04005692923329465,1.4203893834155892,2.012993629001751,2.080760465751889,2.449914651846229,3.8198584363133965,3.9398965469958207]",-0.96484375,91,T6_inverse_robust_normalization,1.4107088022678491,0.062064122017009234,1.9900993247959893
rho,physical,1.4963412804190739,262144,,0.0,262144,0.054030108952789264,619.4146538736177,0.0,28091.44533489807,5.712069511413574,0.11826238436652328,6344.763249546082,4.556611656880705e-06,0.0,2.0755465006910487e-16,4.733228252007393e-06,7.577460564789362e-06,0.0034394438844174147,1.4963488578796387,5.04814338684082,0.015266662364836266,0.38433394550578837,control_input,,"[4.925295019685286e-05,4.30198686967412e-06,0.7411831637398181,0.11525965032959763,0.025708315521698933,0.014876946783683719,0.06475721389962978,0.0455905746226645]",1.0,91,T7_inverse_nonlinear_canonical_oracle,0.3656864642176287,0.02059473376315653,0.133726590111991
rho,physical,1.2092692179267033,262144,0.013427734375,0.0,262144,0.00886288383460385,124.587172701969,,12259.403313830757,1.209276795387268,0.10065565850209804,916.1011718432501,4.556611656880705e-06,0.0,0.0,4.733228252007393e-06,7.577460564789362e-06,0.0034394438844174147,1.209276795387268,1.209276795387268,0.006598589146734838,0.2467131631475299,control_input,,"[4.925295019685286e-05,4.30198686967412e-06,0.1254374826407365,0.09480634391162751,0.025708315521698933,0.014876946783683719,0.06475721389962978,0.0455905746226645]",1.0,91,T8_evaluation_bounds_clamp_then_decode,0.2252461393271119,0.012176573801723415,0.05073582328176871
press,physical,0.04100708892825937,262144,,0.0,262144,3.906782464847319e-05,1.7670797509249287,,14.129563469920015,0.2152533084154129,0.0020155088915657913,3.6822036766102304,1.265807014760867e-07,0.0,1.8145673733534722e-16,1.3171728596717003e-07,2.2532161381150217e-07,0.00017274417768931016,0.04100731424987318,0.10308435452729464,1.100728077044944e-05,0.008874099943982687,control_input,,"[0.00024312829755367352,1.1381324843125e-06,0.0002868489877198182,9.640418106320676e-06,2.780684758170945e-07,2.8115869294207712e-08,9.42485398054476e-08,5.8741401460021934e-08]",1.0,91,T0_raw_physical,0.00864218570292335,0.00044037038242926386,7.468737372381276e-05
press,nonlinear_representation,5.259865772504256,262144,,0.0,262144,0.04978136712359216,6921.788684542533,,388202.6982808952,-0.6670501645714297,-3.927160528373908,10825.17138520045,-6.897289540450504,0.0,0.0,-6.880027634446839,-6.647004445392643,-3.7625963302111027,-1.3871386728883865,-0.9868072436847812,0.7967835962612412,4.119607368100705,control_input,,"[0.10028892162482199,0.07292235018204812,0.7782142827174275,0.7690955404368836,0.5186312764735957,0.5711001537296387,1.4987526674004057,1.8948605237538745]",-1.0,91,T1_forward_nonlinear,1.2444175552006578,0.06742048287990272,1.548575051691582
press,robust_z,4.347277527899618,262144,,0.0,262144,0.03400573990582832,4728.286089557966,,265181.94961794565,2.8391047800780025,0.14462451460851045,7394.693714361353,-2.310186248179416,0.0,2.0990489074543604e-16,-2.295919287898656,-2.1033256900638375,0.28063677642510304,2.243951837835781,2.5748256473893236,0.5442842834834405,1.0386291957362208,control_input,,"[0.0685075396933697,0.04981338635108028,0.5315995525672901,0.5253705235916375,0.354277942005949,0.3901195248353255,1.02380059720439,1.2943825742796569]",0.171875,91,T2_robust_normalized_unclipped,1.0285107466672003,0.05572300944942125,1.0578343560099217
press,canonical_normalized,4.166073139049235,262144,,0.0,262144,0.03207264412599484,4425.79682347311,0.0,253560.6074936215,2.644610635158295,0.1436587141250686,6898.446110545945,-2.2024118798850676,0.0,0.0,-2.1900564803255733,-2.0212021091125854,0.280432306177196,2.1448710299366502,2.4276020589336085,0.5214210929485,1.015427663979998,control_input,0.0,"[0.058531534793236376,0.04723924208080857,0.4869524452000983,0.5081662285924962,0.34856664544200977,0.38019492759222895,0.9826595094834624,1.2216809830797435]",0.171875,91,T3_forward_softclip_canonical_normalized,1.005214163565062,0.05413701177019706,1.0104555146318073
press,canonical_normalized,4.166073139049235,262144,,0.0,262144,0.03207264412599484,4425.79682347311,0.0,253560.6074936215,2.644610635158295,0.1436587141250686,6898.446110545945,-2.2024118798850676,0.0,0.0,-2.1900564803255733,-2.0212021091125854,0.280432306177196,2.1448710299366502,2.4276020589336085,0.5214210929485,1.015427663979998,control_input,0.0,"[0.058531534793236376,0.04723924208080857,0.4869524452000983,0.5081662285924962,0.34856664544200977,0.38019492759222895,0.9826595094834624,1.2216809830797435]",0.171875,91,T4_decode_input_no_forward_hard_clamp,1.005214163565062,0.05413701177019706,1.0104555146318073
press,robust_z,4.347277527899618,262144,,0.0,262144,0.03400573990582832,4728.286089557966,0.0,265181.94961794565,2.839104780078002,0.14462451460851045,7394.693714361354,-2.3101862481794155,0.0,2.0990489074543604e-16,-2.2959192878986565,-2.1033256900638375,0.2806367764251031,2.243951837835781,2.574825647389323,0.5442842834834405,1.0386291957362208,control_input,,"[0.0685075396933697,0.04981338635108027,0.5315995525672901,0.5253705235916375,0.354277942005949,0.3901195248353255,1.02380059720439,1.2943825742796569]",0.171875,91,T5_inverse_input_clamp_then_inverse_softclip,1.0285107466672003,0.05572300944942125,1.0578343560099217
