split,batch,source_index,target_index,case,component,batch_size,epoch,finite,gradient_nonzero,gradient_norm,roi_ramp,weighted_value
train,1,12,13,isolated_Bcc3,roi,1,1,True,False,0.0,0.0026666666381061077,0.0
train,1,12,13,isolated_Bcc3,bounds,1,1,True,True,1.0806551387076979e-07,0.0026666666381061077,1.530688820139403e-08
train,1,12,13,isolated_Bcc3,envelope,1,1,True,True,0.0001871437270892784,0.0026666666381061077,0.04590450972318649
train,1,12,13,isolated_Bcc3,dissipation,1,1,True,False,0.0,0.0026666666381061077,0.0
train,1,12,13,isolated_Bcc3,total,1,1,True,True,0.10117433965206146,0.0026666666381061077,6.647469997406006
train,1,12,13,isolated_rho,base,1,1,True,True,0.0022552809678018093,0.0026666666381061077,0.33333587646484375
train,1,12,13,isolated_rho,h1,1,1,True,True,0.10001488775014877,0.0026666666381061077,6.201562404632568
train,1,12,13,isolated_rho,roi,1,1,True,False,0.0,0.0026666666381061077,0.0
train,1,12,13,isolated_rho,bounds,1,1,True,True,1.397256346535869e-05,0.0026666666381061077,0.00025589411961846054
train,1,12,13,isolated_rho,envelope,1,1,True,True,0.0002142122684745118,0.0026666666381061077,0.06014467775821686
train,1,12,13,isolated_rho,dissipation,1,1,True,False,0.0,0.0026666666381061077,0.0
train,1,12,13,isolated_rho,total,1,1,True,True,0.10101795941591263,0.0026666666381061077,6.595299243927002
train,1,12,13,isolated_press,base,1,1,True,True,0.0022552809678018093,0.0026666666381061077,0.33333587646484375
train,1,12,13,isolated_press,h1,1,1,True,True,0.10001488775014877,0.0026666666381061077,6.201562404632568
train,1,12,13,isolated_press,roi,1,1,True,False,0.0,0.0026666666381061077,0.0
train,1,12,13,isolated_press,bounds,1,1,True,True,1.3384425074036699e-05,0.0026666666381061077,0.00023480609524995089
train,1,12,13,isolated_press,envelope,1,1,True,True,0.00020210116053931415,0.0026666666381061077,0.05353611707687378
train,1,12,13,isolated_press,dissipation,1,1,True,False,0.0,0.0026666666381061077,0.0
train,1,12,13,isolated_press,total,1,1,True,True,0.1009993925690651,0.0026666666381061077,6.5886688232421875
train,1,12,13,isolated_vel1,base,1,1,True,True,0.0022552809678018093,0.0026666666381061077,0.33333587646484375
train,1,12,13,isolated_vel1,h1,1,1,True,True,0.10001488775014877,0.0026666666381061077,6.201562404632568
train,1,12,13,isolated_vel1,roi,1,1,True,True,1.88032936421223e-05,0.0026666666381061077,0.0024861448910087347
train,1,12,13,isolated_vel1,bounds,1,1,True,True,1.0806551387076979e-07,0.0026666666381061077,1.530688820139403e-08
train,1,12,13,isolated_vel1,envelope,1,1,True,True,0.0001871437270892784,0.0026666666381061077,0.04590450972318649
train,1,12,13,isolated_vel1,dissipation,1,1,True,False,0.0,0.0026666666381061077,0.0
train,1,12,13,isolated_vel1,total,1,1,True,True,0.10098028928041458,0.0026666666381061077,6.58328914642334
train,1,12,13,isolated_vel3,base,1,1,True,True,0.0022552809678018093,0.0026666666381061077,0.33333587646484375
train,1,12,13,isolated_vel3,h1,1,1,True,True,0.10001488775014877,0.0026666666381061077,6.201562404632568
