clip_fraction,cumulative_runtime_seconds,differential_gradient_norm_mean,differential_weight_norm,disco_gradient_norm_mean,disco_gradient_norm_min,disco_weight_norm,epoch,epoch_runtime_seconds,gpu_peak_allocated_mib,gpu_peak_reserved_mib,gradient_norm_after_clip_mean,gradient_norm_before_clip_max,gradient_norm_before_clip_mean,learning_rate,learning_rate_start,microbatches_completed,microbatches_this_epoch,nonfinite_count,optimizer_updates,optimizer_updates_this_epoch,spectral_gradient_norm_mean,spectral_weight_norm,train_loss_max,train_loss_mean,train_loss_median,train_loss_min
1.0,44161.26667629399,37.523213412080494,10.03404426574707,60.020087196713405,2.0157036781311035,16.087919235229492,144,299.76706388200546,1608.5966796875,1992.0,0.9999999361378806,807.2793579101562,110.90518506368001,0.0009907561203494997,0.000991015047714348,24192,168,0,6048,42,18.480100745246524,22.184200286865234,239.0736846923828,14.048491480538534,3.0691624879837036,0.05936696380376816
1.0,44461.36144511999,38.23924721990313,10.043877601623535,52.43689499298731,1.875536561012268,16.07851791381836,145,300.0947688259985,1608.5966796875,1992.0,0.9999999290420896,668.849609375,94.21967203276498,0.0009904871000969212,0.0009907497595267615,24360,168,0,6090,42,14.446668816464287,22.011539459228516,203.0497589111328,13.49606790220631,2.8630974292755127,0.0640941634774208
1.0,44761.92539222399,43.645320338862284,10.051724433898926,83.04655867815018,1.6846016645431519,16.06696128845215,146,300.56394710399763,1608.5966796875,1992.0,0.9999999304612478,2612.545166015625,137.38248723461516,0.000990214258826508,0.0009904806482730697,24528,168,0,6132,42,26.180368369533902,22.13335609436035,424.54718017578125,14.312720214371526,2.967730402946472,0.05902189761400223
1.0,45062.52418881099,36.6466330651726,10.069841384887695,61.14727915610586,0.6505789160728455,16.054288864135742,147,300.59879658700083,1608.5966796875,1992.0,0.9999999120121911,930.7154541015625,108.5316371122996,0.0009899375986659313,0.000990207716051856,24696,168,0,6174,42,17.316867172008468,22.07268714904785,211.68357849121094,13.377586236223578,2.9198840856552124,0.05675363540649414
1.0,45363.76011826799,39.645944862138656,10.075799942016602,62.441553592681885,1.510252594947815,16.040061950683594,148,301.23592945699784,1608.5966796875,1992.0,0.9999999120121911,1540.025390625,109.13517324129741,0.0009896571217726427,0.0009899309649915003,24864,168,0,6216,42,17.612535109122593,22.164798736572266,303.1348876953125,13.22106389000657,3.026707172393799,0.06133853644132614
1.0,45665.671020713984,36.31054017089662,10.080753326416016,57.24268514769418,1.7525124549865723,16.03239631652832,149,301.91090244599764,1608.5966796875,1992.0,0.999999946071988,846.4512939453125,103.25929653076898,0.0009893728303338569,0.0009896503972501632,25032,168,0,6258,42,17.705672933941795,22.36362075805664,221.44627380371094,13.251928728472974,3.056381940841675,0.058130502700805664
1.0,45967.63579249098,43.31607993656681,10.087164878845215,69.31279598247437,0.7840132713317871,16.022300720214844,150,301.96477177699853,1608.5966796875,1992.0,0.9999999219462985,1230.508056640625,122.37435917343412,0.000989084726566536,0.0009893660150157686,25200,168,0,6300,42,19.26908320472354,22.292587280273438,273.685546875,14.31952662945592,2.879932999610901,0.049218807369470596
1.0,46269.75390725098,36.70491175424485,10.10977840423584,61.98367180426916,1.428913950920105,16.01377296447754,151,302.11811476,1608.5966796875,1992.0,0.9999999375570388,1253.7049560546875,117.41159585544041,0.000988792812717371,0.000989077820505986,25368,168,0,6342,42,18.23428578887667,22.171533584594727,245.78964233398438,13.411978023237593,3.0580508708953857,0.05140672251582146
1.0,46573.808285452986,36.02810915878841,10.126642227172852,50.98035640659786,1.8157938718795776,16.00128746032715,152,304.05437820200314,1608.5966796875,1992.0,0.9999999191079821,904.2564086914062,89.48272739137921,0.0009884970910627646,0.000988785815968214,25536,168,0,6384,42,14.356601519244057,22.493488311767578,271.97320556640625,13.13412415089884,2.826896905899048,0.05751314014196396
1.0,46880.47553048599,38.975025015217916,10.160266876220703,57.39866327671778,1.347182273864746,15.988966941833496,153,306.66724503300065,1608.5966796875,1992.0,0.999999924784615,1193.5716552734375,104.5597482579095,0.000988197563908814,0.0009884900036795628,25704,168,0,6426,42,17.276921320529212,22.387907028198242,260.3987731933594,13.149813943498192,2.8373281955718994,0.06614731252193451
1.0,47186.94080082399,34.18605459304083,10.143505096435547,51.10581691492172,2.2680487632751465,15.972806930541992,154,306.4652703380052,1608.5966796875,1992.0,0.9999999332995642,743.3792724609375,94.63587690535046,0.0009878942335912917,0.000988190385946836,25872,168,0,6468,42,14.578794560262136,22.133710861206055,227.17501831054688,12.925745889367093,2.732853889465332,0.053408049046993256
1.0,47493.61045605999,43.55484661743755,10.164225578308105,65.00400031748272,1.3296315670013428,15.966758728027344,155,306.66965523600084,1608.5966796875,1992.0,0.9999999276229313,1218.462158203125,115.69874278136662,0.0009875871024756287,0.0009878869651065133,26040,168,0,6510,42,18.26059616605441,22.05045509338379,260.6012268066406,13.328121637748112,2.597983479499817,0.06559155881404877
1.0,47799.994568908,40.07292942064149,10.166358947753906,73.13323116018658,1.1625412702560425,15.956274032592773,156,306.3841128480053,1608.5966796875,1992.0,0.9999999290420896,2521.711181640625,122.16189861865271,0.0009872761729568954,0.0009875797435247304,26208,168,0,6552,42,21.993344167868297,22.12604522705078,428.58770751953125,13.392060847952962,2.583741784095764,0.05467241257429123
1.0,48106.502773369,36.82782052244459,10.174198150634766,61.65095160972504,1.2804762125015259,15.945420265197754,157,306.5082044610026,1608.5966796875,1992.0,0.999999938976197,1399.5966796875,108.719440136637,0.0009869614474597819,0.0009872687235972636,26376,168,0,6594,42,18.305533025945937,22.15906524658203,260.9156188964844,12.709091653005176,2.535055994987488,0.05466081202030182
1.0,48412.924728669,43.43061674989405,10.17885684967041,65.37248474359512,1.4412564039230347,15.93548583984375,158,306.42195530000026,1608.5966796875,1992.0,0.9999999318804059,895.7117309570312,120.63159361339751,0.0009866429284385815,0.0009869539077495089,26544,168,0,6636,42,19.10925217043786,21.945514678955078,202.52699279785156,13.47144743620551,2.867396354675293,0.05868717283010483
1.0,48719.441827655995,44.43635474854992,10.1972074508667,74.76979903805824,0.8758495450019836,15.92061710357666,159,306.5170989869948,1608.5966796875,1992.0,0.9999999233654567,2172.011474609375,133.64879245133628,0.0009863206183771693,0.000986635298436463,26712,168,0,6678,42,21.972708178418024,22.11798095703125,343.5797424316406,13.909111791356866,2.7169189453125,0.05571278557181358
1.0,49025.941508451,34.68697754612991,10.216124534606934,52.73442917210715,0.8993961811065674,15.911568641662598,160,306.49968079500104,1608.5966796875,1992.0,0.9999999148505074,1201.7760009765625,95.50047575575965,0.000985994519788984,0.0009863128981427059,26880,168,0,6720,42,15.217526654402414,22.284425735473633,257.29705810546875,12.618332279203017,2.6322593688964844,0.054984770715236664
1.0,49332.314549047995,35.914649228964535,10.240687370300293,56.26825441774868,0.9009460806846619,15.901168823242188,161,306.3730405969982,1608.5966796875,1992.0,0.9999999375570388,1212.4525146484375,101.78981707493465,0.0009856646352170075,0.0009859867093823793,27048,168,0,6762,42,17.217620611190796,22.019248962402344,225.11732482910156,12.441792595133718,2.7838873863220215,0.05877235531806946
1.0,49638.88997788699,47.03554722240993,10.250120162963867,76.66029468604496,1.9756619930267334,15.887797355651855,162,306.5754288389944,1608.5966796875,1992.0,0.9999999262037731,1518.0491943359375,133.38976143655321,0.0009853309672337464,0.0009856567346991688,27216,168,0,6804,42,21.992223594869888,21.858470916748047,261.0587158203125,13.541360572468312,2.584990620613098,0.0520031563937664
1.0,49945.40563591299,36.322705703122274,10.273154258728027,62.03047215938568,2.669217824935913,15.876208305358887,163,306.5156580260009,1608.5966796875,1992.0,0.9999999560060955,1543.5814208984375,114.24041023708526,0.0009849935184412105,0.0009853229766662835,27384,168,0,6846,42,18.436934119179135,21.919790267944336,305.5107727050781,13.121616839497749,3.069088935852051,0.051442623138427734
1.0,50251.84365341899,38.68126797108423,10.277115821838379,63.46414923667908,4.441965103149414,15.862120628356934,164,306.4380175059996,1608.5966796875,1992.0,0.9999999318804059,1003.5673828125,119.17515434537616,0.0009846522914708934,0.0009849854378864355,27552,168,0,6888,42,17.81301917348589,21.820009231567383,207.30001831054688,12.728986499454116,2.8480218648910522,0.05243884399533272
1.0,50558.361450403994,38.04778679495766,10.27989387512207,67.51779025225412,1.3923126459121704,15.851935386657715,165,306.5177969850047,1608.5966796875,1992.0,0.999999924784615,1790.0377197265625,113.81032426016671,0.0009843072889837512,0.00098464412099182,27720,168,0,6930,42,20.8306899808702,21.838258743286133,282.6341857910156,12.679881521190206,2.706200122833252,0.05629498511552811
1.0,50864.799632174996,40.0435183126302,10.279327392578125,57.29532094938414,0.8677838444709778,15.84095573425293,166,306.43818177100184,1608.5966796875,1992.0,0.9999999304612478,715.5608520507812,99.63160829884666,0.000983958513670183,0.0009842990286440946,27888,168,0,6972,42,15.501130159412112,21.779541015625,213.53860473632812,12.782225719919163,2.9252947568893433,0.05127272754907608
1.0,51171.238380557,40.658527124495734,10.314902305603027,66.24530835094906,1.6270805597305298,15.826945304870605,167,306.4387483820028,1608.5966796875,1992.0,0.9999999205271403,1797.8382568359375,119.50147901262555,0.0009836059682500086,0.0009839501635343587,28056,168,0,7014,42,19.270889066514513,21.673675537109375,312.421142578125,13.1951354730963,2.909745454788208,0.057743001729249954
1.0,51477.679521104,46.278647661209106,10.346986770629883,70.41776637236278,1.5416486263275146,15.812419891357422,168,306.44114054700185,1608.5966796875,1992.0,0.9999999276229313,1329.4168701171875,131.9785928328832,0.000983249655472448,0.000983597528383133,28224,168,0,7056,42,20.685622063421068,21.756837844848633,241.32559204101562,14.362414739449465,2.853448748588562,0.052198514342308044
1.0,51784.223294366006,34.69106493322622,10.362837791442871,54.20391695981934,0.7865895628929138,15.80213737487793,169,306.54377326200483,1608.5966796875,1992.0,0.9999999077547164,1192.62548828125,94.34494104555675,0.0009828895781160997,0.0009832411259403367,28392,168,0,7098,42,15.346514971483321,21.949365615844727,212.37591552734375,12.376655592339201,2.6659305095672607,0.05134300887584686
1.0,52090.690397476006,40.164545898636185,10.371753692626953,70.10361098249753,0.6795704960823059,15.791172981262207,170,306.4671031100006,1608.5966796875,1992.0,0.9999999105930328,2104.374267578125,122.31258426393781,0.0009825257389889195,0.0009828809589852677,28560,168,0,7140,42,20.898766545312746,21.886171340942383,357.0623779296875,13.231006826717584,2.584365487098694,0.04654236510396004
1.0,52397.10656350801,39.03440342062996,10.365702629089355,68.14274572190784,1.957216739654541,15.785482406616211,171,306.41616603200237,1608.5966796875,1992.0,0.9999999347187224,1873.4273681640625,123.95791652089073,0.0009821581409281978,0.0009825170303265805,28728,168,0,7182,42,21.486948226179397,21.79308319091797,306.1226806640625,12.76735686335624,2.4922258853912354,0.04989474266767502
1.0,52703.60317722101,37.522708895660585,10.369357109069824,49.880288538478666,1.6725432872772217,15.774296760559082,172,306.49661371300317,1608.5966796875,1992.0,0.9999999347187224,654.3221435546875,92.84858768894559,0.0009817867868005385,0.0009821493428022637,28896,168,0,7224,42,14.482692380746206,21.77134895324707,201.82962036132812,12.5299231606713,2.6009005308151245,0.05531858280301094
