clipping_fraction,cumulative_runtime_seconds,epoch,epoch_runtime_seconds,gpu_peak_allocated_mib,gpu_peak_reserved_mib,gradient_norm_after_clip_mean,gradient_norm_before_clip_max,gradient_norm_before_clip_mean,learning_rate,learning_rate_start,microbatches_completed,microbatches_this_epoch,model,nonfinite_count,optimizer_updates,optimizer_updates_this_epoch,train_loss_max,train_loss_mean,train_loss_median,train_loss_min
1.0,927.313610200998,80,11.585366604000228,515.2626953125,706.0,0.9999999290420896,405.3129577636719,80.45450485320319,0.0009999513107426476,0.0009999684666249463,13440,168,cnn,0,3360,42,1206.510009765625,30.761690485512926,3.7943373918533325,0.10344494879245758
1.0,938.8558619949977,81,11.54225179399964,515.2626953125,706.0,0.9999999162696657,1560.90380859375,120.22820245084309,0.0009999298879706019,0.0009999508459389934,13608,168,cnn,0,3402,42,1265.9840087890625,29.701486080840585,3.755822539329529,0.09003788977861404
1.0,950.4715433619981,82,11.615681367000434,515.2626953125,706.0,0.9999999205271403,416.6927490234375,75.21384000778198,0.000999904570543965,0.0009999293304350147,13776,168,cnn,0,3444,42,1160.529052734375,28.675694428118213,3.6638115644454956,0.09156648814678192
1.0,962.0453320019983,83,11.573788640000203,515.2626953125,706.0,0.9999999432336717,573.6722412109375,76.13172088918232,0.000999875358660167,0.0009999039202807922,13944,168,cnn,0,3486,42,1138.4117431640625,28.412212538710307,3.688450336456299,0.11572794616222382
1.0,973.593332730999,84,11.548000729000705,515.2626953125,706.0,0.9999999276229313,545.6696166992188,66.4927038408461,0.0009998422525470084,0.00099987461567448,14112,168,cnn,0,3528,42,1091.73095703125,26.92184514676531,3.871431350708008,0.10920518636703491
1.0,985.2166313759994,85,11.623298645000432,515.2626953125,706.0,0.999999924784615,1159.12451171875,108.62004752386184,0.000999805252462657,0.0009998414168446007,14280,168,cnn,0,3570,42,1208.6856689453125,27.965710331818887,3.771211624145508,0.12532900273799896
1.0,996.7952987309995,86,11.578667355000107,515.2626953125,706.0,0.9999999332995642,593.4509887695312,73.55430215880985,0.000999764358695647,0.0009998043240500459,14448,168,cnn,0,3612,42,1056.4296875,25.806795982200477,3.36196231842041,0.11355198174715042
1.0,1008.4186661419994,87,11.62336741099989,515.2626953125,706.0,0.9999999361378806,568.5938110351562,78.15036014715831,0.0009997195715648764,0.0009997633375800725,14616,168,cnn,0,3654,42,1056.66015625,25.2088047349382,3.945605516433716,0.11025992035865784
1.0,1020.0107783629996,88,11.592112221000207,515.2626953125,706.0,0.9999999375570388,2302.6611328125,111.29536383492606,0.000999670891419604,0.000999718457754301,14784,168,cnn,0,3696,42,997.6875,23.955258626756923,3.4519448280334473,0.08371765911579132
1.0,1031.524952750999,89,11.514174387999446,515.2626953125,706.0,0.9999999105930328,2559.80859375,190.04902539934432,0.0009996183186394474,0.0009996696849227135,14952,168,cnn,0,3738,42,1165.63916015625,26.745173336405838,3.7176082134246826,0.06962829828262329
