alpha,channel,decoder_derivative_finite,decoder_derivative_maximum,decoder_derivative_median,derivative_over_train_q999,evaluation_clamp_occupancy,fraction_outside_train_min_max,fraction_outside_train_q001_q999,gate_0_passed,gate_1_floor_reference,gate_2_failed,gate_3_passed,global_variance_retention,high_k_retention,inverse_clamp_occupancy,inverse_clamp_policy,legacy_flags,maximum_minmax_excess,maximum_normalized_excess,maximum_normalized_excess_over_robust_span,normalized_relative_l2,normalized_state_norm,physical_finite,physical_maximum,physical_minimum,physical_relative_l2_to_p3_oracle,physical_relative_l2_to_raw,radial_transport_skill,residual_cosine,residual_norm,residual_over_true_residual,residual_sign_agreement,rho_press_positive,rout_failure,shell_radial_variance_retention,shell_transport_skill,source_index,split,stage_p_primary_driver,target_index,true_residual_norm
0.25,press,True,0.36369883819061327,0.00017961390448663456,6.529000743440863,0.000732421875,0.0,0.000732421875,False,frozen_stage_p_p3_floor,,,,,0.0,canonical,,0.0,0.5608748197555542,0.12156778279438372,0.19884739594967912,15142.2587890625,True,0.01892666704952717,8.166031051359823e-08,0.4604755000724039,0.46047549069747934,,0.16919795842037147,88.39996178908615,1.3360601112241366,0.6069068908691406,True,True,,,11,train,False,12,66.16465909463577
0.25,vel1,True,0.3491501017506721,0.18468690509193575,0.9127934549904119,0.0,0.0,0.0,False,frozen_stage_p_p3_floor,,,,,0.0,canonical,,0.0,0.0,0.0,0.4423207117620559,15142.2587890625,True,1.1416499614715576,0.00791143998503685,0.3217121679600143,0.32171217266785945,,0.31898299826318943,93.95443106802911,0.469184493614324,0.617889404296875,True,True,,,11,train,False,12,200.2505034730771
0.25,vel2,True,0.09308941883485976,0.0023000394773730493,0.918150484224844,0.0,0.00244140625,0.00244140625,False,frozen_stage_p_p3_floor,,,,,0.002685546875,canonical,,0.3126869201660156,0.3126964569091797,0.026058079493966886,0.36129908307775666,15142.2587890625,True,0.03338347375392914,-0.03573150932788849,0.4895006075545103,0.5192684897261297,,0.28299699801200695,383.1015588608435,0.8317879484963758,0.6287460327148438,True,True,,,11,train,False,12,460.5759912167238
0.25,vel3,True,0.006249537981890898,0.006249537981890898,1.0,0.0,0.0,0.0,False,frozen_stage_p_p3_floor,False,False,0.9743140462750413,0.9731880851483444,0.0,no_softclip,,0.0,0.0,0.0,0.06392718637368107,15142.2587890625,True,0.6328223347663879,-0.0022042682394385338,0.06305253703343755,0.06305254149421313,0.10044786718733922,0.1235379813979781,191.94978776847407,0.2928082977205843,0.6264190673828125,True,True,0.9119049019940806,0.027940544275069423,11,train,True,12,655.5476373543361
0.5,Bcc1,True,41.87660081352628,0.010839237952425893,21.99748843098054,0.0,0.003173828125,0.005218505859375,False,frozen_stage_p_p3_floor,,,,,0.0,canonical,Bcc1:possible_high_frequency_ripple,0.5497696399688721,0.7725608348846436,0.2428728790508303,0.3676161831935183,15019.1162109375,True,0.6154527068138123,-9.635223388671875,13.525878225782572,13.52588132751598,,0.07771026777441542,105.53908745390493,2.388629421871866,0.5828971862792969,True,True,,,11,train,False,12,44.18395188785646
0.5,Bcc2,True,0.0034375963912590033,0.000307351356536166,0.17652318607149897,0.0,0.0,0.0,False,frozen_stage_p_p3_floor,False,False,0.8483421510469595,0.7221193272852909,0.0,no_softclip,,0.0,0.0,0.0,0.4081552657084945,15019.1162109375,True,0.011946241371333599,-0.004514751955866814,0.3273681758232555,0.32736818828372244,0.43448263172437496,0.5020291062368003,572.7052826224647,1.7522783761218332,0.4872322082519531,True,True,0.9074829382516044,0.9076188320048475,11,train,True,12,326.8346459253717
0.5,Bcc3,True,0.003830963649942923,0.00027417302973306866,0.15562601630635287,0.0,0.0,0.0,False,frozen_stage_p_p3_floor,False,False,0.773170993836824,0.7440761516275377,0.0,no_softclip,,0.0,0.0,0.0,0.12261554580820513,15019.1162109375,True,0.12448294460773468,-0.13091950118541718,0.16835657613614516,0.1683565794751302,-83.29237976179913,0.29644223545362197,587.9313619166437,0.3991925837656637,0.57171630859375,True,True,1.6445228281259503,-3.3335359326797294,11,train,True,12,1472.801314018836
0.5,rho,True,1.6089566294017768,0.0015346478139633454,0.4326623457091665,0.0,0.0,0.0,False,frozen_stage_p_p3_floor,,,,,0.0,canonical,,0.0,0.0,0.0,0.34511986429361874,15019.1162109375,True,0.518494188785553,1.0167808795813471e-05,0.7955054115056202,0.7955053309080986,,0.09258701260818307,181.98864115954177,4.6318163832258135,0.5627021789550781,True,True,,,11,train,False,12,39.29098783332952
0.5,press,True,2.8821487430154367,0.00017577091175399636,51.739376951192575,0.00264739990234375,0.00048828125,0.003173828125,False,frozen_stage_p_p3_floor,,,,,0.0,canonical,press:possible_high_frequency_ripple,0.4488532543182373,1.1193381547927856,0.24261288416303187,0.35020087077993145,15019.1162109375,True,0.01892666704952717,3.1036572067932866e-07,0.7139918482399698,0.7139916444732842,,0.16919795730584455,176.79992367191383,2.6721202238650648,0.6069068908691406,True,True,,,11,train,False,12,66.16465909463577
0.5,vel1,True,0.26455419515558304,0.18428446274741972,0.6916318701253463,0.0,0.0,0.0,False,frozen_stage_p_p3_floor,,,,,0.0,canonical,,0.0,0.0,0.0,0.5218880692924864,15019.1162109375,True,0.8966529965400696,0.00136170897167176,0.36350171757557104,0.3635017152711623,,0.31898299777695754,187.90886196193773,0.9383689863591347,0.617889404296875,True,True,,,11,train,False,12,200.2505034730771
0.5,vel2,True,0.050034241411636204,0.00227646980912885,0.49349285402041293,0.0,0.002685546875,0.002685546875,False,frozen_stage_p_p3_floor,,,,,0.0029296875,canonical,,0.6401348114013672,0.6401443481445312,0.053345447135682324,0.5496336036484455,15019.1162109375,True,0.030141228809952736,-0.03573150932788849,0.6627161423887797,0.6757752751801963,,0.28299699746643797,766.2031178268733,1.6635758972211314,0.6287460327148438,True,True,,,11,train,False,12,460.5759912167238
