alpha,application,channel,decoded_maximum,decoded_minimum,decoded_variance,fixed_point_tendency,fraction_outside_train_min_max,fraction_outside_train_q001_q999,gate_2_failed,maximum_minmax_excess,maximum_normalized_excess,maximum_normalized_excess_over_robust_span,normalized_state_norm,output_delta,radial_variance,rout_failure,second_over_first_delta,shell_variance,state
1.0,2,press,0.01892666704952717,7.511985700148216e-07,2.288474980074579e-06,True,0.001708984375,0.004150390625,,1.1559011936187744,1.8263860940933228,0.3958632125474755,14984.6728515625,0.06507976089471786,5.56806493446487e-07,True,0.40367711525344635,"[1.536899175473872e-05, 1.0128023860426848e-07, 5.630374497780293e-09, 2.7481352442907466e-09, 6.665781435555372e-10, 6.876673690808444e-10, 4.180014951725621e-09, 7.102983404999036e-09]",train_early
1.0,2,vel1,1.0242056846618652,-0.13830149173736572,0.014472239601756445,True,0.000244140625,0.0009765625,,0.0760732889175415,0.3630709648132324,0.06258204575527276,14984.6728515625,0.06507976089471786,0.006342512384138265,True,0.40367711525344635,"[0.03297691730588296, 0.004130922394950733, 0.00236073107841499, 0.001637497212069733, 0.002612949114858591, 0.009231062068874045, 0.01177847963651122, 0.00934998555270504]",train_early
1.0,2,vel2,0.02850945107638836,-0.027697499841451645,1.4122961195219614e-05,True,0.0,0.0,,0.0,0.0,0.0,14984.6728515625,0.06507976089471786,3.1396074937947304e-07,True,0.40367711525344635,"[6.538708265902687e-05, 3.1481636285242166e-05, 7.799567712350252e-06, 3.7364989575282183e-06, 2.1741648179158675e-06, 3.251822786719964e-07, 4.2897083125472807e-07, 1.3137409913695816e-06]",train_early
1.0,2,vel3,0.6824511885643005,-0.0060055917128920555,0.0139592014239601,True,0.0,0.00048828125,False,0.0,0.21790242648124702,0.0011269328124022264,14984.6728515625,0.06507976089471786,0.013752717869115704,True,0.40367711525344635,"[0.021457646868121925, 0.0009509814637080894, 0.00014329941301148493, 5.154730628943847e-05, 1.3077707473547321e-05, 5.0629122637112014e-06, 6.4120192053977166e-06, 2.4318520425124843e-05]",train_early
0.0,1,Bcc1,0.1781628131866455,-0.1781628131866455,0.0011967103054090018,,0.0,0.0,,0.0,0.0,0.0,20230.576171875,0.0,4.68747821968035e-08,True,,"[0.00800362663893844, 0.00100017825102479, 0.0002149522509851327, 0.00011615023174025722, 9.673410003957183e-05, 6.50514729546585e-05, 5.760137331235909e-05, 1.90512957153604e-05]",train_middle
0.0,1,Bcc2,0.03236587345600128,-0.009817543439567089,1.2966252926259051e-05,,0.0,0.0,False,0.0,0.0,0.0,20230.576171875,0.0,8.16726539861338e-06,True,,"[7.418225371970151e-05, 7.398970769373204e-07, 4.0149486662219737e-07, 2.2782135171864598e-07, 8.382764609606821e-08, 1.876018180994669e-08, 2.9408640544033845e-09, 1.6499408504102523e-10]",train_middle
0.0,1,Bcc3,0.22479891777038574,-0.22479911148548126,0.0012213658045098232,,0.0,0.0,False,0.0,0.0,0.0,20230.576171875,0.0,6.671670937463262e-08,True,,"[0.009675407305190266, 9.324511481597958e-05, 1.6126747360130321e-06, 2.0312649526813798e-07, 6.90817311083504e-08, 1.9715806286829166e-08, 1.9685499031994907e-08, 6.203566088213837e-10]",train_middle
0.0,1,rho,1.2092770338058472,3.786559318541549e-06,0.02269770508040094,,0.0,0.001708984375,,0.0,0.024232988119125665,0.005395060874729355,20230.576171875,0.0,0.006922415702217466,True,,"[4.059236471917835e-06, 3.85828138593196e-07, 5.7325050178999676e-08, 6.289825225245715e-09, 9.970886968681785e-10, 0.001996561267082196, 0.08894677788572444, 0.04347222161686605]",train_middle
0.0,1,press,0.01892666704952717,2.1543856121297722e-07,2.3457315814324556e-06,,0.0,0.000244140625,,0.0,0.09323549270629883,0.020208488109675817,20230.576171875,0.0,2.172981834479352e-06,True,,"[4.907246039276479e-06, 1.3889076541445186e-07, 5.4049447760509375e-09, 1.592336960427024e-10, 1.8792934855348286e-10, 2.9147583618603223e-09, 1.4607117869990266e-07, 5.375268187010555e-08]",train_middle
0.0,1,vel1,1.0672736167907715,-0.009909670799970627,0.029473255473444447,,0.0,0.0,,0.0,0.0,0.0,20230.576171875,0.0,0.009753792161721389,True,,"[0.053431542007181906, 0.012278467757464537, 0.004337365515956362, 0.0010516296243889768, 0.008139978846680655, 0.022770969976267944, 0.029753781008045578, 0.040340991192214105]",train_middle
0.0,1,vel2,0.03573155030608177,-0.03573150932788849,0.0001524663285403768,,0.0,0.004150390625,,0.0,8.58306884765625e-06,7.152568741748718e-07,20230.576171875,0.0,2.779937713819346e-08,True,,"[0.0005616149169652647, 0.0005182221282574651, 0.00011977192296038129, 1.1943965286367281e-05, 7.356548097269654e-06, 5.46549556956057e-07, 3.9078056148480064e-08, 4.83895962921255e-08]",train_middle
0.0,1,vel3,0.8601087927818298,-0.0009042957681231201,0.02386884640437475,,0.0,0.0,False,0.0,0.0,0.0,20230.576171875,0.0,0.02312308731685036,True,,"[0.0347583678787995, 0.002444347666287481, 0.00044924403920475127, 0.0001553713013053348, 3.981975023577428e-05, 7.88732724466384e-06, 5.001154857336051e-06, 2.084402242052227e-06]",train_middle
0.0,2,Bcc1,0.1781628131866455,-0.1781628131866455,0.0011967103054090018,False,0.0,0.0,,0.0,0.0,0.0,20230.576171875,0.0,4.68747821968035e-08,True,0.0,"[0.00800362663893844, 0.00100017825102479, 0.0002149522509851327, 0.00011615023174025722, 9.673410003957183e-05, 6.50514729546585e-05, 5.760137331235909e-05, 1.90512957153604e-05]",train_middle
0.0,2,Bcc2,0.03236587345600128,-0.009817543439567089,1.2966252926259051e-05,False,0.0,0.0,False,0.0,0.0,0.0,20230.576171875,0.0,8.16726539861338e-06,True,0.0,"[7.418225371970151e-05, 7.398970769373204e-07, 4.0149486662219737e-07, 2.2782135171864598e-07, 8.382764609606821e-08, 1.876018180994669e-08, 2.9408640544033845e-09, 1.6499408504102523e-10]",train_middle
0.0,2,Bcc3,0.22479891777038574,-0.22479911148548126,0.0012213658045098232,False,0.0,0.0,False,0.0,0.0,0.0,20230.576171875,0.0,6.671670937463262e-08,True,0.0,"[0.009675407305190266, 9.324511481597958e-05, 1.6126747360130321e-06, 2.0312649526813798e-07, 6.90817311083504e-08, 1.9715806286829166e-08, 1.9685499031994907e-08, 6.203566088213837e-10]",train_middle
0.0,2,rho,1.2092770338058472,3.786559318541549e-06,0.02269770508040094,False,0.0,0.001708984375,,0.0,0.024232988119125665,0.005395060874729355,20230.576171875,0.0,0.006922415702217466,True,0.0,"[4.059236471917835e-06, 3.85828138593196e-07, 5.7325050178999676e-08, 6.289825225245715e-09, 9.970886968681785e-10, 0.001996561267082196, 0.08894677788572444, 0.04347222161686605]",train_middle
0.0,2,press,0.01892666704952717,2.1543856121297722e-07,2.3457315814324556e-06,False,0.0,0.000244140625,,0.0,0.09323549270629883,0.020208488109675817,20230.576171875,0.0,2.172981834479352e-06,True,0.0,"[4.907246039276479e-06, 1.3889076541445186e-07, 5.4049447760509375e-09, 1.592336960427024e-10, 1.8792934855348286e-10, 2.9147583618603223e-09, 1.4607117869990266e-07, 5.375268187010555e-08]",train_middle
0.0,2,vel1,1.0672736167907715,-0.009909670799970627,0.029473255473444447,False,0.0,0.0,,0.0,0.0,0.0,20230.576171875,0.0,0.009753792161721389,True,0.0,"[0.053431542007181906, 0.012278467757464537, 0.004337365515956362, 0.0010516296243889768, 0.008139978846680655, 0.022770969976267944, 0.029753781008045578, 0.040340991192214105]",train_middle
0.0,2,vel2,0.03573155030608177,-0.03573150932788849,0.0001524663285403768,False,0.0,0.004150390625,,0.0,8.58306884765625e-06,7.152568741748718e-07,20230.576171875,0.0,2.779937713819346e-08,True,0.0,"[0.0005616149169652647, 0.0005182221282574651, 0.00011977192296038129, 1.1943965286367281e-05, 7.356548097269654e-06, 5.46549556956057e-07, 3.9078056148480064e-08, 4.83895962921255e-08]",train_middle
0.0,2,vel3,0.8601087927818298,-0.0009042957681231201,0.02386884640437475,False,0.0,0.0,False,0.0,0.0,0.0,20230.576171875,0.0,0.02312308731685036,True,0.0,"[0.0347583678787995, 0.002444347666287481, 0.00044924403920475127, 0.0001553713013053348, 3.981975023577428e-05, 7.88732724466384e-06, 5.001154857336051e-06, 2.084402242052227e-06]",train_middle
