absolute_difference,channel,increment_profile,profile_cosine,profile_relative_l2,r,radial_index,reference_increment_profile,reference_semantics,resolution,source_snapshot,target_snapshot,reproduction_scope
4.008598260087453e-24,Bcc1,2.9071738079402572e-24,-0.39081696994768456,1.6511628858292369,92.38789748625364,54,-1.1014244521471957e-24,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
7.568777475045156e-31,Bcc1,-2.238787782048531e-25,-0.39081696994768456,1.6511628858292369,100.21250461660972,55,-2.238795350826006e-25,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
1.2604620127867339e-30,Bcc1,1.6200749150570394e-24,-0.39081696994768456,1.6511628858292369,108.69980110791299,56,1.6200736545950266e-24,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
1.4034571800328093e-31,Bcc1,-1.2863123539428156e-25,-0.39081696994768456,1.6511628858292369,117.90591210252481,57,-1.2863109504856355e-25,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
1.221680728701887e-29,Bcc1,-5.49416098306841e-25,-0.39081696994768456,1.6511628858292369,127.89171614883756,58,-5.49428315114128e-25,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
1.6424472929212327e-29,Bcc1,-6.932080298154865e-25,-0.39081696994768456,1.6511628858292369,138.72324778143664,59,-6.932244542884157e-25,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
1.5088280666242883e-28,Bcc1,2.1328298960667223e-25,-0.39081696994768456,1.6511628858292369,150.47213419697917,60,2.1343387241333466e-25,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
8.307612271009733e-29,Bcc1,3.366950277640546e-25,-0.39081696994768456,1.6511628858292369,163.21606891345826,61,3.367781038867647e-25,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
3.2822130916483745e-28,Bcc1,-1.3217351313768152e-23,-0.39081696994768456,1.6511628858292369,177.0393255450854,62,-1.3217023092458988e-23,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
2.3226130861727793e-29,Bcc1,-1.9907484462150056e-27,-0.39081696994768456,1.6511628858292369,192.03331509030292,63,-1.9675223153532778e-27,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.9258397019750634,1.8416938596463401,1.1302164885137453,0,0.0,HIGHER_RES_SAMPLING_REFERENCE,96,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.9258397019750634,1.8416938596463401,1.1931623131041018,1,0.0,HIGHER_RES_SAMPLING_REFERENCE,96,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.9258397019750634,1.8416938596463401,1.2596138172466744,2,0.0,HIGHER_RES_SAMPLING_REFERENCE,96,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.9258397019750634,1.8416938596463401,1.3297662448548249,3,0.0,HIGHER_RES_SAMPLING_REFERENCE,96,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.9258397019750634,1.8416938596463401,1.4038257136782537,4,0.0,HIGHER_RES_SAMPLING_REFERENCE,96,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.9258397019750634,1.8416938596463401,1.4820098209060868,5,0.0,HIGHER_RES_SAMPLING_REFERENCE,96,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.9258397019750634,1.8416938596463401,1.5645482824981782,6,0.0,HIGHER_RES_SAMPLING_REFERENCE,96,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.9258397019750634,1.8416938596463401,1.6516836081230764,7,0.0,HIGHER_RES_SAMPLING_REFERENCE,96,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.9258397019750634,1.8416938596463401,1.7436718136857117,8,0.0,HIGHER_RES_SAMPLING_REFERENCE,96,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.9258397019750634,1.8416938596463401,1.8407831735383202,9,0.0,HIGHER_RES_SAMPLING_REFERENCE,96,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.9258397019750634,1.8416938596463401,1.9433030145846968,10,0.0,HIGHER_RES_SAMPLING_REFERENCE,96,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.9258397019750634,1.8416938596463401,2.051532554610976,11,0.0,HIGHER_RES_SAMPLING_REFERENCE,96,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.9258397019750634,1.8416938596463401,2.1657897873060716,12,0.0,HIGHER_RES_SAMPLING_REFERENCE,96,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.9258397019750634,1.8416938596463401,2.2864104165720867,13,0.0,HIGHER_RES_SAMPLING_REFERENCE,96,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.9258397019750634,1.8416938596463401,2.413748842869838,14,0.0,HIGHER_RES_SAMPLING_REFERENCE,96,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.9258397019750634,1.8416938596463401,2.5481792044975102,15,0.0,HIGHER_RES_SAMPLING_REFERENCE,96,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.9258397019750634,1.8416938596463401,2.6900964768618696,16,0.0,HIGHER_RES_SAMPLING_REFERENCE,96,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.9258397019750634,1.8416938596463401,2.8399176329718427,17,0.0,HIGHER_RES_SAMPLING_REFERENCE,96,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.9258397019750634,1.8416938596463401,2.9980828685641674,18,0.0,HIGHER_RES_SAMPLING_REFERENCE,96,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.9258397019750634,1.8416938596463401,3.165056895460695,19,0.0,HIGHER_RES_SAMPLING_REFERENCE,96,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.9258397019750634,1.8416938596463401,3.34133030695742,20,0.0,HIGHER_RES_SAMPLING_REFERENCE,96,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.9258397019750634,1.8416938596463401,3.527421019256939,21,0.0,HIGHER_RES_SAMPLING_REFERENCE,96,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.9258397019750634,1.8416938596463401,3.7238757931794697,22,0.0,HIGHER_RES_SAMPLING_REFERENCE,96,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.9258397019750634,1.8416938596463401,3.9312718406234364,23,0.0,HIGHER_RES_SAMPLING_REFERENCE,96,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.9258397019750634,1.8416938596463401,4.150218520495628,24,0.0,HIGHER_RES_SAMPLING_REFERENCE,96,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.9258397019750634,1.8416938596463401,4.381359129093809,25,0.0,HIGHER_RES_SAMPLING_REFERENCE,96,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.9258397019750634,1.8416938596463401,4.6253727902021895,26,0.0,HIGHER_RES_SAMPLING_REFERENCE,96,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
