absolute_difference,channel,increment_mean,r_edge_left,r_edge_right,radial_cells,reference_increment_mean,reference_semantics,resolution,shell,shell_vector_cosine,shell_vector_relative_l2,source_snapshot,target_snapshot,reproduction_scope
1.9729909926717914e-07,Bcc2,-3.355767380710791e-08,53.36960176502269,101.23606843406442,8,1.6374142546007123e-07,HIGHER_RES_SAMPLING_REFERENCE,64,6,-0.9999455178028783,3.1034590778478885,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc2,4.997697564003273e-09,101.23606843406442,192.03331509030292,8,4.997697564003273e-09,HIGHER_RES_SAMPLING_REFERENCE,64,7,-0.9999455178028783,3.1034590778478885,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc2,0.0,1.1302164885137453,2.1511666951179094,12,0.0,HIGHER_RES_SAMPLING_REFERENCE,96,0,0.9855709385325151,0.9023963449538568,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc2,0.0,2.1511666951179094,4.094364395859927,12,0.0,HIGHER_RES_SAMPLING_REFERENCE,96,1,0.9855709385325151,0.9023963449538568,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc2,0.0,4.094364395859927,7.792896684450838,12,0.0,HIGHER_RES_SAMPLING_REFERENCE,96,2,0.9855709385325151,0.9023963449538568,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc2,0.0,7.792896684450838,14.832397134933096,12,0.0,HIGHER_RES_SAMPLING_REFERENCE,96,3,0.9855709385325151,0.9023963449538568,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
2.932160510832641e-14,Bcc2,-4.8989737456151796e-08,14.832397134933096,28.23083811791544,12,-4.8989766777756904e-08,HIGHER_RES_SAMPLING_REFERENCE,96,4,0.9855709385325151,0.9023963449538568,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
6.665675129929167e-06,Bcc2,-7.212712364738879e-07,28.23083811791544,53.73239494531252,12,-7.386946366403055e-06,HIGHER_RES_SAMPLING_REFERENCE,96,5,0.9855709385325151,0.9023963449538568,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
8.242511009832745e-08,Bcc2,1.1942385501908678e-07,53.73239494531252,102.27008686386948,12,3.699874492075932e-08,HIGHER_RES_SAMPLING_REFERENCE,96,6,0.9855709385325151,0.9023963449538568,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
2.3076129489932945e-10,Bcc2,4.529642087179029e-09,102.27008686386948,194.6529775527125,12,4.298880792279699e-09,HIGHER_RES_SAMPLING_REFERENCE,96,7,0.9855709385325151,0.9023963449538568,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc2,0.0,1.1225854340129873,2.1402642060118655,16,0.0,HIGHER_RES_SAMPLING_REFERENCE,128,0,1.0,0.0,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc2,0.0,2.1402642060118655,4.080518713983782,16,0.0,HIGHER_RES_SAMPLING_REFERENCE,128,1,1.0,0.0,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
