channel,field_loss_inner,field_loss_middle,field_loss_outer,global_cosine,global_relative_l2,high_frequency_fraction_absolute_difference,index_grid_high_frequency_energy_fraction,index_grid_low_frequency_energy_fraction,maximum,minimum,q001,q999,radial_profile_relative_l2,reference_high_frequency_energy_fraction,reference_low_frequency_energy_fraction,reference_maximum,reference_minimum,reference_q001,reference_q999,reference_resolution,reference_semantics,resolution,shell_mean_relative_l2,shell_variance_relative_l2,snapshot,reproduction_scope
press,0.04545939837017474,0.03354418150501112,0.08335742069971055,0.9990528729425274,0.04620329697819574,0.0011564143898465315,0.03811383617852441,0.9618861638214756,0.007494259625673294,1.84151804916155e-08,1.888531997451537e-08,0.007494259625673294,0.041956244558872945,0.03695742178867788,0.9630425782113221,0.007494259625673294,1.84151804916155e-08,1.8653947719826647e-08,0.007494259625673294,128,HIGHER_RES_SAMPLING_REFERENCE,96,0.017057965645402937,0.028201009510235707,0,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
press,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.026982934710999308,0.9730170652890007,0.007494259625673294,1.84151804916155e-08,1.8653947719826647e-08,0.007494259625673294,0.0,0.026982934710999308,0.9730170652890007,0.007494259625673294,1.84151804916155e-08,1.8653947719826647e-08,0.007494259625673294,128,HIGHER_RES_SAMPLING_REFERENCE,128,0.0,0.0,0,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
vel1,1.2798645011527907,1.3463612425332128,0.3022484489848157,0.9551651696206477,0.30224844898481573,0.0003687282057702468,0.03447835421871193,0.9655216457812881,0.04813704639673233,-7.287624779830112e-16,-3.349639964916006e-16,0.04812585934996605,0.11172061967585757,0.03484708242448218,0.9651529175755178,0.046200819313526154,-4.842197780063992e-16,-4.0200392787947947e-16,0.04617510735988617,128,HIGHER_RES_SAMPLING_REFERENCE,64,0.06175311255358997,0.13002819648241332,0,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
vel1,1.1521470768869027,1.125224674643111,0.22515089625605295,0.974782046183598,0.22515089625605295,0.000516986013784939,0.02421856151958208,0.9757814384804179,0.046200819313526154,-4.680993645916106e-16,-3.7878289020741725e-16,0.04616730287671089,0.054954660632349724,0.024735547533367017,0.975264452466633,0.04813704639673233,-5.379485601583972e-16,-4.0200392787947947e-16,0.044341545552015305,128,HIGHER_RES_SAMPLING_REFERENCE,96,0.017511956258984857,0.03843909154868055,0,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
vel1,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.018747318216135296,0.9812526817838647,0.04813704639673233,-5.379485601583972e-16,-3.8384941778141885e-16,0.0461864173412323,0.0,0.018747318216135296,0.9812526817838647,0.04813704639673233,-5.379485601583972e-16,-3.8384941778141885e-16,0.0461864173412323,128,HIGHER_RES_SAMPLING_REFERENCE,128,0.0,0.0,0,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
vel2,0.0,0.0,0.3349009138057143,0.9458546709030945,0.33490091380571424,0.0029560939081780258,0.07549063578731002,0.92450936421269,1.26087843455025e-06,-1.26087843455025e-06,-1.196502807943034e-06,1.196502807943034e-06,0.0,0.07844672969548805,0.921553270304512,1.292842057409871e-06,-1.292842057409871e-06,-1.1530978554219473e-06,1.1530978554219473e-06,128,HIGHER_RES_SAMPLING_REFERENCE,64,0.0,0.07789465408660332,0,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
vel2,0.0,0.0,0.4032801601979798,0.9194316285095089,0.4032801601979798,0.0017460550359648594,0.05698436417131286,0.9430156358286872,1.292842057409871e-06,-1.292842057409871e-06,-1.2022935607092222e-06,1.2022935607092222e-06,1.886085235130988,0.05873041920727772,0.9412695807927223,1.26087843455025e-06,-1.26087843455025e-06,-1.1878616987814894e-06,1.1681241858241265e-06,128,HIGHER_RES_SAMPLING_REFERENCE,96,1.7420938094945642,0.0423177215187618,0,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
vel2,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0470884687324066,0.9529115312675934,1.292842057409871e-06,-1.292842057409871e-06,-1.1878616987814894e-06,1.1878616987814894e-06,0.0,0.0470884687324066,0.9529115312675934,1.292842057409871e-06,-1.292842057409871e-06,-1.1878616987814894e-06,1.1878616987814894e-06,128,HIGHER_RES_SAMPLING_REFERENCE,128,0.0,0.0,0,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
vel3,1.2851143437605088,0.18595109425947492,0.40380909040574486,0.9198203073340129,0.4038090904057449,2.9162256253399688e-05,0.06173038806371154,0.9382696119362884,0.005166538525372744,-6.473360890327121e-16,-3.326257091011459e-16,0.005094100255519152,0.16126984560638954,0.06170122580745814,0.9382987741925418,0.004944709595292807,-4.801428496125867e-16,-3.619721449406164e-16,0.0047829607501626015,128,HIGHER_RES_SAMPLING_REFERENCE,64,0.08977078818936389,0.16349550165257595,0,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
vel3,1.1385692999711434,0.2551204603482967,0.2953255825646456,0.9565860962908971,0.2953255825646456,0.0014715963376011956,0.042307252351526395,0.9576927476484736,0.004944709595292807,-4.192273105404912e-16,-3.526330773015457e-16,0.004738042131066322,0.0761147375101331,0.04377884868912759,0.9562211513108724,0.005166538525372744,-5.506968295310481e-16,-3.561522874391505e-16,0.004688499961048365,128,HIGHER_RES_SAMPLING_REFERENCE,96,0.023762768599336563,0.042192689559217164,0,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
