baseline,section,metric,channel,value,numerator_squared_sum,denominator_squared_sum
oracle,clamp_masks,target_positive_fraction,Bcc1,0.0,,
oracle,clamp_masks,target_negative_fraction,Bcc1,0.0,,
oracle,clamp_masks,model_clamp_count,Bcc1,0,,
oracle,clamp_masks,model_clamp_fraction,Bcc1,0.0,,
oracle,clamp_masks,model_positive_fraction,Bcc1,0.0,,
oracle,clamp_masks,model_negative_fraction,Bcc1,0.0,,
oracle,clamp_masks,intersection_fraction,Bcc1,0.0,,
oracle,clamp_masks,model_only_fraction,Bcc1,0.0,,
oracle,clamp_masks,target_only_fraction,Bcc1,0.0,,
oracle,clamp_masks,neither_fraction,Bcc1,1.0,,
oracle,clamp_masks,jaccard,Bcc1,,,
oracle,clamp_masks,precision,Bcc1,,,
oracle,clamp_masks,recall,Bcc1,,,
oracle,clamp_masks,same_sign_intersection_fraction,Bcc1,0.0,,
oracle,clamp_masks,opposite_sign_intersection_fraction,Bcc1,0.0,,
oracle,clamp_masks,sign_agreement_within_intersection,Bcc1,,,
oracle,clamp_masks,value_count,Bcc2,4980736,,
oracle,clamp_masks,target_clamp_count,Bcc2,519331,,
oracle,clamp_masks,target_clamp_fraction,Bcc2,0.10426792345548931,,
oracle,clamp_masks,target_positive_fraction,Bcc2,0.07104672883686267,,
oracle,clamp_masks,target_negative_fraction,Bcc2,0.033221194618626645,,
oracle,clamp_masks,model_clamp_count,Bcc2,519331,,
oracle,clamp_masks,model_clamp_fraction,Bcc2,0.10426792345548931,,
oracle,clamp_masks,model_positive_fraction,Bcc2,0.07104672883686267,,
oracle,clamp_masks,model_negative_fraction,Bcc2,0.033221194618626645,,
oracle,clamp_masks,intersection_fraction,Bcc2,0.10426792345548931,,
oracle,clamp_masks,model_only_fraction,Bcc2,0.0,,
oracle,clamp_masks,target_only_fraction,Bcc2,0.0,,
oracle,clamp_masks,neither_fraction,Bcc2,0.8957320765445107,,
oracle,clamp_masks,jaccard,Bcc2,1.0,,
oracle,clamp_masks,precision,Bcc2,1.0,,
oracle,clamp_masks,recall,Bcc2,1.0,,
oracle,clamp_masks,same_sign_intersection_fraction,Bcc2,0.10426792345548931,,
oracle,clamp_masks,opposite_sign_intersection_fraction,Bcc2,0.0,,
oracle,clamp_masks,sign_agreement_within_intersection,Bcc2,1.0,,
oracle,clamp_masks,value_count,Bcc3,4980736,,
oracle,clamp_masks,target_clamp_count,Bcc3,2855143,,
oracle,clamp_masks,target_clamp_fraction,Bcc3,0.5732371681614926,,
oracle,clamp_masks,target_positive_fraction,Bcc3,0.2880247015702097,,
oracle,clamp_masks,target_negative_fraction,Bcc3,0.2852124665912829,,
oracle,clamp_masks,model_clamp_count,Bcc3,2855143,,
oracle,clamp_masks,model_clamp_fraction,Bcc3,0.5732371681614926,,
oracle,clamp_masks,model_positive_fraction,Bcc3,0.2880247015702097,,
oracle,clamp_masks,model_negative_fraction,Bcc3,0.2852124665912829,,
oracle,clamp_masks,intersection_fraction,Bcc3,0.5732371681614926,,
oracle,clamp_masks,model_only_fraction,Bcc3,0.0,,
oracle,clamp_masks,target_only_fraction,Bcc3,0.0,,
oracle,clamp_masks,neither_fraction,Bcc3,0.4267628318385074,,
oracle,clamp_masks,jaccard,Bcc3,1.0,,
oracle,clamp_masks,precision,Bcc3,1.0,,
oracle,clamp_masks,recall,Bcc3,1.0,,
oracle,clamp_masks,same_sign_intersection_fraction,Bcc3,0.5732371681614926,,
oracle,clamp_masks,opposite_sign_intersection_fraction,Bcc3,0.0,,
oracle,clamp_masks,sign_agreement_within_intersection,Bcc3,1.0,,
oracle,clamp_masks,value_count,rho,4980736,,
oracle,clamp_masks,target_clamp_count,rho,0,,
oracle,clamp_masks,target_clamp_fraction,rho,0.0,,
oracle,clamp_masks,target_positive_fraction,rho,0.0,,
oracle,clamp_masks,target_negative_fraction,rho,0.0,,
oracle,clamp_masks,model_clamp_count,rho,0,,
oracle,clamp_masks,model_clamp_fraction,rho,0.0,,
oracle,clamp_masks,model_positive_fraction,rho,0.0,,
oracle,clamp_masks,model_negative_fraction,rho,0.0,,
oracle,clamp_masks,intersection_fraction,rho,0.0,,
oracle,clamp_masks,model_only_fraction,rho,0.0,,
oracle,clamp_masks,target_only_fraction,rho,0.0,,
oracle,clamp_masks,neither_fraction,rho,1.0,,
oracle,clamp_masks,jaccard,rho,,,
oracle,clamp_masks,precision,rho,,,
oracle,clamp_masks,recall,rho,,,
oracle,clamp_masks,same_sign_intersection_fraction,rho,0.0,,
oracle,clamp_masks,opposite_sign_intersection_fraction,rho,0.0,,
oracle,clamp_masks,sign_agreement_within_intersection,rho,,,
oracle,clamp_masks,value_count,press,4980736,,
oracle,clamp_masks,target_clamp_count,press,0,,
oracle,clamp_masks,target_clamp_fraction,press,0.0,,
oracle,clamp_masks,target_positive_fraction,press,0.0,,
