record_type,split,channel,stage,scope,index,shell,gamma_mode,paper_canonical,metric,value
snapshot_clamp,train,Bcc1,,,24,,,True,positive_fraction,0.0
snapshot_clamp,train,Bcc1,,,24,,,True,negative_fraction,0.0
snapshot_clamp,train,Bcc1,,,24,,,True,total_fraction,0.0
snapshot_clamp,train,Bcc1,,,24,,,True,hit_count,0
snapshot_clamp,train,Bcc1,,,25,,,True,snapshot_index,25
snapshot_clamp,train,Bcc1,,,25,,,True,time,250.0003205012995
snapshot_clamp,train,Bcc1,,,25,,,True,positive_fraction,0.0
snapshot_clamp,train,Bcc1,,,25,,,True,negative_fraction,0.0
snapshot_clamp,train,Bcc1,,,25,,,True,total_fraction,0.0
snapshot_clamp,train,Bcc1,,,25,,,True,hit_count,0
snapshot_clamp,train,Bcc1,,,26,,,True,snapshot_index,26
snapshot_clamp,train,Bcc1,,,26,,,True,time,260.0009795674315
snapshot_clamp,train,Bcc1,,,26,,,True,positive_fraction,0.0
snapshot_clamp,train,Bcc1,,,26,,,True,negative_fraction,0.0
snapshot_clamp,train,Bcc1,,,26,,,True,total_fraction,0.0
snapshot_clamp,train,Bcc1,,,26,,,True,hit_count,0
snapshot_clamp,train,Bcc1,,,27,,,True,snapshot_index,27
snapshot_clamp,train,Bcc1,,,27,,,True,time,270.0016386334685
snapshot_clamp,train,Bcc1,,,27,,,True,positive_fraction,0.0
snapshot_clamp,train,Bcc1,,,27,,,True,negative_fraction,0.0
snapshot_clamp,train,Bcc1,,,27,,,True,total_fraction,0.0
snapshot_clamp,train,Bcc1,,,27,,,True,hit_count,0
snapshot_clamp,train,Bcc1,,,28,,,True,snapshot_index,28
snapshot_clamp,train,Bcc1,,,28,,,True,time,280.0005025713299
snapshot_clamp,train,Bcc1,,,28,,,True,positive_fraction,0.0
snapshot_clamp,train,Bcc1,,,28,,,True,negative_fraction,0.0
snapshot_clamp,train,Bcc1,,,28,,,True,total_fraction,0.0
snapshot_clamp,train,Bcc1,,,28,,,True,hit_count,0
snapshot_clamp,train,Bcc1,,,29,,,True,snapshot_index,29
snapshot_clamp,train,Bcc1,,,29,,,True,time,290.00116163736686
snapshot_clamp,train,Bcc1,,,29,,,True,positive_fraction,0.0
snapshot_clamp,train,Bcc1,,,29,,,True,negative_fraction,0.0
snapshot_clamp,train,Bcc1,,,29,,,True,total_fraction,0.0
snapshot_clamp,train,Bcc1,,,29,,,True,hit_count,0
snapshot_clamp,train,Bcc1,,,30,,,True,snapshot_index,30
snapshot_clamp,train,Bcc1,,,30,,,True,time,300.0000255752283
snapshot_clamp,train,Bcc1,,,30,,,True,positive_fraction,0.0
snapshot_clamp,train,Bcc1,,,30,,,True,negative_fraction,0.0
snapshot_clamp,train,Bcc1,,,30,,,True,total_fraction,0.0
snapshot_clamp,train,Bcc1,,,30,,,True,hit_count,0
snapshot_clamp,train,Bcc1,,,31,,,True,snapshot_index,31
snapshot_clamp,train,Bcc1,,,31,,,True,time,310.00068464126525
snapshot_clamp,train,Bcc1,,,31,,,True,positive_fraction,0.0
snapshot_clamp,train,Bcc1,,,31,,,True,negative_fraction,0.0
snapshot_clamp,train,Bcc1,,,31,,,True,total_fraction,0.0
snapshot_clamp,train,Bcc1,,,31,,,True,hit_count,0
snapshot_clamp,train,Bcc1,,,32,,,True,snapshot_index,32
snapshot_clamp,train,Bcc1,,,32,,,True,time,320.0013437073022
snapshot_clamp,train,Bcc1,,,32,,,True,positive_fraction,0.0
snapshot_clamp,train,Bcc1,,,32,,,True,negative_fraction,0.0
snapshot_clamp,train,Bcc1,,,32,,,True,total_fraction,0.0
snapshot_clamp,train,Bcc1,,,32,,,True,hit_count,0
snapshot_clamp,train,Bcc1,,,33,,,True,snapshot_index,33
snapshot_clamp,train,Bcc1,,,33,,,True,time,330.00020764516364
snapshot_clamp,train,Bcc1,,,33,,,True,positive_fraction,0.0
snapshot_clamp,train,Bcc1,,,33,,,True,negative_fraction,0.0
snapshot_clamp,train,Bcc1,,,33,,,True,total_fraction,0.0
snapshot_clamp,train,Bcc1,,,33,,,True,hit_count,0
snapshot_clamp,train,Bcc1,,,34,,,True,snapshot_index,34
snapshot_clamp,train,Bcc1,,,34,,,True,time,340.0008667112006
snapshot_clamp,train,Bcc1,,,34,,,True,positive_fraction,0.0
snapshot_clamp,train,Bcc1,,,34,,,True,negative_fraction,0.0
snapshot_clamp,train,Bcc1,,,34,,,True,total_fraction,0.0
snapshot_clamp,train,Bcc1,,,34,,,True,hit_count,0
snapshot_clamp,train,Bcc1,,,35,,,True,snapshot_index,35
snapshot_clamp,train,Bcc1,,,35,,,True,time,350.0015257772376
snapshot_clamp,train,Bcc1,,,35,,,True,positive_fraction,0.0
snapshot_clamp,train,Bcc1,,,35,,,True,negative_fraction,0.0
snapshot_clamp,train,Bcc1,,,35,,,True,total_fraction,0.0
snapshot_clamp,train,Bcc1,,,35,,,True,hit_count,0
snapshot_clamp,train,Bcc1,,,36,,,True,snapshot_index,36
snapshot_clamp,train,Bcc1,,,36,,,True,time,360.000389715099
snapshot_clamp,train,Bcc1,,,36,,,True,positive_fraction,0.0
snapshot_clamp,train,Bcc1,,,36,,,True,negative_fraction,0.0
snapshot_clamp,train,Bcc1,,,36,,,True,total_fraction,0.0
snapshot_clamp,train,Bcc1,,,36,,,True,hit_count,0
snapshot_clamp,train,Bcc1,,,37,,,True,snapshot_index,37
snapshot_clamp,train,Bcc1,,,37,,,True,time,370.001048781136
snapshot_clamp,train,Bcc1,,,37,,,True,positive_fraction,0.0
snapshot_clamp,train,Bcc1,,,37,,,True,negative_fraction,0.0
snapshot_clamp,train,Bcc1,,,37,,,True,total_fraction,0.0
snapshot_clamp,train,Bcc1,,,37,,,True,hit_count,0
snapshot_clamp,train,Bcc1,,,38,,,True,snapshot_index,38
snapshot_clamp,train,Bcc1,,,38,,,True,time,380.00170784717295
snapshot_clamp,train,Bcc1,,,38,,,True,positive_fraction,0.0
snapshot_clamp,train,Bcc1,,,38,,,True,negative_fraction,0.0
snapshot_clamp,train,Bcc1,,,38,,,True,total_fraction,0.0
snapshot_clamp,train,Bcc1,,,38,,,True,hit_count,0
