split,snapshot_index,canonical_fraction,raw_fraction,jaccard,disagreement_fraction,canonical_clamp_overlap,raw_clamp_overlap
train,43,0.20000076293945312,0.20000076293945312,0.7575635674896498,0.05517578125,0.5153827080432585,0.6203627763260791
train,44,0.20000076293945312,0.20000076293945312,0.759450979076128,0.0546875,0.520265501916878,0.6350111579469377
train,45,0.20000076293945312,0.20000076293945312,0.7636235199138859,0.05361175537109375,0.531251788132522,0.6433080928493773
train,46,0.20000076293945312,0.20000076293945312,0.7746974697469747,0.05078125,0.531251788132522,0.6362318564153426
train,47,0.20000076293945312,0.20000076293945312,0.7921687261788785,0.04638671875,0.5212382460088882,0.6203627763260791
train,48,0.20000076293945312,0.20000076293945312,0.7863068772252603,0.0478515625,0.5053691659196247,0.6142592839840546
train,49,0.20000076293945312,0.20000076293945312,0.7882565615566963,0.04736328125,0.5004863720460051,0.6118178870472448
train,50,0.20000076293945312,0.20000076293945312,0.7867025627044711,0.04775238037109375,0.49951362795399495,0.612790631139255
train,51,0.20000076293945312,0.20000076293945312,0.7689491708419792,0.05224609375,0.4992656735776002,0.623776917354899
train,52,0.20000076293945312,0.20000076293945312,0.7552981351903311,0.05576324462890625,0.5139140551984589,0.6411146502889622
train,53,0.20000076293945312,0.20000076293945312,0.7352264641149117,0.06103515625,0.5288103911957123,0.6630872227202502
train,54,0.20000076293945312,0.20000076293945312,0.7301016367476241,0.06240081787109375,0.5483415666901905,0.6750462530279044
train,55,0.20000076293945312,0.20000076293945312,0.722824658254469,0.06435394287109375,0.5581071544374296,0.6872532377119533
train,56,0.20000076293945312,0.20000076293945312,0.7260860261074257,0.0634765625,0.5639626924030594,0.6945774285223827
train,57,0.20000076293945312,0.20000076293945312,0.7206478397138215,0.06494140625,0.5712868832134887,0.712887905548456
train,58,0.20000076293945312,0.20000076293945312,0.6960727225672878,0.07167816162109375,0.5715348375898834,0.7324190810429343
train,59,0.20000076293945312,0.20000076293945312,0.6974730060058602,0.0712890625,0.5786110740239181,0.7373018749165539
train,60,0.20000076293945312,0.20000076293945312,0.704176824313343,0.06943511962890625,0.5849625207423372,0.7387705277613534
train,61,0.20000076293945312,0.20000076293945312,0.7009976478222077,0.0703125,0.5810524709607279,0.7397432718533636
train,62,0.20000076293945312,0.20000076293945312,0.6957161569933858,0.07177734375,0.5773903755555132,0.7409639703217685
train,63,0.20000076293945312,0.20000076293945312,0.6953597413096201,0.07187652587890625,0.5773903755555132,0.7460947185717828
train,64,0.20000076293945312,0.20000076293945312,0.6925684400826446,0.07265472412109375,0.5849625207423372,0.7568330504110321
train,65,0.20000076293945312,0.20000076293945312,0.68525096028672,0.07470703125,0.5944801541131817,0.7665986381582712
train,66,0.20000076293945312,0.20000076293945312,0.6596445133821877,0.08203125,0.5981422495183963,0.7836884167159397
train,67,0.20000076293945312,0.20000076293945312,0.6697931429845375,0.0791015625,0.6054664403288257,0.7836884167159397
train,68,0.20000076293945312,0.20000076293945312,0.6660523054434523,0.08017730712890625,0.6164527265444697,0.8010261496500028
train,69,0.20000076293945312,0.20000076293945312,0.6630136551789764,0.0810546875,0.6274390127601137,0.8129851799576571
train,70,0.20000076293945312,0.20000076293945312,0.6509430991592405,0.08457183837890625,0.6335425051021382,0.8254401190181007
train,71,0.20000076293945312,0.20000076293945312,0.6463033614368926,0.0859375,0.6408666959125675,0.8386198477941598
train,72,0.20000076293945312,0.20000076293945312,0.6413555607732645,0.08740234375,0.6420873943809724,0.8459440386045891
train,73,0.20000076293945312,0.20000076293945312,0.6397128962141707,0.087890625,0.6433080928493773,0.8483854355413989
train,74,0.20000076293945312,0.20000076293945312,0.6397128962141707,0.087890625,0.6459974441625818,0.8520475309466136
train,75,0.20000076293945312,0.20000076293945312,0.634804571179121,0.08935546875,0.6494115851914017,0.8593717217570429
train,76,0.20000076293945312,0.20000076293945312,0.6234652959482265,0.0927734375,0.6494115851914017,0.869137309504282
train,77,0.20000076293945312,0.20000076293945312,0.6138703769257999,0.095703125,0.6506322836598066,0.8752408018463065
train,78,0.20000076293945312,0.20000076293945312,0.6106972243129906,0.0966796875,0.6518529821282115,0.8742680577542963
train,79,0.20000076293945312,0.20000076293945312,0.612282239340683,0.09619140625,0.6518529821282115,0.8754887562227012
