channel,fraction_outside_train_min_max,fraction_outside_train_q001_q999,maximum,maximum_minmax_excess,maximum_normalized_excess,maximum_normalized_excess_over_robust_span,minimum,radial_profile_variance,relative_l2_to_physical_loop_output,shell_variance,state_norm,std,step
rho,0.4850654602050781,0.5171012878417969,31.08438491821289,28.17004156112671,28.572317008733748,6.361138330791427,-28.596027374267578,2.5587457330275347,,21.85770243705654;21.820437626417622;21.814446323187905;21.872502211532463;21.826701437952295;21.798948821241577;21.868879153349724;21.88443578834369,61434.9765625,4.673650375817794,8
press,0.3990020751953125,0.45400238037109375,26.29290008544922,23.73927140235901,24.409756302833557,5.290734844505958,-20.496212005615234,3.2189612564703527,,15.141744120658826;15.116674987575578;15.13458372974872;15.166848516694781;15.153099250815728;15.122198945510414;15.128874173525798;15.132287227487412,61434.9765625,3.890635198587854,8
vel1,0.45545196533203125,0.5198554992675781,26.580781936645508,20.88634204864502,22.254493272781374,3.8359765754720976,-18.890384674072266,1.9122415366845114,,16.103508548184713;16.09527853681619;16.116702878823794;16.12859720825716;16.120594248327965;16.090323698892135;16.099510207603554;16.10767725345814,61434.9765625,4.013449473457517,8
vel2,0.2552146911621094,0.2552146911621094,28.032958984375,32.4406852722168,32.44069480895996,2.7033955310114717,-38.4406852722168,5.4740479523009755,,38.36651069829786;38.35043352888391;38.328222393467044;38.44459182616559;38.427826053699235;38.3352704946449;38.35588034080174;38.393479984345845,61434.9765625,6.194780289593865,8
vel3,0.045520782470703125,0.20303726196289062,455.82586669921875,220.93482971191406,263.9095968933109,1.3648695383964073,-15.442484855651855,2422.026679706989,,4923.423864790814;4922.194761960906;4920.506881963431;4928.396673068158;4926.460227844946;4921.587055208407;4924.809995720394;4924.109523944924,61434.9765625,70.1707645706456,8
Bcc1,0.6754570007324219,0.7173728942871094,24.155183792114258,34.81896138191223,35.041752576828,11.01620862853067,-36.632694244384766,6.356370105668195,,41.41912516206578;41.395618232468394;41.415226341256115;41.48906897034775;41.445736986521766;41.366965897980975;41.38601673258878;41.375403784270915,72710.953125,6.435188418075327,9
Bcc2,0.0485992431640625,0.07596969604492188,38.351104736328125,21.99932289123535,23.874043959617616,0.781542914215715,-39.32135772705078,8.304776358063425,,64.42474998152355;64.44581810167105;64.45623203665114;64.5071525399159;64.46036386849265;64.44810920728827;64.50283164646167;64.45651261583629,72710.953125,8.028868296401143,9
Bcc3,0.07201385498046875,0.11600112915039062,427.87493896484375,231.50677490234375,270.6277093048096,0.8608864581503907,-415.71185302734375,406.91155366366513,,9629.954290923728;9632.333775128334;9634.046654995647;9645.798494454999;9644.136640540211;9631.245279968385;9634.302044514065;9631.897840643747,72710.953125,98.16040515758432,9
rho,0.5581626892089844,0.589691162109375,37.567710876464844,34.65336751937866,35.0556429669857,7.8045401120136235,-33.24331283569336,3.7108825581781675,,33.479355167762144;33.43824347897039;33.33948425394571;33.49099221836253;33.49434852350214;33.3523531538545;33.431889295255;33.4641274310285,72710.953125,5.782417515647985,9
press,0.4945411682128906,0.5472831726074219,27.437728881835938,24.884100198745728,25.554585099220276,5.538872741865217,-24.40487289428711,4.180164387975129,,23.327482170732665;23.34352282887933;23.32261998880525;23.43182085611928;23.39543655842239;23.30151531248927;23.315543131966674;23.269740032505926,72710.953125,4.830989784264189,9
vel1,0.5269660949707031,0.5920867919921875,32.76901626586914,27.074576377868652,28.442727602005007,4.90263406524146,-20.357847213745117,2.4693217469187996,,23.200272631159894;23.176875482554117;23.172530720775832;23.252225736607443;23.23147997369223;23.151208723701252;23.179629308112467;23.186096563757758,72710.953125,4.8159934317681765,9
vel2,0.3328399658203125,0.3328437805175781,32.213924407958984,45.17460632324219,45.17461585998535,3.764557305268137,-51.17460632324219,8.30112818511201,,57.50067906418727;57.47618432477106;57.4488983324658;57.63536033216092;57.5571400342019;57.4201586880286;57.492264375549965;57.479925369928885,72710.953125,7.5829641101257,9
vel3,0.09157943725585938,0.21942138671875,524.8478393554688,289.95680236816406,332.9315695495609,1.7218326388956646,-19.340246200561523,2890.9845718368188,,6658.801156943325;6655.700159752273;6654.334628564927;6667.283631036122;6666.442806778981;6656.76311575774;6659.650125815672;6660.07016910154,72710.953125,81.60809298594198,9
Bcc1,0.7299957275390625,0.7613792419433594,28.425865173339844,44.88622212409973,45.1090133190155,14.181091560986813,-46.699954986572266,9.484466650487759,0.15035026137464888,65.72521005032459;65.74581086820055;65.80049379851174;65.89527708407698;65.84116770668149;65.70994222694088;65.64831734798108;65.6498111086521,88144.5859375,8.108761664574928,10
Bcc2,0.07691192626953125,0.11016464233398438,48.27872085571289,30.593151092529297,33.1787114686966,1.0861413715677362,-44.43769454956055,8.212577321530768,0.16598613548956234,89.87849046419248;89.88133148104528;89.80608987399341;89.87601134040747;89.84685460185204;89.87124831541905;89.95204472163283;89.86943275801812,88144.5859375,9.480121452868286,10
Bcc3,0.11016464233398438,0.16025543212890625,471.2184143066406,313.64772033691406,352.90414332580565,1.1226137884948328,-510.0162658691406,631.8614105961688,0.09599852717664183,14102.043358745894;14108.294410071829;14115.235830002519;14123.045264159922;14124.86017286578;14106.288899220188;14104.568701826622;14106.851307686162,88144.5859375,118.79141235275705,10
rho,0.6635360717773438,0.6945648193359375,41.11611557006836,41.21555733680725,41.22402060031891,9.177824028407189,-43.203651428222656,5.746727141968545,0.21423771968515473,52.700638074466546;52.69320249320136;52.66919700100551;52.737538997026746;52.66691519014745;52.60551589704811;52.64061026669715;52.651989686681354,88144.5859375,7.257458876172078,10
press,0.5856666564941406,0.6243019104003906,33.15033721923828,30.59670853614807,31.26719343662262,6.777061915437644,-33.08866500854492,5.44353687702206,0.20606809386376485,36.88598756554284;36.87183481675477;36.82985501951403;37.00556100672631;36.99189308549633;36.84313309527477;36.83548859238715;36.8609044290196,88144.5859375,6.073762102672878,10
vel1,0.6005287170410156,0.6633720397949219,33.152992248535156,27.458552360534668,28.826703584671023,4.968819480339282,-26.027502059936523,3.3142140053451534,0.18360270921934815,34.328529753436285;34.40691228049374;34.41350105224765;34.4288908689012;34.4351112605536;34.33461619504559;34.32600135431808;34.28268944181695,88144.5859375,5.862554119570273,10
vel2,0.4191741943359375,0.4191741943359375,33.34750747680664,53.956356048583984,53.95636558532715,4.496370945566409,-59.956356048583984,11.666875255166666,0.1781251224616802,81.88360654828602;81.64994523850059;81.61337167981944;82.02043888623561;81.97145915070404;81.70370092570084;81.71635916114144;81.79283585106805,88144.5859375,9.044002328501405,10
vel3,0.14795684814453125,0.2571220397949219,606.2169189453125,371.3258819580078,414.30064913940464,2.142651659525776,-31.537883758544922,3677.062611641006,0.07861382459702387,9476.855670431718;9475.39619677241;9469.679985579898;9486.759663315812;9488.073129841;9474.758701904062;9476.491353286094;9476.972458474978,88144.5859375,97.35565591642289,10
Bcc1,0.7816696166992188,0.8060150146484375,32.114593505859375,55.39959263801575,55.62238383293152,17.486219713935647,-57.21332550048828,14.722647695889954,,104.57642470233621;104.56890980797343;104.6462867302196;104.7972994048322;104.75307854672761;104.53991224745174;104.53332156310536;104.56012481549547,108976.328125,10.228486666089877,11
Bcc2,0.13934707641601562,0.1954193115234375,62.428184509277344,44.74261474609375,47.32817512226105,1.54933952421842,-51.288204193115234,9.581835308990321,,134.8095027517837;134.80253450725309;134.93750776457557;134.819990000869;134.61456215308522;134.6993784382435;134.74115597917609;134.91256261513388,108976.328125,11.610002781842459,11
Bcc3,0.16380691528320312,0.22610092163085938,527.7261352539062,490.1262664794922,529.3826894683838,1.6840048999907253,-686.4948120117188,1003.2291891528517,,21587.895388869016;21604.792017581465;21607.680696926553;21604.154186201027;21615.499716434257;21592.726457063483;21583.670555705667;21596.90317167958,108976.328125,146.96655327981347,11
