absolute_residual_error_mean,absolute_residual_error_median,channel,model,pair_count,region,residual_cosine_mean,residual_cosine_median,residual_l2_mean,residual_l2_median,state_l2_mean,state_l2_median
0.12664661157043175,0.1204984196337508,vel1,Differential LocalNO,42,middle,0.018696845321784793,0.0005614172445044022,1.005794850142741,1.00871273648821,0.09373064010638801,0.09040504281162103
0.549617977358771,0.41572230540661825,vel2,Differential LocalNO,42,middle,0.14364366658959554,0.13186249180330162,1.3201623829728175,1.1506979078485289,0.3148322204650481,0.2596624663521828
0.24400937227285163,0.21034025528631173,vel3,Differential LocalNO,42,middle,-0.019899535069273937,-0.024772057979746784,1.1348199171192717,1.134182354203019,0.14345545581727004,0.12940701682078531
0.07190291599754801,0.06572164941852196,ALL,Differential LocalNO,42,outer,0.0010943838372848703,0.00014259126195771387,7.572695440390648,7.3719231256238995,0.34524457994863866,0.3548882826982801
0.012879416934292438,0.013767476098538213,Bcc1,Differential LocalNO,42,outer,0.001198468107572877,0.00030296815686334743,3.5227228375674415,3.253312085665087,0.06623022943868845,0.06847756163371449
0.23721034241865654,0.18459449485289992,Bcc2,Differential LocalNO,42,outer,0.004690746200876173,0.0005093842317869502,21.286205772425767,19.116650686076213,3.7040225316298097,3.5525480422296294
0.13090114078521056,0.1341577795136415,Bcc3,Differential LocalNO,42,outer,0.0031053219263954064,0.001720879864237982,12.931581830946206,12.206207114191422,0.5258471550332275,0.5515398835407153
0.024257921089961547,0.020460436253731406,press,Differential LocalNO,42,outer,0.015015867069256329,0.013946169477448228,1.021871269082571,1.0142426081866436,0.058663308641885945,0.04492497198559045
0.011483762659416504,0.011355485109925083,rho,Differential LocalNO,42,outer,0.03214018680285654,0.04457986370383752,1.0743555310770094,1.0482030106911093,0.021225562207982655,0.020661421161765
0.04341862747802625,0.03455368384865471,vel1,Differential LocalNO,42,outer,0.013374529729005416,-0.014297417379140566,1.0166000565674742,1.0067750046585078,0.03895339695311542,0.02694739400241593
0.061599057623644746,0.057945302465327225,vel2,Differential LocalNO,42,outer,-0.01267989586017755,-0.0031626457560328747,3.4710760163403953,3.547600372656081,0.1383802649131421,0.1324117988786725
