Z,basis,near_zero,near_zero_threshold,positive_support_count,r,r_index,theta,theta_index
0.6551480547036627,0,False,6.534747158743004e-09,1,21.384154959091035,36,0.1718058530241251,3
0.836103332295485,0,False,6.534747158743004e-09,1,23.195242947043564,37,0.1718058530241251,3
1.0670393924802473,0,False,6.534747158743004e-09,1,25.159717388956086,38,0.1718058530241251,3
1.3617611856404357,0,False,6.534747158743004e-09,1,27.290569041994974,39,0.1718058530241251,3
1.7378866607787071,0,False,6.534747158743004e-09,1,29.60188888937262,40,0.1718058530241251,3
2.2178999354370292,0,False,6.534747158743004e-09,1,32.108961321779226,41,0.1718058530241251,3
2.830495356588706,0,False,6.534747158743004e-09,1,34.82836521062847,42,0.1718058530241251,3
3.612292798093048,0,False,6.534747158743004e-09,1,37.77808354149836,43,0.1718058530241251,3
4.610026732169255,0,False,6.534747158743004e-09,1,40.97762233275594,44,0.1718058530241251,3
5.883339933721446,0,False,6.534747158743004e-09,1,44.44813962575559,45,0.1718058530241251,3
7.508348820232071,0,False,6.534747158743004e-09,1,48.212585399602744,46,0.1718058530241251,3
9.582193556954781,0,False,6.534747158743004e-09,1,52.29585333571705,47,0.1718058530241251,3
12.228844924669874,0,False,6.534747158743004e-09,1,56.72494543578993,48,0.1718058530241251,3
15.6065150743155,0,False,6.534747158743004e-09,1,61.52915058172892,49,0.1718058530241251,3
19.917115170336686,0,False,6.534747158743004e-09,1,66.74023821837727,50,0.1718058530241251,3
25.418325283990622,0,False,6.534747158743004e-09,1,72.39266843980191,51,0.1718058530241251,3
32.43899805354388,0,False,6.534747158743004e-09,1,78.5238198684169,52,0.1718058530241251,3
41.398816914999145,0,False,6.534747158743004e-09,1,85.17423683387099,53,0.1718058530241251,3
52.833384037716236,0,False,6.534747158743004e-09,1,92.38789748625364,54,0.1718058530241251,3
67.4262376774703,0,False,6.534747158743004e-09,1,100.21250461660972,55,0.1718058530241251,3
86.0497128878448,0,False,6.534747158743004e-09,1,108.69980110791299,56,0.1718058530241251,3
109.81708817122257,0,False,6.534747158743004e-09,1,117.90591210252481,57,0.1718058530241251,3
140.14913530419847,0,False,6.534747158743004e-09,1,127.89171614883756,58,0.1718058530241251,3
178.8590505686124,0,False,6.534747158743004e-09,1,138.72324778143664,59,0.1718058530241251,3
228.26084442739432,0,False,6.534747158743004e-09,1,150.47213419697917,60,0.1718058530241251,3
291.3076689888836,0,False,6.534747158743004e-09,1,163.21606891345826,61,0.1718058530241251,3
371.7683522314742,0,False,6.534747158743004e-09,1,177.0393255450854,62,0.1718058530241251,3
474.4526918931852,0,False,6.534747158743004e-09,1,192.03331509030292,63,0.1718058530241251,3
