accumulation_count,clipping_triggered,gradient_norm_after_clip,gradient_norm_before_clip,learning_rate,max_microbatch_loss,mean_microbatch_loss,microbatches_seen,min_microbatch_loss,optimizer_update
4,True,0.9999998211860657,8.155983924865723,0.0009976918669181245,24.73301124572754,11.860172618180513,480,0.15709061920642853,120
4,True,0.9999999403953552,118.17420196533203,0.0009975619621988788,917.9722900390625,255.17647409439087,484,16.128259658813477,121
4,True,0.9999998807907104,18.403596878051758,0.0009974285102004236,86.40711975097656,24.580842807888985,488,0.1598251461982727,122
4,True,0.9999998807907104,12.656660079956055,0.0009972915118751382,20.503435134887695,12.121348470449448,492,0.9198821783065796,123
4,True,1.0,98.4005126953125,0.0009971509682007097,2540.100341796875,639.8469196408987,496,0.18576425313949585,124
4,True,0.9999998211860657,16.02951431274414,0.0009970068801801275,21.803333282470703,10.818952459841967,500,0.1806880384683609,125
4,True,0.9999998807907104,138.7578125,0.0009968592488416748,520.70166015625,236.87222050130367,504,0.3981871008872986,126
4,True,0.999999463558197,1.8059792518615723,0.000996708075238921,51.41084289550781,13.435818336904049,508,0.41076377034187317,127
4,True,0.9999999403953552,12.419687271118164,0.0009965533604507162,14.591743469238281,6.095944061875343,512,0.12749487161636353,128
4,True,0.9999998807907104,6.739366054534912,0.000996395105581181,17.457618713378906,6.738466203212738,516,1.2297565937042236,129
4,True,0.9999998211860657,5.801065444946289,0.0009962333117597,17.60836410522461,6.191732168197632,520,0.46003782749176025,130
4,True,1.0,15.315879821777344,0.0009960679801409144,109.81153106689453,30.865069687366486,524,3.494868516921997,131
4,True,1.0,139.07272338867188,0.0009958991119047114,1019.21533203125,263.2670089006424,528,0.43077707290649414,132
4,False,0.6973123550415039,0.6973123550415039,0.0009957267082562184,6.331035137176514,2.2555864956229925,532,0.11675485223531723,133
4,True,1.0,65.75962829589844,0.0009955507704257924,185.49462890625,65.99177867174149,536,3.6333210468292236,134
4,True,0.9999995231628418,2.442295551300049,0.000995371299669013,51.007598876953125,12.89360249042511,540,0.15043359994888306,135
4,True,0.9999999403953552,106.39910125732422,0.0009951882972666717,678.0123901367188,176.05012265592813,544,0.2588610351085663,136
4,True,1.0,23.839887619018555,0.000995001764524764,15.698047637939453,6.115334987640381,548,1.819352149963379,137
4,True,0.9999999403953552,13.296514511108398,0.0009948117027744792,15.071776390075684,6.5244009885936975,552,0.12129076570272446,138
4,True,0.9999999403953552,10.141658782958984,0.000994618113372192,22.56407928466797,8.147188734263182,556,0.16175059974193573,139
4,True,0.9999999403953552,11.809104919433594,0.0009944209976994517,14.329192161560059,6.88586625829339,560,0.13572193682193756,140
4,True,0.9999998807907104,7.950962066650391,0.000994220357162973,16.76552963256836,6.999357968568802,564,1.3422293663024902,141
4,True,0.9999998807907104,8.508329391479492,0.0009940161931946256,22.332305908203125,12.65617211163044,568,0.39541178941726685,142
4,True,1.0,100.389404296875,0.000993808507251424,462.7165222167969,117.5222014207393,572,0.11009932309389114,143
4,True,1.0,114.7688217163086,0.000993597300815518,635.7255249023438,160.16702449321747,576,0.3175452947616577,144
4,True,0.9999998211860657,8.745197296142578,0.0009933825753941803,14.215137481689453,4.879226341843605,580,0.2531600594520569,145
4,True,1.0,13.09863567352295,0.0009931643325197977,35.007328033447266,20.022399187088013,584,3.324307441711426,146
4,True,0.9999999403953552,179.50653076171875,0.0009929425737498587,748.460693359375,288.8217658251524,588,0.14958542585372925,147
4,True,1.0,40.33164596557617,0.0009927173006669435,164.18798828125,49.57324396073818,592,0.14003700017929077,148
4,True,0.9999998211860657,23.8996524810791,0.000992488514878712,19.779510498046875,7.3629183024168015,596,0.4134485125541687,149
4,True,0.9999998807907104,13.970487594604492,0.0009922562180178919,40.573997497558594,11.796571642160416,600,0.951915979385376,150
4,True,0.9999998211860657,7.775112628936768,0.0009920204117422682,5.935017108917236,1.6746377982199192,604,0.1556214839220047,151
4,True,1.0,189.93698120117188,0.0009917810977346712,873.903076171875,237.44624042510986,608,3.480976104736328,152
4,True,1.0,15.365342140197754,0.000991538277702963,29.109638214111328,18.473821759223938,612,6.337418079376221,153
4,True,0.9999998807907104,11.672484397888184,0.0009912919533800275,16.193849563598633,5.9857731852680445,616,0.11612460762262344,154
4,True,0.9999999403953552,19.47058868408203,0.0009910421265237562,108.56211853027344,51.92328464984894,620,5.960672855377197,155
4,True,0.9999995827674866,2.196086883544922,0.0009907887989170372,5.312980651855469,2.1552396714687347,624,0.7308060526847839,156
4,True,0.9999995231628418,2.018409252166748,0.0009905319723677406,51.72882843017578,14.414773520082235,628,0.13460955023765564,157
4,True,1.0,107.96646881103516,0.0009902716487087077,2505.56982421875,628.9819077439606,632,0.12840278446674347,158
4,True,0.9999998807907104,22.770708084106445,0.0009900078297977362,50.243446350097656,28.360229521989822,636,0.9757367372512817,159
4,True,1.0000001192092896,51.83415222167969,0.000989740517517568,155.8959197998047,47.23394858837128,640,4.913933277130127,160
4,True,0.9999999403953552,14.045774459838867,0.0009894697137758754,13.86141300201416,4.113634470850229,644,0.1551109105348587,161
4,True,1.0,148.15016174316406,0.0009891954205052474,2486.90966796875,703.4035334922373,648,0.1466909795999527,162
4,True,0.9999999403953552,107.71192932128906,0.0009889176396631757,672.4962158203125,190.74550533294678,652,2.964160919189453,163
4,True,0.9999999403953552,10.839820861816406,0.0009886363732320416,51.07354736328125,19.18048232793808,656,1.3250551223754883,164
4,True,0.9999998807907104,23.741119384765625,0.0009883516232191013,22.207231521606445,11.101286001503468,660,0.48806217312812805,165
4,True,0.9999998807907104,18.629966735839844,0.0009880633916564707,24.243972778320312,11.679420366883278,664,0.7957602143287659,166
4,True,1.0,138.18519592285156,0.0009877716806011127,783.0810546875,209.15679451823235,668,1.1357760429382324,167
4,True,0.9999998807907104,13.779958724975586,0.000987476492134821,8.091618537902832,3.4332516193389893,672,0.167790949344635,168
4,True,0.9999998211860657,5.780263900756836,0.0009871778283642061,7.38392448425293,3.0504263639450073,676,0.16900962591171265,169
4,True,0.9999999403953552,107.7470703125,0.00098687569142068,517.3735961914062,130.3971871510148,680,0.1348552107810974,170
4,True,0.9999999403953552,11.898931503295898,0.0009865700834604406,17.248775482177734,8.013028115034103,684,1.3277748823165894,171
4,True,0.9999999403953552,11.347078323364258,0.0009862610066644572,16.07404327392578,9.338368386030197,688,0.15916144847869873,172
4,True,0.9999997019767761,4.339568138122559,0.0009859484632384543,13.836946487426758,4.752275748178363,692,0.12159507721662521,173
4,True,0.9999998211860657,5.559222221374512,0.0009856324554128955,14.20303726196289,4.652619741857052,696,0.2371215522289276,174
4,True,1.0,123.53783416748047,0.0009853129854429689,375.4319763183594,103.12340914830565,700,0.13328538835048676,175
4,True,0.9999999403953552,18.936365127563477,0.0009849900556085692,26.54875946044922,16.104392051696777,704,5.181136131286621,176
4,True,0.9999997615814209,17.854631423950195,0.0009846636682142834,107.80571746826172,31.193220391869545,708,0.11919161677360535,177
4,True,0.9999994039535522,1.7646197080612183,0.0009843338255893723,3.3898003101348877,1.3177878558635712,712,0.3964904546737671,178
4,True,1.0,175.23582458496094,0.0009840005300877559,724.0010986328125,195.49082837626338,716,0.10696165263652802,179
4,True,0.9999998807907104,8.764413833618164,0.0009836637840879951,17.939701080322266,7.362392276525497,720,0.2523115873336792,180
4,True,0.9999997615814209,6.744831562042236,0.0009833235899932755,8.303267478942871,2.258954457938671,724,0.1489134132862091,181
4,True,1.0000001192092896,99.83403015136719,0.0009829799502313896,353.03057861328125,91.68246450647712,728,0.11693112552165985,182
4,True,0.9999998807907104,16.217334747314453,0.0009826328672547203,106.11133575439453,48.15202239155769,732,1.0484353303909302,183
4,True,1.0,55.344573974609375,0.0009822823435402229,280.2323303222656,76.5595960021019,736,3.7186238765716553,184
4,True,0.9999998807907104,22.72128677368164,0.0009819283815894072,18.533422470092773,11.255035281181335,740,3.6636152267456055,185
4,False,0.6179645657539368,0.6179645657539368,0.0009815709839283205,6.333813190460205,2.425378195941448,744,0.14288243651390076,186
4,False,0.9670525789260864,0.9670525789260864,0.0009812101531075283,3.250967025756836,1.3384774699807167,748,0.17943444848060608,187
4,True,0.9999999403953552,22.349851608276367,0.0009808458917020977,81.332763671875,25.967641789466143,752,0.15557034313678741,188
4,True,0.9999998807907104,101.96898651123047,0.0009804782023115773,459.2350158691406,120.26489639282227,756,3.272703170776367,189
4,True,1.0,36.403900146484375,0.00098010708755998,134.26437377929688,43.02501559257507,760,5.388459205627441,190
4,True,1.0,121.2574462890625,0.0009797325500957635,565.8853759765625,142.44815999269485,764,0.25890564918518066,191
4,True,0.9999998211860657,19.375595092773438,0.000979354592591812,51.25238037109375,22.528594583272934,768,0.3832637071609497,192
4,True,0.9999998807907104,11.277084350585938,0.0009789732177454165,19.727602005004883,7.033107724040747,772,0.13956819474697113,193
4,True,0.9999999403953552,10.345044136047363,0.0009785884282782558,19.518863677978516,7.180204018950462,776,0.335533082485199,194
