channel,display_name,region,sample_count,shell,skill_mean,skill_median,variant
Bcc1,Stage-T,outer,42,6,0.009223405410094069,0.029732990885287414,stage_t
Bcc1,Stage-T,outer,42,7,-50.62542386810657,-6.90413941923751,stage_t
Bcc2,Stage-T,inner,42,0,-256.30234164303175,-28.913729068063997,stage_t
Bcc2,Stage-T,inner,42,1,-85.1384759746801,-8.165999052544253,stage_t
Bcc2,Stage-T,inner,42,2,-46.464372823739645,-5.305129787803052,stage_t
Bcc2,Stage-T,middle,42,3,-3.1819352974255706,-0.579956992474487,stage_t
Bcc2,Stage-T,middle,42,4,-17.00548948565074,-5.318360392112025,stage_t
Bcc2,Stage-T,middle,42,5,-313.09670498814916,-77.80594892080646,stage_t
Bcc2,Stage-T,outer,42,6,-1185.8630612982963,-447.587208929492,stage_t
Bcc2,Stage-T,outer,42,7,-1326930.1273734763,-214361.46802115598,stage_t
Bcc3,Stage-T,inner,42,0,-258.03270596906833,-1.0224644113115429,stage_t
Bcc3,Stage-T,inner,42,1,-78.22441656298015,-0.14580263404089588,stage_t
Bcc3,Stage-T,inner,42,2,-22.072137059231565,-1.608502352931008,stage_t
Bcc3,Stage-T,middle,42,3,-30.327717613031638,-4.794263299866413,stage_t
Bcc3,Stage-T,middle,42,4,-8.950977766404048,-0.11418150825406626,stage_t
Bcc3,Stage-T,middle,42,5,-1.2040173991742575,0.003810582020428721,stage_t
Bcc3,Stage-T,outer,42,6,-8.899280469861884,-1.5427366334042976,stage_t
Bcc3,Stage-T,outer,42,7,-1256.1053642771265,-737.4108035901893,stage_t
aggregate_focus,Stage-T,inner,126,0,-172.16752945589784,-2.39342212537354,stage_t
aggregate_focus,Stage-T,inner,126,1,-74.0563798604427,-2.3844820149595956,stage_t
aggregate_focus,Stage-T,inner,126,2,-27.194901407298207,-2.0668211534551366,stage_t
aggregate_focus,Stage-T,middle,126,3,-11.196716151354899,-0.3585761040053026,stage_t
aggregate_focus,Stage-T,middle,126,4,-8.878239741312697,-0.3289250452889927,stage_t
aggregate_focus,Stage-T,middle,126,5,-104.86061544571247,-0.7918671742094725,stage_t
aggregate_focus,Stage-T,outer,126,6,-398.3221184267304,-1.5427366334042976,stage_t
aggregate_focus,Stage-T,outer,126,7,-442730.00156692107,-737.4108035901893,stage_t
press,Stage-T,inner,42,0,-120030045.82755682,-224846.02218370375,stage_t
press,Stage-T,inner,42,1,-15.179060054671389,-9.934903818214098,stage_t
press,Stage-T,inner,42,2,-5.298334442434951,-2.9901161005293106,stage_t
press,Stage-T,middle,42,3,-6.239304470139481,-0.08145640549760158,stage_t
press,Stage-T,middle,42,4,-2.533675388108988,0.09385594557069338,stage_t
press,Stage-T,middle,42,5,-269.19458585681923,-2.563358218725673,stage_t
press,Stage-T,outer,42,6,-9.7580959023831,-6.723480539096785,stage_t
press,Stage-T,outer,42,7,-4.194555699285642,-4.493830741558367,stage_t
rho,Stage-T,inner,42,0,-9492.873821381916,-1003.4230555669425,stage_t
rho,Stage-T,inner,42,1,-60.85882286079512,-15.064659070553507,stage_t
rho,Stage-T,inner,42,2,-46.86916682060528,-4.485833252782072,stage_t
rho,Stage-T,middle,42,3,-2.049395935764725,0.013295967308621592,stage_t
rho,Stage-T,middle,42,4,-0.851520529946898,0.14315072864189426,stage_t
rho,Stage-T,middle,42,5,-16.00536085458397,-2.6042702692782043,stage_t
rho,Stage-T,outer,42,6,-45.67053845087484,-14.893336495596692,stage_t
rho,Stage-T,outer,42,7,-7.181522713180568,-7.173374288297772,stage_t
vel1,Stage-T,inner,42,0,-2.895790114062057,-1.0681648608395737,stage_t
vel1,Stage-T,inner,42,1,-2.5665729469640075,-0.4262379652969708,stage_t
vel1,Stage-T,inner,42,2,-5.79310925223058,-1.1750004809806576,stage_t
vel1,Stage-T,middle,42,3,-1.5042934453084955,-0.20001232599932062,stage_t
vel1,Stage-T,middle,42,4,-0.9240727413268542,-0.19135188784902957,stage_t
vel1,Stage-T,middle,42,5,-1.732974170347268,-0.691458434080975,stage_t
vel1,Stage-T,outer,42,6,-5.1595383912228225,-2.207623405899617,stage_t
vel1,Stage-T,outer,42,7,-30.316454131504717,-9.1315008948626,stage_t
vel2,Stage-T,inner,42,0,-5.393350391933359,-1.3046036523551374,stage_t
vel2,Stage-T,inner,42,1,-136.269344531998,-1.4299449199710825,stage_t
vel2,Stage-T,inner,42,2,-14.137965261090647,-0.646270111407365,stage_t
vel2,Stage-T,middle,42,3,-350.7020524660805,-7.775380556597943,stage_t
vel2,Stage-T,middle,42,4,-70.905376350992,-1.2745931768390835,stage_t
vel2,Stage-T,middle,42,5,-32.25116073326378,-0.663120470786821,stage_t
vel2,Stage-T,outer,42,6,-14.030864571329468,-0.22861862273871858,stage_t
vel2,Stage-T,outer,42,7,-29.806973490900344,-5.068098497355754,stage_t
vel3,Stage-T,inner,42,0,-2.167540755593381,-1.1496737521345082,stage_t
vel3,Stage-T,inner,42,1,-58.80624704366789,-2.3844820149595956,stage_t
vel3,Stage-T,inner,42,2,-13.048194338923404,-1.9797056196027198,stage_t
vel3,Stage-T,middle,42,3,-0.08049554360748098,0.054373623116525216,stage_t
vel3,Stage-T,middle,42,4,-0.6782519718833093,-0.05971201384289626,stage_t
vel3,Stage-T,middle,42,5,-0.2811239498139583,0.010735022844198527,stage_t
vel3,Stage-T,outer,42,6,-0.20401351203288587,0.03195681546934748,stage_t
vel3,Stage-T,outer,42,7,-3.7719630099999066,-1.491042883120269,stage_t
