channel,display_name,radial_index,region,sample_count,skill_mean,skill_median,variant
Bcc3,W1,34,middle,42,-15.627089039096976,-5.802679924208945,mixed_basis
Bcc3,W1,35,middle,42,-15.244793503397334,-7.97446561700356,mixed_basis
Bcc3,W1,36,middle,42,-32.74585302842423,-9.258347303374146,mixed_basis
Bcc3,W1,37,middle,42,-53.92868462734151,-10.883505908624638,mixed_basis
Bcc3,W1,38,middle,42,-144.1235442811006,-12.440046957490313,mixed_basis
Bcc3,W1,39,middle,42,-173.62016042803592,-17.825977869904925,mixed_basis
Bcc3,W1,40,middle,42,-70.6278386280386,-21.029175610045797,mixed_basis
Bcc3,W1,41,middle,42,-51.038908149931686,-23.462220638345194,mixed_basis
Bcc3,W1,42,outer,42,-119.63162405157055,-24.24419191527681,mixed_basis
Bcc3,W1,43,outer,42,-212.69643818512736,-32.40661497917679,mixed_basis
Bcc3,W1,44,outer,42,-78.02608661794632,-28.901555631504873,mixed_basis
Bcc3,W1,45,outer,42,-63.825456128755086,-29.766011347460925,mixed_basis
Bcc3,W1,46,outer,42,-182.5876819324948,-19.670011381917046,mixed_basis
Bcc3,W1,47,outer,42,-52.53672280092137,-15.228790954337287,mixed_basis
Bcc3,W1,48,outer,42,-56.71516521882466,-27.304134464092773,mixed_basis
Bcc3,W1,49,outer,42,-52.333109763688775,-30.746400358805197,mixed_basis
Bcc3,W1,50,outer,42,-212.9275958793612,-36.82698942416557,mixed_basis
Bcc3,W1,51,outer,42,-158.43125260227512,-31.040434006508562,mixed_basis
Bcc3,W1,52,outer,42,-75.36355428242125,-48.08757572210153,mixed_basis
Bcc3,W1,53,outer,42,-217.87779882822392,-60.54440991309026,mixed_basis
Bcc3,W1,54,outer,42,-438.5486224611463,-51.11696446880772,mixed_basis
Bcc3,W1,55,outer,42,-167.67025555553425,-72.65061906746925,mixed_basis
Bcc3,W1,56,outer,42,-197.84038236780913,-105.90422533151443,mixed_basis
Bcc3,W1,57,outer,42,-720.9135319986402,-91.5995990774353,mixed_basis
Bcc3,W1,58,outer,42,-466.4704883071126,-119.49789629703662,mixed_basis
Bcc3,W1,59,outer,42,-439.88933047154785,-149.0907621733267,mixed_basis
Bcc3,W1,60,outer,42,-601.4249550365932,-129.87263968773203,mixed_basis
Bcc3,W1,61,outer,42,-21711.635537656573,-612.188352067645,mixed_basis
Bcc3,W1,62,outer,42,-2181.0421799670125,-394.4362803364472,mixed_basis
Bcc3,W1,63,outer,42,-3483.139833550805,-999.9360881933853,mixed_basis
aggregate_focus,W1,0,inner,126,-6.781807917442555,-0.9021739704875775,mixed_basis
aggregate_focus,W1,1,inner,126,-11.55823500753742,-0.5085619291414384,mixed_basis
aggregate_focus,W1,2,inner,126,-5.406513080196864,-0.6184052963004745,mixed_basis
aggregate_focus,W1,3,inner,126,-16.576788740956896,-1.7488348009885224,mixed_basis
aggregate_focus,W1,4,inner,126,-12.690127312654898,-1.8551879775257323,mixed_basis
aggregate_focus,W1,5,inner,126,-15.814993917429266,-3.2403495222149123,mixed_basis
aggregate_focus,W1,6,inner,126,-466.35706955508863,-3.9932905077608916,mixed_basis
aggregate_focus,W1,7,inner,126,-30.853774636462624,-3.654604683740691,mixed_basis
aggregate_focus,W1,8,inner,126,-44.41114453760488,-3.957581777964217,mixed_basis
aggregate_focus,W1,9,inner,126,-39.38782164158309,-2.685891159038081,mixed_basis
aggregate_focus,W1,10,inner,126,-34.07527603927465,-2.7740761648029526,mixed_basis
aggregate_focus,W1,11,inner,126,-13.73152544608885,-3.162000054690786,mixed_basis
aggregate_focus,W1,12,inner,126,-134.1514451691572,-2.902870870885088,mixed_basis
aggregate_focus,W1,13,inner,126,-14.811724126332273,-3.094191497244111,mixed_basis
aggregate_focus,W1,14,inner,126,-7.1693344769853065,-2.68072522780452,mixed_basis
aggregate_focus,W1,15,inner,126,-12.415481162169133,-2.224071124792637,mixed_basis
aggregate_focus,W1,16,inner,126,-11.906812303324118,-1.8917112062330816,mixed_basis
aggregate_focus,W1,17,inner,126,-9.10148506489604,-1.8354103914028082,mixed_basis
aggregate_focus,W1,18,inner,126,-15.214919508358943,-1.6448567987324458,mixed_basis
aggregate_focus,W1,19,inner,126,-6.5811180632746895,-1.7035660554872671,mixed_basis
aggregate_focus,W1,20,inner,126,-6.578779592407651,-1.3820643471572434,mixed_basis
aggregate_focus,W1,21,middle,126,-7.704242486587478,-1.6363961165265317,mixed_basis
aggregate_focus,W1,22,middle,126,-9.361389519159228,-2.2549370756373506,mixed_basis
aggregate_focus,W1,23,middle,126,-12.567246370260769,-2.3486693100262643,mixed_basis
aggregate_focus,W1,24,middle,126,-10.374827469009098,-2.5716302741984967,mixed_basis
aggregate_focus,W1,25,middle,126,-16.48398144225359,-1.6173327991524566,mixed_basis
aggregate_focus,W1,26,middle,126,-3.9094396910639553,-0.9312858143756335,mixed_basis
aggregate_focus,W1,27,middle,126,-3.8290767768904206,-0.5096529217816076,mixed_basis
aggregate_focus,W1,28,middle,126,-1.5485232645479563,-0.13388453417471413,mixed_basis
aggregate_focus,W1,29,middle,126,-2.750303709202366,-0.12325831603227877,mixed_basis
aggregate_focus,W1,30,middle,126,-6.55473896813833,-0.47369067955254274,mixed_basis
aggregate_focus,W1,31,middle,126,-151.01889590353258,-0.7622511597769349,mixed_basis
