axis,channel,display_name,energy_fraction,kind,mode,region,response_squared_sum,retained_high_half,retained_low_half,variant
theta,Bcc1,W1,0.10486398257994775,mode_energy,0,,,False,True,mixed_basis
theta,Bcc1,W1,0.002717713069829692,mode_energy,1,,,False,True,mixed_basis
theta,Bcc1,W1,0.20021452842948528,mode_energy,2,,,False,True,mixed_basis
theta,Bcc1,W1,0.005762039796812749,mode_energy,3,,,False,True,mixed_basis
theta,Bcc1,W1,0.16922849516789257,mode_energy,4,,,True,False,mixed_basis
theta,Bcc1,W1,0.008409062196396595,mode_energy,5,,,True,False,mixed_basis
theta,Bcc1,W1,0.1344748814120217,mode_energy,6,,,True,False,mixed_basis
theta,Bcc1,W1,0.011159370910425376,mode_energy,7,,,True,False,mixed_basis
theta,Bcc1,W1,0.09011739831126007,mode_energy,8,,,False,False,mixed_basis
theta,Bcc1,W1,0.011883693584494549,mode_energy,9,,,False,False,mixed_basis
theta,Bcc1,W1,0.058790323813617304,mode_energy,10,,,False,False,mixed_basis
theta,Bcc1,W1,0.01160728083171318,mode_energy,11,,,False,False,mixed_basis
theta,Bcc1,W1,0.03699460974618796,mode_energy,12,,,False,False,mixed_basis
theta,Bcc1,W1,0.009976133556010937,mode_energy,13,,,False,False,mixed_basis
theta,Bcc1,W1,0.023590966128491916,mode_energy,14,,,False,False,mixed_basis
theta,Bcc1,W1,0.008788768793274797,mode_energy,15,,,False,False,mixed_basis
theta,Bcc1,W1,0.015646470396074256,mode_energy,16,,,False,False,mixed_basis
theta,Bcc1,W1,0.0074137052838691335,mode_energy,17,,,False,False,mixed_basis
theta,Bcc1,W1,0.01093155031311878,mode_energy,18,,,False,False,mixed_basis
theta,Bcc1,W1,0.0063243753237511155,mode_energy,19,,,False,False,mixed_basis
theta,Bcc1,W1,0.008056585679371432,mode_energy,20,,,False,False,mixed_basis
theta,Bcc1,W1,0.005228088816575047,mode_energy,21,,,False,False,mixed_basis
theta,Bcc1,W1,0.006123839324281618,mode_energy,22,,,False,False,mixed_basis
theta,Bcc1,W1,0.004302722065112268,mode_energy,23,,,False,False,mixed_basis
theta,Bcc1,W1,0.004776185302151056,mode_energy,24,,,False,False,mixed_basis
theta,Bcc1,W1,0.003483209779301408,mode_energy,25,,,False,False,mixed_basis
theta,Bcc1,W1,0.0037130560745427233,mode_energy,26,,,False,False,mixed_basis
theta,Bcc1,W1,0.0028270058851796276,mode_energy,27,,,False,False,mixed_basis
theta,Bcc1,W1,0.0029135169538074004,mode_energy,28,,,False,False,mixed_basis
theta,Bcc1,W1,0.0022952688091752273,mode_energy,29,,,False,False,mixed_basis
theta,Bcc1,W1,0.0023096744900870394,mode_energy,30,,,False,False,mixed_basis
theta,Bcc1,W1,0.0018808416314408261,mode_energy,31,,,False,False,mixed_basis
theta,Bcc1,W1,0.0018506091889105556,mode_energy,32,,,False,False,mixed_basis
theta,Bcc1,W1,0.0015440755350761334,mode_energy,33,,,False,False,mixed_basis
theta,Bcc1,W1,0.0015118261144828036,mode_energy,34,,,False,False,mixed_basis
theta,Bcc1,W1,0.0012929350497161351,mode_energy,35,,,False,False,mixed_basis
theta,Bcc1,W1,0.00124836088160711,mode_energy,36,,,False,False,mixed_basis
theta,Bcc1,W1,0.0010920729058412815,mode_energy,37,,,False,False,mixed_basis
theta,Bcc1,W1,0.001044438833784101,mode_energy,38,,,False,False,mixed_basis
theta,Bcc1,W1,0.0009348873123952462,mode_energy,39,,,False,False,mixed_basis
theta,Bcc1,W1,0.0008741764077517305,mode_energy,40,,,False,False,mixed_basis
theta,Bcc1,W1,0.000807192324908696,mode_energy,41,,,False,False,mixed_basis
theta,Bcc1,W1,0.0007414812939180488,mode_energy,42,,,False,False,mixed_basis
theta,Bcc1,W1,0.000712118522450615,mode_energy,43,,,False,False,mixed_basis
theta,Bcc1,W1,0.0006331544034108472,mode_energy,44,,,False,False,mixed_basis
theta,Bcc1,W1,0.0006391815352635311,mode_energy,45,,,False,False,mixed_basis
theta,Bcc1,W1,0.0005587892595641248,mode_energy,46,,,False,False,mixed_basis
theta,Bcc1,W1,0.0005889044712380409,mode_energy,47,,,False,False,mixed_basis
theta,Bcc1,W1,0.0004921233588779157,mode_energy,48,,,False,False,mixed_basis
theta,Bcc1,W1,0.000546016625017448,mode_energy,49,,,False,False,mixed_basis
theta,Bcc1,W1,0.00044400833561342206,mode_energy,50,,,False,False,mixed_basis
theta,Bcc1,W1,0.0005259634797473149,mode_energy,51,,,False,False,mixed_basis
theta,Bcc1,W1,0.0003940894785836053,mode_energy,52,,,False,False,mixed_basis
theta,Bcc1,W1,0.0005093414943471253,mode_energy,53,,,False,False,mixed_basis
theta,Bcc1,W1,0.0003516526180828934,mode_energy,54,,,False,False,mixed_basis
theta,Bcc1,W1,0.0005210233955480068,mode_energy,55,,,False,False,mixed_basis
theta,Bcc1,W1,0.0002985468419987562,mode_energy,56,,,False,False,mixed_basis
theta,Bcc1,W1,0.000545289540480753,mode_energy,57,,,False,False,mixed_basis
theta,Bcc1,W1,0.0002357480232237118,mode_energy,58,,,False,False,mixed_basis
theta,Bcc1,W1,0.000602534185995208,mode_energy,59,,,False,False,mixed_basis
theta,Bcc1,W1,0.00014838270736582866,mode_energy,60,,,False,False,mixed_basis
theta,Bcc1,W1,0.0006859798934207095,mode_energy,61,,,False,False,mixed_basis
theta,Bcc1,W1,5.089812330321416e-05,mode_energy,62,,,False,False,mixed_basis
theta,Bcc1,W1,0.0007688534023736757,mode_energy,63,,,False,False,mixed_basis
log_r,Bcc2,W1,0.09100663449210923,mode_energy,0,,,False,True,mixed_basis
log_r,Bcc2,W1,0.15610193434492953,mode_energy,1,,,False,True,mixed_basis
log_r,Bcc2,W1,0.069479987762547,mode_energy,2,,,False,True,mixed_basis
log_r,Bcc2,W1,0.04229898687482996,mode_energy,3,,,False,True,mixed_basis
log_r,Bcc2,W1,0.044805864468653485,mode_energy,4,,,True,False,mixed_basis
log_r,Bcc2,W1,0.04996773647408291,mode_energy,5,,,True,False,mixed_basis
log_r,Bcc2,W1,0.05124489894318063,mode_energy,6,,,True,False,mixed_basis
log_r,Bcc2,W1,0.0510132002199031,mode_energy,7,,,True,False,mixed_basis
log_r,Bcc2,W1,0.04981697432624229,mode_energy,8,,,False,False,mixed_basis
log_r,Bcc2,W1,0.045607579886970014,mode_energy,9,,,False,False,mixed_basis
log_r,Bcc2,W1,0.04060040738362496,mode_energy,10,,,False,False,mixed_basis
log_r,Bcc2,W1,0.03325807541942529,mode_energy,11,,,False,False,mixed_basis
log_r,Bcc2,W1,0.028674671047615105,mode_energy,12,,,False,False,mixed_basis
log_r,Bcc2,W1,0.024287176052679056,mode_energy,13,,,False,False,mixed_basis
log_r,Bcc2,W1,0.022111285033466117,mode_energy,14,,,False,False,mixed_basis
log_r,Bcc2,W1,0.019391750522941443,mode_energy,15,,,False,False,mixed_basis
log_r,Bcc2,W1,0.01758588581119478,mode_energy,16,,,False,False,mixed_basis
log_r,Bcc2,W1,0.014884309833299313,mode_energy,17,,,False,False,mixed_basis
log_r,Bcc2,W1,0.013013843939533913,mode_energy,18,,,False,False,mixed_basis
log_r,Bcc2,W1,0.01107081013927864,mode_energy,19,,,False,False,mixed_basis
log_r,Bcc2,W1,0.009910832122180097,mode_energy,20,,,False,False,mixed_basis
log_r,Bcc2,W1,0.008897515391286913,mode_energy,21,,,False,False,mixed_basis
log_r,Bcc2,W1,0.008338131945098264,mode_energy,22,,,False,False,mixed_basis
log_r,Bcc2,W1,0.00763800623401197,mode_energy,23,,,False,False,mixed_basis
log_r,Bcc2,W1,0.007188119304584989,mode_energy,24,,,False,False,mixed_basis
log_r,Bcc2,W1,0.006615645878961626,mode_energy,25,,,False,False,mixed_basis
log_r,Bcc2,W1,0.006171152610235055,mode_energy,26,,,False,False,mixed_basis
log_r,Bcc2,W1,0.005637160669254917,mode_energy,27,,,False,False,mixed_basis
log_r,Bcc2,W1,0.005237798763998612,mode_energy,28,,,False,False,mixed_basis
log_r,Bcc2,W1,0.0047412845056039035,mode_energy,29,,,False,False,mixed_basis
log_r,Bcc2,W1,0.004405523471160784,mode_energy,30,,,False,False,mixed_basis
log_r,Bcc2,W1,0.004017073078316339,mode_energy,31,,,False,False,mixed_basis
log_r,Bcc2,W1,0.0037056669548185227,mode_energy,32,,,False,False,mixed_basis
log_r,Bcc2,W1,0.0033353503789971344,mode_energy,33,,,False,False,mixed_basis
log_r,Bcc2,W1,0.0030453885783424256,mode_energy,34,,,False,False,mixed_basis
log_r,Bcc2,W1,0.002734122747971357,mode_energy,35,,,False,False,mixed_basis
log_r,Bcc2,W1,0.0025265394890695695,mode_energy,36,,,False,False,mixed_basis
log_r,Bcc2,W1,0.0023069736170121214,mode_energy,37,,,False,False,mixed_basis
log_r,Bcc2,W1,0.0021534044462640373,mode_energy,38,,,False,False,mixed_basis
log_r,Bcc2,W1,0.0019974545415441932,mode_energy,39,,,False,False,mixed_basis
log_r,Bcc2,W1,0.0018647388518085734,mode_energy,40,,,False,False,mixed_basis
log_r,Bcc2,W1,0.0017180779978225099,mode_energy,41,,,False,False,mixed_basis
log_r,Bcc2,W1,0.0016265115689877347,mode_energy,42,,,False,False,mixed_basis
log_r,Bcc2,W1,0.0015338277053059382,mode_energy,43,,,False,False,mixed_basis
log_r,Bcc2,W1,0.0014490809366837672,mode_energy,44,,,False,False,mixed_basis
log_r,Bcc2,W1,0.0013786332639410851,mode_energy,45,,,False,False,mixed_basis
log_r,Bcc2,W1,0.0012962120463734894,mode_energy,46,,,False,False,mixed_basis
log_r,Bcc2,W1,0.0012158441206426898,mode_energy,47,,,False,False,mixed_basis
log_r,Bcc2,W1,0.0011469748786975108,mode_energy,48,,,False,False,mixed_basis
log_r,Bcc2,W1,0.001082389719943665,mode_energy,49,,,False,False,mixed_basis
log_r,Bcc2,W1,0.001007315162514209,mode_energy,50,,,False,False,mixed_basis
log_r,Bcc2,W1,0.0009428313075915209,mode_energy,51,,,False,False,mixed_basis
log_r,Bcc2,W1,0.0008682318784180176,mode_energy,52,,,False,False,mixed_basis
log_r,Bcc2,W1,0.0008142042084543657,mode_energy,53,,,False,False,mixed_basis
log_r,Bcc2,W1,0.0007610638316513732,mode_energy,54,,,False,False,mixed_basis
log_r,Bcc2,W1,0.0007169968271800109,mode_energy,55,,,False,False,mixed_basis
log_r,Bcc2,W1,0.0006780150190109749,mode_energy,56,,,False,False,mixed_basis
log_r,Bcc2,W1,0.0006352317077955459,mode_energy,57,,,False,False,mixed_basis
log_r,Bcc2,W1,0.0005838736987214003,mode_energy,58,,,False,False,mixed_basis
log_r,Bcc2,W1,0.0005387689603004783,mode_energy,59,,,False,False,mixed_basis
log_r,Bcc2,W1,0.0004533834691489343,mode_energy,60,,,False,False,mixed_basis
log_r,Bcc2,W1,0.00038551958778202755,mode_energy,61,,,False,False,mixed_basis
log_r,Bcc2,W1,0.0003321943179803194,mode_energy,62,,,False,False,mixed_basis
log_r,Bcc2,W1,0.00014492122802427275,mode_energy,63,,,False,False,mixed_basis
phi,Bcc2,W1,0.02073200448267483,mode_energy,0,,,False,True,mixed_basis
phi,Bcc2,W1,0.12116887414676426,mode_energy,1,,,False,True,mixed_basis
phi,Bcc2,W1,0.1946605979313981,mode_energy,2,,,True,False,mixed_basis
